['gauthier1964', 202541471, 'impression', '1', 240467237L, datetime.datetime(2013, 5, 15, 17, 23, 30), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240467237L, datetime.datetime(2013, 5, 15, 17, 26, 12), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'expand_tile', '1', 240467237L, datetime.datetime(2013, 5, 15, 17, 26, 21), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'collapse_tile', '1', 240467237L, datetime.datetime(2013, 5, 15, 17, 26, 57), 0.221245445541685, False, 'time']

['gauthier1964', 202541471, 'impression', '2', 240467237L, datetime.datetime(2013, 5, 15, 23, 46, 6), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240484474L, datetime.datetime(2013, 5, 15, 23, 46, 6), 0.265600743011404, False, 'time']
['gauthier1964', 202541471, 'expand_tile', '1', 240484474L, datetime.datetime(2013, 5, 15, 23, 46, 41), 0.265600743011404, False, 'time']
['gauthier1964', 202541471, 'collapse_tile', '1', 240484474L, datetime.datetime(2013, 5, 15, 23, 46, 41), 0.265600743011404, False, 'time']
['gauthier1964', 202541471, 'expand_tile', '1', 240484474L, datetime.datetime(2013, 5, 15, 23, 46, 48), 0.265600743011404, False, 'time']
['gauthier1964', 202541471, 'view_full_application', '1', 240484474L, datetime.datetime(2013, 5, 15, 23, 47, 4), 0.265600743011404, False, 'time']

['gauthier1964', 202541471, 'impression', '2', 240467237L, datetime.datetime(2013, 5, 16, 3, 4, 34), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240484474L, datetime.datetime(2013, 5, 16, 3, 4, 34), 0.265600743011404, False, 'time']

['gauthier1964', 202541471, 'impression', '1', 240581630L, datetime.datetime(2013, 5, 17, 15, 30, 38), 0.491055128705326, False, 'time']
['gauthier1964', 202541471, 'impression', '2', 240484474L, datetime.datetime(2013, 5, 17, 15, 30, 38), 0.265600743011404, False, 'time']
['gauthier1964', 202541471, 'impression', '3', 240470008L, datetime.datetime(2013, 5, 17, 15, 30, 38), 0.248553624596579, True, 'time']
['gauthier1964', 202541471, 'impression', '4', 240467237L, datetime.datetime(2013, 5, 17, 15, 30, 38), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'view_full_application_via_name', '1', 240581630L, datetime.datetime(2013, 5, 17, 15, 31), 0.491055128705326, False, 'time']

['gauthier1964', 202541471, 'impression', '1', 240642356L, datetime.datetime(2013, 5, 18, 1, 0, 7), 0.313506927494657, False, 'time']
['gauthier1964', 202541471, 'impression', '3', 240470008L, datetime.datetime(2013, 5, 18, 1, 0, 7), 0.248553624596579, True, 'time']
['gauthier1964', 202541471, 'impression', '2', 240581630L, datetime.datetime(2013, 5, 18, 1, 0, 7), 0.491055128705326, False, 'time']
['gauthier1964', 202541471, 'impression', '4', 240467237L, datetime.datetime(2013, 5, 18, 1, 0, 7), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'view_full_application_via_message', '3', 240470008L, datetime.datetime(2013, 5, 18, 1, 0, 25), 0.248553624596579, True, 'time']

['gauthier1964', 202541471, 'impression', '5', 240467237L, datetime.datetime(2013, 5, 18, 12, 47, 12), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240670738L, datetime.datetime(2013, 5, 18, 12, 47, 12), 0.251928208086262, False, 'time']
['gauthier1964', 202541471, 'impression', '4', 240470008L, datetime.datetime(2013, 5, 18, 12, 47, 12), 0.248553624596579, True, 'time']
['gauthier1964', 202541471, 'impression', '3', 240581630L, datetime.datetime(2013, 5, 18, 12, 47, 12), 0.491055128705326, False, 'time']
['gauthier1964', 202541471, 'impression', '2', 240642356L, datetime.datetime(2013, 5, 18, 12, 47, 12), 0.313506927494657, False, 'time']
['gauthier1964', 202541471, 'view_full_application_via_name', '1', 240670738L, datetime.datetime(2013, 5, 18, 12, 47, 18), 0.251928208086262, False, 'time']
['gauthier1964', 202541471, 'impression', '5', 240467237L, datetime.datetime(2013, 5, 18, 12, 47, 50), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '3', 240581630L, datetime.datetime(2013, 5, 18, 12, 47, 50), 0.491055128705326, False, 'time']
['gauthier1964', 202541471, 'impression', '2', 240642356L, datetime.datetime(2013, 5, 18, 12, 47, 50), 0.313506927494657, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240670738L, datetime.datetime(2013, 5, 18, 12, 47, 50), 0.251928208086262, False, 'time']
['gauthier1964', 202541471, 'impression', '4', 240470008L, datetime.datetime(2013, 5, 18, 12, 47, 50), 0.248553624596579, True, 'time']

['gauthier1964', 202541471, 'impression', '3', 240581630L, datetime.datetime(2013, 5, 18, 20, 38, 51), 0.491055128705326, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240670738L, datetime.datetime(2013, 5, 18, 20, 38, 51), 0.251928208086262, False, 'time']
['gauthier1964', 202541471, 'impression', '4', 240467237L, datetime.datetime(2013, 5, 18, 20, 38, 51), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '2', 240642356L, datetime.datetime(2013, 5, 18, 20, 38, 51), 0.313506927494657, False, 'time']

['gauthier1964', 202541471, 'impression', '4', 240467237L, datetime.datetime(2013, 5, 19, 12, 9, 18), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240670738L, datetime.datetime(2013, 5, 19, 12, 9, 18), 0.251928208086262, False, 'time']
['gauthier1964', 202541471, 'impression', '2', 240642356L, datetime.datetime(2013, 5, 19, 12, 9, 18), 0.313506927494657, False, 'time']
['gauthier1964', 202541471, 'impression', '3', 240581630L, datetime.datetime(2013, 5, 19, 12, 9, 18), 0.491055128705326, False, 'time']
['gauthier1964', 202541471, 'view_full_application_via_name', '2', 240642356L, datetime.datetime(2013, 5, 19, 12, 9, 28), 0.313506927494657, False, 'time']
['gauthier1964', 202541471, 'impression', '2', 240642356L, datetime.datetime(2013, 5, 19, 12, 13, 30), 0.313506927494657, False, 'time']
['gauthier1964', 202541471, 'impression', '1', 240670738L, datetime.datetime(2013, 5, 19, 12, 13, 30), 0.251928208086262, False, 'time']
['gauthier1964', 202541471, 'impression', '4', 240467237L, datetime.datetime(2013, 5, 19, 12, 13, 30), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'impression', '3', 240581630L, datetime.datetime(2013, 5, 19, 12, 13, 30), 0.491055128705326, False, 'time']
['gauthier1964', 202541471, 'expand_tile', '4', 240467237L, datetime.datetime(2013, 5, 19, 12, 13, 45), 0.221245445541685, False, 'time']
['gauthier1964', 202541471, 'view_full_application_via_name', '4', 240467237L, datetime.datetime(2013, 5, 19, 12, 13, 56), 0.221245445541685, False, 'time']

