['general13', 202547558, 'impression', '1', 240580675L, datetime.datetime(2013, 5, 16, 23, 50, 33), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '2', 240580970L, datetime.datetime(2013, 5, 16, 23, 50, 33), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '2', 240580970L, datetime.datetime(2013, 5, 16, 23, 50, 55), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '1', 240580675L, datetime.datetime(2013, 5, 16, 23, 50, 55), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '2', 240580970L, datetime.datetime(2013, 5, 16, 23, 53, 14), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '1', 240580675L, datetime.datetime(2013, 5, 16, 23, 53, 14), 0.202002401691412, False, 'best']
['general13', 202547558, 'view_full_application_via_name', '1', 240580675L, datetime.datetime(2013, 5, 16, 23, 53, 16), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '2', 240580970L, datetime.datetime(2013, 5, 16, 23, 58, 5), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '1', 240580675L, datetime.datetime(2013, 5, 16, 23, 58, 5), 0.202002401691412, False, 'best']
['general13', 202547558, 'expand_tile', '1', 240580675L, datetime.datetime(2013, 5, 16, 23, 58, 10), 0.202002401691412, False, 'best']
['general13', 202547558, 'view_full_application', '1', 240580675L, datetime.datetime(2013, 5, 16, 23, 58, 41), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '1', 240580675L, datetime.datetime(2013, 5, 17, 0, 9, 11), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '2', 240580970L, datetime.datetime(2013, 5, 17, 0, 9, 11), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '2', 240580970L, datetime.datetime(2013, 5, 17, 0, 9, 42), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '3', 240582357L, datetime.datetime(2013, 5, 17, 0, 9, 42), 0.206451130211591, False, 'best']
['general13', 202547558, 'impression', '1', 240580675L, datetime.datetime(2013, 5, 17, 0, 9, 42), 0.202002401691412, False, 'best']
['general13', 202547558, 'expand_tile', '3', 240582357L, datetime.datetime(2013, 5, 17, 0, 9, 55), 0.206451130211591, False, 'best']
['general13', 202547558, 'view_full_application', '3', 240582357L, datetime.datetime(2013, 5, 17, 0, 10, 14), 0.206451130211591, False, 'best']
['general13', 202547558, 'impression', '2', 240580970L, datetime.datetime(2013, 5, 17, 0, 16, 14), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '3', 240582357L, datetime.datetime(2013, 5, 17, 0, 16, 14), 0.206451130211591, False, 'best']
['general13', 202547558, 'impression', '1', 240580675L, datetime.datetime(2013, 5, 17, 0, 16, 14), 0.202002401691412, False, 'best']

['general13', 202547558, 'impression', '1', 240589610L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.391787194681901, False, 'best']
['general13', 202547558, 'impression', '13', 240592045L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.195168773145537, False, 'best']
['general13', 202547558, 'impression', '3', 240583701L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.321490081955927, False, 'best']
['general13', 202547558, 'impression', '5', 240586335L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.25464487505826, False, 'best']
['general13', 202547558, 'impression', '6', 240592740L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.23345333353173, False, 'best']
['general13', 202547558, 'impression', '9', 240592884L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.213612945152076, False, 'best']
['general13', 202547558, 'impression', '4', 240604424L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.273401613265582, False, 'best']
['general13', 202547558, 'impression', '16', 240614896L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.373850699696578, False, 'best']
['general13', 202547558, 'impression', '2', 240588477L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.381224119998442, False, 'best']
['general13', 202547558, 'impression', '14', 240584354L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.120448918736558, False, 'best']
['general13', 202547558, 'impression', '8', 240583326L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.215656110554122, False, 'best']
['general13', 202547558, 'impression', '10', 240580970L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '15', 240586623L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.111545572498909, False, 'best']
['general13', 202547558, 'impression', '17', 240621642L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.293184775363807, False, 'best']
['general13', 202547558, 'impression', '12', 240580675L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '7', 240600612L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.218855392944071, False, 'best']
['general13', 202547558, 'impression', '11', 240582357L, datetime.datetime(2013, 5, 17, 11, 34, 45), 0.206451130211591, False, 'best']
['general13', 202547558, 'expand_tile', '4', 240604424L, datetime.datetime(2013, 5, 17, 11, 35, 13), 0.273401613265582, False, 'best']
['general13', 202547558, 'view_full_application', '4', 240604424L, datetime.datetime(2013, 5, 17, 11, 35, 40), 0.273401613265582, False, 'best']
['general13', 202547558, 'impression', '2', 240588477L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.381224119998442, False, 'best']
['general13', 202547558, 'impression', '4', 240604424L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.273401613265582, False, 'best']
['general13', 202547558, 'impression', '16', 240614896L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.373850699696578, False, 'best']
['general13', 202547558, 'impression', '7', 240600612L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.218855392944071, False, 'best']
['general13', 202547558, 'impression', '17', 240621642L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.293184775363807, False, 'best']
['general13', 202547558, 'impression', '15', 240586623L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.111545572498909, False, 'best']
['general13', 202547558, 'impression', '12', 240580675L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '10', 240580970L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '8', 240583326L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.215656110554122, False, 'best']
['general13', 202547558, 'impression', '14', 240584354L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.120448918736558, False, 'best']
['general13', 202547558, 'impression', '3', 240583701L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.321490081955927, False, 'best']
['general13', 202547558, 'impression', '13', 240592045L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.195168773145537, False, 'best']
['general13', 202547558, 'impression', '9', 240592884L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.213612945152076, False, 'best']
['general13', 202547558, 'impression', '5', 240586335L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.25464487505826, False, 'best']
['general13', 202547558, 'impression', '6', 240592740L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.23345333353173, False, 'best']
['general13', 202547558, 'impression', '1', 240589610L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.391787194681901, False, 'best']
['general13', 202547558, 'impression', '11', 240582357L, datetime.datetime(2013, 5, 17, 11, 42, 48), 0.206451130211591, False, 'best']
['general13', 202547558, 'view_full_application_via_name', '16', 240614896L, datetime.datetime(2013, 5, 17, 11, 43, 37), 0.373850699696578, False, 'best']
['general13', 202547558, 'impression', '11', 240582357L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.206451130211591, False, 'best']
['general13', 202547558, 'impression', '17', 240621642L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.293184775363807, False, 'best']
['general13', 202547558, 'impression', '15', 240586623L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.111545572498909, False, 'best']
['general13', 202547558, 'impression', '12', 240580675L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.202002401691412, False, 'best']
['general13', 202547558, 'impression', '7', 240600612L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.218855392944071, False, 'best']
['general13', 202547558, 'impression', '3', 240583701L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.321490081955927, False, 'best']
['general13', 202547558, 'impression', '13', 240592045L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.195168773145537, False, 'best']
['general13', 202547558, 'impression', '5', 240586335L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.25464487505826, False, 'best']
['general13', 202547558, 'impression', '9', 240592884L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.213612945152076, False, 'best']
['general13', 202547558, 'impression', '6', 240592740L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.23345333353173, False, 'best']
['general13', 202547558, 'impression', '8', 240583326L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.215656110554122, False, 'best']
['general13', 202547558, 'impression', '14', 240584354L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.120448918736558, False, 'best']
['general13', 202547558, 'impression', '10', 240580970L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.21040963281491, False, 'best']
['general13', 202547558, 'impression', '16', 240614896L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.373850699696578, False, 'best']
['general13', 202547558, 'impression', '2', 240588477L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.381224119998442, False, 'best']
['general13', 202547558, 'impression', '4', 240604424L, datetime.datetime(2013, 5, 17, 11, 45, 34), 0.273401613265582, False, 'best']
