['genius9972', 202594901, 'impression', '12', 241591169L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0274227704922534, False, 'best']
['genius9972', 202594901, 'impression', '10', 241590332L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0421041917324738, False, 'best']
['genius9972', 202594901, 'impression', '11', 241591286L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.032025084477642, False, 'best']
['genius9972', 202594901, 'impression', '6', 241591102L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0670355425044705, False, 'best']
['genius9972', 202594901, 'impression', '5', 241591427L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0724182594928317, False, 'best']
['genius9972', 202594901, 'impression', '13', 241590887L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0252870178235096, False, 'best']
['genius9972', 202594901, 'impression', '3', 241590278L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0841997251024951, False, 'best']
['genius9972', 202594901, 'impression', '2', 241590707L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.101699151414938, False, 'best']
['genius9972', 202594901, 'impression', '7', 241590747L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0660433209770638, False, 'best']
['genius9972', 202594901, 'impression', '8', 241590722L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0583267354351168, False, 'best']
['genius9972', 202594901, 'impression', '4', 241591311L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0813997914810737, False, 'best']
['genius9972', 202594901, 'impression', '1', 241590459L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.136847260182725, False, 'best']
['genius9972', 202594901, 'impression', '9', 241590616L, datetime.datetime(2013, 5, 29, 15, 11, 7), 0.0488937299078986, False, 'best']
['genius9972', 202594901, 'expand_tile', '1', 241590459L, datetime.datetime(2013, 5, 29, 15, 11, 14), 0.136847260182725, False, 'best']
['genius9972', 202594901, 'expand_tile', '2', 241590707L, datetime.datetime(2013, 5, 29, 15, 11, 18), 0.101699151414938, False, 'best']
['genius9972', 202594901, 'expand_tile', '3', 241590278L, datetime.datetime(2013, 5, 29, 15, 11, 25), 0.0841997251024951, False, 'best']
['genius9972', 202594901, 'expand_tile', '4', 241591311L, datetime.datetime(2013, 5, 29, 15, 11, 29), 0.0813997914810737, False, 'best']
['genius9972', 202594901, 'expand_tile', '5', 241591427L, datetime.datetime(2013, 5, 29, 15, 11, 33), 0.0724182594928317, False, 'best']
['genius9972', 202594901, 'expand_tile', '6', 241591102L, datetime.datetime(2013, 5, 29, 15, 11, 37), 0.0670355425044705, False, 'best']
['genius9972', 202594901, 'expand_tile', '7', 241590747L, datetime.datetime(2013, 5, 29, 15, 11, 51), 0.0660433209770638, False, 'best']
['genius9972', 202594901, 'impression', '9', 241590616L, datetime.datetime(2013, 5, 29, 15, 12, 1), 0.0488937299078986, False, 'best']
['genius9972', 202594901, 'expand_tile', '10', 241590332L, datetime.datetime(2013, 5, 29, 15, 12, 14), 0.0421041917324738, False, 'best']
['genius9972', 202594901, 'impression', '12', 241591169L, datetime.datetime(2013, 5, 29, 15, 12, 20), 0.0274227704922534, False, 'best']
['genius9972', 202594901, 'expand_tile', '11', 241591286L, datetime.datetime(2013, 5, 29, 15, 12, 20), 0.032025084477642, False, 'best']

['genius9972', 202594901, 'impression', '9', 241591427L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0724182594928317, False, 'best']
['genius9972', 202594901, 'impression', '13', 241591102L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0670355425044705, False, 'best']
['genius9972', 202594901, 'impression', '17', 241590722L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0583267354351168, False, 'best']
['genius9972', 202594901, 'impression', '1', 241591638L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.208834827682609, False, 'best']
['genius9972', 202594901, 'impression', '3', 241592389L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.12935862719468, False, 'best']
['genius9972', 202594901, 'impression', '20', 241590616L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0488937299078986, False, 'best']
['genius9972', 202594901, 'impression', '8', 241591311L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0813997914810737, False, 'best']
['genius9972', 202594901, 'impression', '2', 241590459L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.136847260182725, False, 'best']
['genius9972', 202594901, 'impression', '19', 241592025L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0579727348203521, False, 'best']
['genius9972', 202594901, 'impression', '7', 241595329L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0814618908689209, False, 'best']
['genius9972', 202594901, 'impression', '5', 241591555L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0896861228030101, False, 'best']
['genius9972', 202594901, 'impression', '10', 241594042L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0703544557071924, False, 'best']
['genius9972', 202594901, 'impression', '18', 241595111L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.057986947146741, False, 'best']
['genius9972', 202594901, 'impression', '16', 241592232L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0585772993697113, False, 'best']
['genius9972', 202594901, 'impression', '12', 241592219L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0684881175387561, False, 'best']
['genius9972', 202594901, 'impression', '6', 241590278L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0841997251024951, False, 'best']
['genius9972', 202594901, 'impression', '15', 241593410L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0632973308455766, False, 'best']
['genius9972', 202594901, 'impression', '4', 241590707L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.101699151414938, False, 'best']
['genius9972', 202594901, 'impression', '14', 241590747L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0660433209770638, False, 'best']
['genius9972', 202594901, 'impression', '11', 241595636L, datetime.datetime(2013, 5, 29, 16, 6, 18), 0.0693798497822139, False, 'best']

