['gishastephen', 202564144, 'impression', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 7, 1), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'expand_tile', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 7, 16), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'view_full_application', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 7, 21), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 9, 35), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 9, 38), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'expand_tile', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 9, 40), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 10, 5), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 10, 36), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240938713L, datetime.datetime(2013, 5, 21, 16, 10, 49), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240940211L, datetime.datetime(2013, 5, 21, 16, 10, 51), 0.0678307101679075, False, 'time']
['gishastephen', 202564144, 'impression', '2', 240939994L, datetime.datetime(2013, 5, 21, 16, 10, 51), 0.0978129778291099, False, 'time']
['gishastephen', 202564144, 'impression', '4', 240938713L, datetime.datetime(2013, 5, 21, 16, 10, 51), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '3', 240939764L, datetime.datetime(2013, 5, 21, 16, 10, 51), 0.0555919051720233, False, 'time']
['gishastephen', 202564144, 'expand_tile', '3', 240939764L, datetime.datetime(2013, 5, 21, 16, 11, 5), 0.0555919051720233, False, 'time']
['gishastephen', 202564144, 'view_full_application', '3', 240939764L, datetime.datetime(2013, 5, 21, 16, 11, 8), 0.0555919051720233, False, 'time']
['gishastephen', 202564144, 'impression', '3', 240939764L, datetime.datetime(2013, 5, 21, 16, 11, 39), 0.0555919051720233, False, 'time']
['gishastephen', 202564144, 'impression', '4', 240938713L, datetime.datetime(2013, 5, 21, 16, 11, 39), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '2', 240939994L, datetime.datetime(2013, 5, 21, 16, 11, 39), 0.0978129778291099, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240940211L, datetime.datetime(2013, 5, 21, 16, 11, 39), 0.0678307101679075, False, 'time']
['gishastephen', 202564144, 'expand_tile', '2', 240939994L, datetime.datetime(2013, 5, 21, 16, 11, 42), 0.0978129778291099, False, 'time']
['gishastephen', 202564144, 'view_full_application', '2', 240939994L, datetime.datetime(2013, 5, 21, 16, 11, 44), 0.0978129778291099, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240940211L, datetime.datetime(2013, 5, 21, 16, 12, 58), 0.0678307101679075, False, 'time']
['gishastephen', 202564144, 'impression', '3', 240939764L, datetime.datetime(2013, 5, 21, 16, 12, 58), 0.0555919051720233, False, 'time']
['gishastephen', 202564144, 'impression', '2', 240939994L, datetime.datetime(2013, 5, 21, 16, 12, 58), 0.0978129778291099, False, 'time']
['gishastephen', 202564144, 'impression', '4', 240938713L, datetime.datetime(2013, 5, 21, 16, 12, 58), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'expand_tile', '1', 240940211L, datetime.datetime(2013, 5, 21, 16, 13), 0.0678307101679075, False, 'time']
['gishastephen', 202564144, 'view_full_application', '1', 240940211L, datetime.datetime(2013, 5, 21, 16, 13, 6), 0.0678307101679075, False, 'time']
['gishastephen', 202564144, 'impression', '2', 240939994L, datetime.datetime(2013, 5, 21, 16, 14, 4), 0.0978129778291099, False, 'time']
['gishastephen', 202564144, 'impression', '4', 240938713L, datetime.datetime(2013, 5, 21, 16, 14, 4), 0.0934133774252699, False, 'time']
['gishastephen', 202564144, 'impression', '3', 240939764L, datetime.datetime(2013, 5, 21, 16, 14, 4), 0.0555919051720233, False, 'time']
['gishastephen', 202564144, 'impression', '1', 240940211L, datetime.datetime(2013, 5, 21, 16, 14, 4), 0.0678307101679075, False, 'time']

['gishastephen', 202564144, 'impression', '2', 240949409L, datetime.datetime(2013, 5, 21, 19, 18, 57), 0.0623520852689992, False, 'time']
['gishastephen', 202564144, 'impression', '4', 240947417L, datetime.datetime(2013, 5, 21, 19, 18, 57), 0.143525404939586, False, 'time']
['gishastephen', 202564144, 'impression', '15', 240941555L, datetime.datetime(2013, 5, 21, 19, 18, 57), 0.342414401722885, False, 'time']
['gishastephen', 202564144, 'impression', '14', 240941730L, datetime.datetime(2013, 5, 21, 19, 18, 57), 0.04303190368441, False, 'time']
['gishastephen', 202564144, 'impression', '16', 240940211L, datetime.datetime(2013, 5, 21, 19, 18, 57), 0.0678307101679075, False, 'time']
