['glidesup', 202586904, 'impression', '1', 241420673L, datetime.datetime(2013, 5, 27, 18, 15, 47), 0.0945245962781719, False, 'best']
['glidesup', 202586904, 'view_full_application_via_name', '1', 241420673L, datetime.datetime(2013, 5, 27, 18, 15, 52), 0.0945245962781719, False, 'best']
['glidesup', 202586904, 'impression', '2', 241422402L, datetime.datetime(2013, 5, 27, 18, 29, 28), 0.115117353034037, False, 'best']
['glidesup', 202586904, 'impression', '1', 241422479L, datetime.datetime(2013, 5, 27, 18, 29, 28), 0.158399908841629, False, 'best']
['glidesup', 202586904, 'view_full_application_via_name', '2', 241422402L, datetime.datetime(2013, 5, 27, 18, 29, 32), 0.115117353034037, False, 'best']
['glidesup', 202586904, 'impression', '2', 241422402L, datetime.datetime(2013, 5, 27, 18, 30, 41), 0.115117353034037, False, 'best']
['glidesup', 202586904, 'impression', '1', 241422479L, datetime.datetime(2013, 5, 27, 18, 30, 41), 0.158399908841629, False, 'best']
['glidesup', 202586904, 'view_full_application_via_name', '1', 241422479L, datetime.datetime(2013, 5, 27, 18, 30, 44), 0.158399908841629, False, 'best']
['glidesup', 202586904, 'impression', '2', 241422402L, datetime.datetime(2013, 5, 27, 18, 35, 23), 0.115117353034037, False, 'best']
['glidesup', 202586904, 'impression', '1', 241422479L, datetime.datetime(2013, 5, 27, 18, 35, 23), 0.158399908841629, False, 'best']
['glidesup', 202586904, 'view_full_application_via_name', '1', 241422479L, datetime.datetime(2013, 5, 27, 18, 35, 25), 0.158399908841629, False, 'best']

['glidesup', 202586904, 'impression', '10', 241426931L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.0273529807389385, False, 'best']
['glidesup', 202586904, 'impression', '5', 241436193L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.104966652344457, False, 'best']
['glidesup', 202586904, 'impression', '1', 241430234L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.368368397177263, False, 'best']
['glidesup', 202586904, 'impression', '3', 241438776L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.174477647246506, False, 'best']
['glidesup', 202586904, 'impression', '4', 241422479L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.158399908841629, False, 'best']
['glidesup', 202586904, 'impression', '8', 241429888L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.0657125995360048, False, 'best']
['glidesup', 202586904, 'impression', '6', 241500192L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.0921494238211694, False, 'best']
['glidesup', 202586904, 'impression', '9', 241507026L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.0551212701570005, False, 'best']
['glidesup', 202586904, 'impression', '2', 241514013L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.269460926383544, False, 'best']
['glidesup', 202586904, 'impression', '7', 241514234L, datetime.datetime(2013, 5, 28, 18, 25, 8), 0.0910882695058786, False, 'best']
['glidesup', 202586904, 'view_full_application_via_name', '1', 241430234L, datetime.datetime(2013, 5, 28, 18, 25, 16), 0.368368397177263, False, 'best']
['glidesup', 202586904, 'impression', '2', 241514013L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.269460926383544, False, 'best']
['glidesup', 202586904, 'impression', '6', 241500192L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.0921494238211694, False, 'best']
['glidesup', 202586904, 'impression', '9', 241507026L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.0551212701570005, False, 'best']
['glidesup', 202586904, 'impression', '10', 241426931L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.0273529807389385, False, 'best']
['glidesup', 202586904, 'impression', '7', 241514234L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.0910882695058786, False, 'best']
['glidesup', 202586904, 'impression', '3', 241438776L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.174477647246506, False, 'best']
['glidesup', 202586904, 'impression', '4', 241422479L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.158399908841629, False, 'best']
['glidesup', 202586904, 'impression', '8', 241429888L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.0657125995360048, False, 'best']
['glidesup', 202586904, 'impression', '5', 241436193L, datetime.datetime(2013, 5, 28, 18, 26, 10), 0.104966652344457, False, 'best']
