['gmp_productions', 202545854, 'impression', '19', 240583900L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.0924870390928835, False, 'best']
['gmp_productions', 202545854, 'impression', '20', 240552358L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.0846865966392581, False, 'best']
['gmp_productions', 202545854, 'impression', '2', 240551595L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.19537010130074, False, 'best']
['gmp_productions', 202545854, 'impression', '7', 240609361L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.16773495267154, False, 'best']
['gmp_productions', 202545854, 'impression', '16', 240563687L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.104419273213268, False, 'best']
['gmp_productions', 202545854, 'impression', '18', 240551164L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.101747606817809, False, 'best']
['gmp_productions', 202545854, 'impression', '15', 240555648L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.107662401554217, False, 'best']
['gmp_productions', 202545854, 'impression', '1', 240571578L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.255341370972852, False, 'best']
['gmp_productions', 202545854, 'impression', '10', 240553472L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.136868622580551, False, 'best']
['gmp_productions', 202545854, 'impression', '9', 240551333L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.13867081771241, False, 'best']
['gmp_productions', 202545854, 'impression', '6', 240570339L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.168872899425084, False, 'best']
['gmp_productions', 202545854, 'impression', '12', 240551301L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.123602299492856, False, 'best']
['gmp_productions', 202545854, 'impression', '5', 240552417L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.172821245461109, False, 'best']
['gmp_productions', 202545854, 'impression', '17', 240552362L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.10359978802699, False, 'best']
['gmp_productions', 202545854, 'impression', '8', 240561430L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.160198981967826, True, 'best']
['gmp_productions', 202545854, 'impression', '11', 240551307L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.135319935768995, False, 'best']
['gmp_productions', 202545854, 'impression', '13', 240552550L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.109775631876498, False, 'best']
['gmp_productions', 202545854, 'impression', '14', 240565400L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.109684172980979, False, 'best']
['gmp_productions', 202545854, 'impression', '3', 240551008L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.192919288848816, False, 'best']
['gmp_productions', 202545854, 'impression', '4', 240551150L, datetime.datetime(2013, 5, 24, 18, 31, 18), 0.184032811742324, False, 'best']
['gmp_productions', 202545854, 'view_full_application_via_name', '2', 240551595L, datetime.datetime(2013, 5, 24, 18, 31, 28), 0.19537010130074, False, 'best']
['gmp_productions', 202545854, 'shortlist', '6', 240570339L, datetime.datetime(2013, 5, 24, 18, 32, 38), 0.168872899425084, False, 'best']
['gmp_productions', 202545854, 'shortlist', '2', 240551595L, datetime.datetime(2013, 5, 24, 18, 32, 41), 0.19537010130074, False, 'best']
['gmp_productions', 202545854, 'shortlist', '8', 240561430L, datetime.datetime(2013, 5, 24, 18, 32, 54), 0.160198981967826, True, 'best']
['gmp_productions', 202545854, 'shortlist', '17', 240552362L, datetime.datetime(2013, 5, 24, 18, 33, 9), 0.10359978802699, False, 'best']

