['haasstt', 202589502, 'impression', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 23, 31), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'expand_tile', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 23, 35), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'impression', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 24, 8), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'expand_tile', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 24, 11), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'send_message', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 24, 13), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'expand_tile', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 24, 18), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'impression', '2', 241480195L, datetime.datetime(2013, 5, 28, 11, 25, 28), 0.0530702893361479, False, 'best']
['haasstt', 202589502, 'impression', '4', 241480400L, datetime.datetime(2013, 5, 28, 11, 25, 28), 0.039762771006634, False, 'best']
['haasstt', 202589502, 'impression', '3', 241480198L, datetime.datetime(2013, 5, 28, 11, 25, 28), 0.0501652727456972, False, 'best']
['haasstt', 202589502, 'impression', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 25, 28), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'expand_tile', '2', 241480195L, datetime.datetime(2013, 5, 28, 11, 25, 31), 0.0530702893361479, False, 'best']
['haasstt', 202589502, 'send_message', '2', 241480195L, datetime.datetime(2013, 5, 28, 11, 25, 33), 0.0530702893361479, False, 'best']
['haasstt', 202589502, 'expand_tile', '2', 241480195L, datetime.datetime(2013, 5, 28, 11, 25, 38), 0.0530702893361479, False, 'best']
['haasstt', 202589502, 'expand_tile', '4', 241480400L, datetime.datetime(2013, 5, 28, 11, 25, 42), 0.039762771006634, False, 'best']
['haasstt', 202589502, 'send_message', '4', 241480400L, datetime.datetime(2013, 5, 28, 11, 25, 43), 0.039762771006634, False, 'best']
['haasstt', 202589502, 'expand_tile', '4', 241480400L, datetime.datetime(2013, 5, 28, 11, 25, 50), 0.039762771006634, False, 'best']
['haasstt', 202589502, 'impression', '3', 241480198L, datetime.datetime(2013, 5, 28, 11, 25, 51), 0.0501652727456972, False, 'best']
['haasstt', 202589502, 'impression', '3', 241480198L, datetime.datetime(2013, 5, 28, 11, 25, 52), 0.0501652727456972, False, 'best']
['haasstt', 202589502, 'impression', '3', 241480195L, datetime.datetime(2013, 5, 28, 11, 37, 15), 0.0530702893361479, False, 'best']
['haasstt', 202589502, 'impression', '4', 241480400L, datetime.datetime(2013, 5, 28, 11, 37, 15), 0.039762771006634, False, 'best']
['haasstt', 202589502, 'impression', '1', 241479766L, datetime.datetime(2013, 5, 28, 11, 37, 15), 0.1132508774797, False, 'best']
['haasstt', 202589502, 'impression', '2', 241480909L, datetime.datetime(2013, 5, 28, 11, 37, 15), 0.0575869177014297, False, 'best']
['haasstt', 202589502, 'impression', '2', 241480909L, datetime.datetime(2013, 5, 28, 11, 37, 18), 0.0575869177014297, False, 'best']
['haasstt', 202589502, 'impression', '2', 241480909L, datetime.datetime(2013, 5, 28, 11, 37, 19), 0.0575869177014297, False, 'best']

['haasstt', 202589502, 'impression', '3', 241480400L, datetime.datetime(2013, 5, 28, 15, 55, 46), 0.039762771006634, False, 'best']
['haasstt', 202589502, 'impression', '4', 241483856L, datetime.datetime(2013, 5, 28, 15, 55, 46), 0.0261715370617032, False, 'best']
['haasstt', 202589502, 'impression', '2', 241480195L, datetime.datetime(2013, 5, 28, 15, 55, 46), 0.0530702893361479, False, 'best']
['haasstt', 202589502, 'impression', '1', 241479766L, datetime.datetime(2013, 5, 28, 15, 55, 46), 0.1132508774797, False, 'best']

