['hansenrick_', 202581616, 'impression', '8', 241298468L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.416908278874386, False, 'time']
['hansenrick_', 202581616, 'impression', '1', 241306360L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.34297046009512, False, 'time']
['hansenrick_', 202581616, 'impression', '6', 241303471L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.598236059558503, False, 'time']
['hansenrick_', 202581616, 'impression', '3', 241304054L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.270482793368509, True, 'time']
['hansenrick_', 202581616, 'impression', '4', 241303761L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.176176095221892, False, 'time']
['hansenrick_', 202581616, 'impression', '9', 241298433L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.167035289147032, False, 'time']
['hansenrick_', 202581616, 'impression', '5', 241303566L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.452115660323439, False, 'time']
['hansenrick_', 202581616, 'impression', '15', 241297356L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.241814659024323, True, 'time']
['hansenrick_', 202581616, 'impression', '2', 241304407L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.174803143294742, False, 'time']
['hansenrick_', 202581616, 'impression', '12', 241297753L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.156979582423528, False, 'time']
['hansenrick_', 202581616, 'impression', '11', 241297937L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.320245294388099, False, 'time']
['hansenrick_', 202581616, 'impression', '10', 241298017L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.416328981638072, False, 'time']
['hansenrick_', 202581616, 'impression', '14', 241297390L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.49882428905593, False, 'time']
['hansenrick_', 202581616, 'impression', '7', 241302908L, datetime.datetime(2013, 5, 26, 4, 39, 40), 0.228856373536747, False, 'time']
