['harryjwhite', 202592852, 'impression', '4', 241546503L, datetime.datetime(2013, 5, 29, 18, 56, 22), 0.153160110347047, False, 'best']
['harryjwhite', 202592852, 'impression', '2', 241545188L, datetime.datetime(2013, 5, 29, 18, 56, 22), 0.394093650840998, False, 'best']
['harryjwhite', 202592852, 'impression', '5', 241545779L, datetime.datetime(2013, 5, 29, 18, 56, 22), 0.101875755743296, False, 'best']
['harryjwhite', 202592852, 'impression', '6', 241569050L, datetime.datetime(2013, 5, 29, 18, 56, 22), 0.0631755949969242, False, 'best']
['harryjwhite', 202592852, 'impression', '3', 241547998L, datetime.datetime(2013, 5, 29, 18, 56, 22), 0.199336362643102, False, 'best']
['harryjwhite', 202592852, 'impression', '1', 241573421L, datetime.datetime(2013, 5, 29, 18, 56, 22), 0.527528428680519, False, 'best']
['harryjwhite', 202592852, 'impression', '1', 241573421L, datetime.datetime(2013, 5, 29, 18, 59, 13), 0.527528428680519, False, 'best']
['harryjwhite', 202592852, 'view_full_application_via_name', '1', 241573421L, datetime.datetime(2013, 5, 29, 18, 59, 28), 0.527528428680519, False, 'best']
['harryjwhite', 202592852, 'impression', '4', 241546503L, datetime.datetime(2013, 5, 29, 19, 0, 33), 0.153160110347047, False, 'best']
['harryjwhite', 202592852, 'impression', '6', 241569050L, datetime.datetime(2013, 5, 29, 19, 0, 33), 0.0631755949969242, False, 'best']
['harryjwhite', 202592852, 'impression', '3', 241547998L, datetime.datetime(2013, 5, 29, 19, 0, 33), 0.199336362643102, False, 'best']
['harryjwhite', 202592852, 'impression', '1', 241573421L, datetime.datetime(2013, 5, 29, 19, 0, 33), 0.527528428680519, False, 'best']
['harryjwhite', 202592852, 'impression', '5', 241545779L, datetime.datetime(2013, 5, 29, 19, 0, 33), 0.101875755743296, False, 'best']
['harryjwhite', 202592852, 'impression', '2', 241545188L, datetime.datetime(2013, 5, 29, 19, 0, 33), 0.394093650840998, False, 'best']
['harryjwhite', 202592852, 'impression', '1', 241573421L, datetime.datetime(2013, 5, 29, 19, 3, 56), 0.527528428680519, False, 'best']
['harryjwhite', 202592852, 'impression', '1', 241573421L, datetime.datetime(2013, 5, 29, 19, 4, 1), 0.527528428680519, False, 'best']
