['hedgar43', 202572142, 'impression', '11', 241093530L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.0366864636597621, False, 'best']
['hedgar43', 202572142, 'impression', '7', 241091506L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.0518809969701554, False, 'best']
['hedgar43', 202572142, 'impression', '9', 241092482L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.0422778454907232, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241091072L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.00977412071261598, False, 'best']
['hedgar43', 202572142, 'impression', '12', 241090001L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.0187185120696812, False, 'best']
['hedgar43', 202572142, 'impression', '1', 241088957L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.278307624556122, False, 'best']
['hedgar43', 202572142, 'impression', '6', 241092377L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.0880095608326168, False, 'best']
['hedgar43', 202572142, 'impression', '5', 241116022L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.102061129446482, False, 'best']
['hedgar43', 202572142, 'impression', '8', 241091832L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.0444116701171258, False, 'best']
['hedgar43', 202572142, 'impression', '4', 241089665L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.103020931518278, False, 'best']
['hedgar43', 202572142, 'impression', '3', 241089894L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.135733767126321, False, 'best']
['hedgar43', 202572142, 'impression', '10', 241090713L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.0380523207388366, False, 'best']
['hedgar43', 202572142, 'impression', '2', 241089175L, datetime.datetime(2013, 5, 23, 16, 29, 5), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'expand_tile', '2', 241089175L, datetime.datetime(2013, 5, 23, 16, 29, 24), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '2', 241089175L, datetime.datetime(2013, 5, 23, 16, 30, 45), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '2', 241089175L, datetime.datetime(2013, 5, 23, 16, 30, 48), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '11', 241093530L, datetime.datetime(2013, 5, 23, 16, 33, 6), 0.0366864636597621, False, 'best']
['hedgar43', 202572142, 'impression', '10', 241090713L, datetime.datetime(2013, 5, 23, 16, 34, 28), 0.0380523207388366, False, 'best']
['hedgar43', 202572142, 'impression', '12', 241090001L, datetime.datetime(2013, 5, 23, 16, 34, 45), 0.0187185120696812, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241091072L, datetime.datetime(2013, 5, 23, 16, 34, 52), 0.00977412071261598, False, 'best']

['hedgar43', 202572142, 'impression', '7', 241116022L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.102061129446482, False, 'best']
['hedgar43', 202572142, 'impression', '10', 241146718L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0447660101299839, False, 'best']
['hedgar43', 202572142, 'impression', '16', 241091072L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.00977412071261598, False, 'best']
['hedgar43', 202572142, 'impression', '2', 241088957L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.278307624556122, False, 'best']
['hedgar43', 202572142, 'impression', '15', 241090001L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0187185120696812, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241090713L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0380523207388366, False, 'best']
['hedgar43', 202572142, 'impression', '3', 241089175L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '12', 241092482L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0422778454907232, False, 'best']
['hedgar43', 202572142, 'impression', '6', 241089665L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.103020931518278, False, 'best']
['hedgar43', 202572142, 'impression', '5', 241089894L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.135733767126321, False, 'best']
['hedgar43', 202572142, 'impression', '4', 241199496L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.161541304012284, False, 'best']
['hedgar43', 202572142, 'impression', '11', 241091832L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0444116701171258, False, 'best']
['hedgar43', 202572142, 'impression', '9', 241091506L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0518809969701554, False, 'best']
['hedgar43', 202572142, 'impression', '14', 241143459L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0199813272095546, False, 'best']
['hedgar43', 202572142, 'impression', '8', 241092377L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.0880095608326168, False, 'best']
['hedgar43', 202572142, 'impression', '1', 241089042L, datetime.datetime(2013, 5, 24, 21, 8, 4), 0.360700107237907, False, 'best']
['hedgar43', 202572142, 'view_full_application_via_name', '3', 241089175L, datetime.datetime(2013, 5, 24, 21, 8, 40), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '12', 241092482L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0422778454907232, False, 'best']
['hedgar43', 202572142, 'impression', '10', 241146718L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0447660101299839, False, 'best']
['hedgar43', 202572142, 'impression', '7', 241116022L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.102061129446482, False, 'best']
['hedgar43', 202572142, 'impression', '8', 241092377L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0880095608326168, False, 'best']
['hedgar43', 202572142, 'impression', '14', 241143459L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0199813272095546, False, 'best']
['hedgar43', 202572142, 'impression', '1', 241089042L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.360700107237907, False, 'best']
['hedgar43', 202572142, 'impression', '16', 241091072L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.00977412071261598, False, 'best']
['hedgar43', 202572142, 'impression', '2', 241088957L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.278307624556122, False, 'best']
['hedgar43', 202572142, 'impression', '15', 241090001L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0187185120696812, False, 'best']
['hedgar43', 202572142, 'impression', '11', 241091832L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0444116701171258, False, 'best']
['hedgar43', 202572142, 'impression', '9', 241091506L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0518809969701554, False, 'best']
['hedgar43', 202572142, 'impression', '5', 241089894L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.135733767126321, False, 'best']
['hedgar43', 202572142, 'impression', '6', 241089665L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.103020931518278, False, 'best']
['hedgar43', 202572142, 'impression', '4', 241199496L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.161541304012284, False, 'best']
['hedgar43', 202572142, 'impression', '3', 241089175L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241090713L, datetime.datetime(2013, 5, 24, 21, 13, 16), 0.0380523207388366, False, 'best']

['hedgar43', 202572142, 'impression', '11', 241091832L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0444116701171258, False, 'best']
['hedgar43', 202572142, 'impression', '1', 241089042L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.360700107237907, False, 'best']
['hedgar43', 202572142, 'impression', '14', 241143459L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0199813272095546, False, 'best']
['hedgar43', 202572142, 'impression', '8', 241092377L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0880095608326168, False, 'best']
['hedgar43', 202572142, 'impression', '3', 241089175L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.243861455207936, False, 'best']
['hedgar43', 202572142, 'impression', '13', 241090713L, datetime.datetime(2013, 5, 27, 15, 3, 3), 0.0380523207388366, False, 'best']
