['heinevik', 202590486, 'impression', '1', 241501227L, datetime.datetime(2013, 5, 28, 15, 51, 37), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501241L, datetime.datetime(2013, 5, 28, 15, 51, 37), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '3', 241500868L, datetime.datetime(2013, 5, 28, 15, 51, 37), 0.0767339766583575, False, 'best']
['heinevik', 202590486, 'impression', '4', 241501220L, datetime.datetime(2013, 5, 28, 15, 51, 37), 0.0571067278258842, False, 'best']
['heinevik', 202590486, 'view_full_application_via_name', '1', 241501227L, datetime.datetime(2013, 5, 28, 15, 51, 51), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '1', 241501227L, datetime.datetime(2013, 5, 28, 15, 52, 20), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501241L, datetime.datetime(2013, 5, 28, 15, 52, 20), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '4', 241501220L, datetime.datetime(2013, 5, 28, 15, 52, 20), 0.0571067278258842, False, 'best']
['heinevik', 202590486, 'impression', '3', 241500868L, datetime.datetime(2013, 5, 28, 15, 52, 20), 0.0767339766583575, False, 'best']
['heinevik', 202590486, 'view_full_application_via_name', '2', 241501241L, datetime.datetime(2013, 5, 28, 15, 52, 32), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501227L, datetime.datetime(2013, 5, 28, 15, 52, 47), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501241L, datetime.datetime(2013, 5, 28, 15, 52, 47), 0.0795657258459327, False, 'best']
['heinevik', 202590486, 'impression', '3', 241500868L, datetime.datetime(2013, 5, 28, 15, 52, 47), 0.0767339766583575, False, 'best']
['heinevik', 202590486, 'impression', '4', 241501220L, datetime.datetime(2013, 5, 28, 15, 52, 47), 0.0571067278258842, False, 'best']
['heinevik', 202590486, 'view_full_application_via_name', '1', 241501227L, datetime.datetime(2013, 5, 28, 15, 52, 49), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '4', 241501220L, datetime.datetime(2013, 5, 28, 15, 52, 59), 0.0571067278258842, False, 'best']
['heinevik', 202590486, 'view_full_application_via_name', '3', 241500868L, datetime.datetime(2013, 5, 28, 15, 52, 59), 0.0767339766583575, False, 'best']
['heinevik', 202590486, 'impression', '3', 241500868L, datetime.datetime(2013, 5, 28, 15, 52, 59), 0.0767339766583575, False, 'best']
['heinevik', 202590486, 'impression', '1', 241501227L, datetime.datetime(2013, 5, 28, 15, 52, 59), 0.200298913277688, True, 'best']
['heinevik', 202590486, 'impression', '2', 241501241L, datetime.datetime(2013, 5, 28, 15, 52, 59), 0.0795657258459327, False, 'best']
