['henrikbag', 202587830, 'impression', '2', 241447818L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.221148290661919, False, 'time']
['henrikbag', 202587830, 'impression', '15', 241437497L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.305351047271612, False, 'time']
['henrikbag', 202587830, 'impression', '3', 241446530L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.145096204923404, False, 'time']
['henrikbag', 202587830, 'impression', '8', 241440940L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.0717998850821366, False, 'time']
['henrikbag', 202587830, 'impression', '11', 241440450L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.189826036483694, False, 'time']
['henrikbag', 202587830, 'impression', '10', 241440745L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.194334612588763, False, 'time']
['henrikbag', 202587830, 'impression', '20', 241437242L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.150076868093331, False, 'time']
['henrikbag', 202587830, 'impression', '17', 241437410L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.703390960782174, False, 'time']
['henrikbag', 202587830, 'impression', '16', 241437445L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.0914377545869923, False, 'time']
['henrikbag', 202587830, 'impression', '19', 241437300L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.541401740520343, False, 'time']
['henrikbag', 202587830, 'impression', '4', 241443631L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.116932446384999, False, 'time']
['henrikbag', 202587830, 'impression', '5', 241442400L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.0616682632632381, False, 'time']
['henrikbag', 202587830, 'impression', '14', 241437518L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.0976274652798146, False, 'time']
['henrikbag', 202587830, 'impression', '7', 241440959L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.091722971399582, False, 'time']
['henrikbag', 202587830, 'impression', '13', 241437526L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.199802512675195, False, 'time']
['henrikbag', 202587830, 'impression', '12', 241437745L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.20419178562729, False, 'time']
['henrikbag', 202587830, 'impression', '9', 241440901L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.335262800348027, False, 'time']
['henrikbag', 202587830, 'impression', '6', 241441395L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.167257528058457, False, 'time']
['henrikbag', 202587830, 'impression', '1', 241448081L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.170870374915677, False, 'time']
['henrikbag', 202587830, 'impression', '18', 241437307L, datetime.datetime(2013, 5, 28, 4, 48, 28), 0.566898160485402, False, 'time']
['henrikbag', 202587830, 'view_full_application_via_name', '12', 241437745L, datetime.datetime(2013, 5, 28, 4, 49, 4), 0.20419178562729, False, 'time']
['henrikbag', 202587830, 'impression', '14', 241437518L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.0976274652798146, False, 'time']
['henrikbag', 202587830, 'impression', '7', 241440959L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.091722971399582, False, 'time']
['henrikbag', 202587830, 'impression', '13', 241437526L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.199802512675195, False, 'time']
['henrikbag', 202587830, 'impression', '18', 241437307L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.566898160485402, False, 'time']
['henrikbag', 202587830, 'impression', '6', 241441395L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.167257528058457, False, 'time']
['henrikbag', 202587830, 'impression', '1', 241448081L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.170870374915677, False, 'time']
['henrikbag', 202587830, 'impression', '9', 241440901L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.335262800348027, False, 'time']
['henrikbag', 202587830, 'impression', '12', 241437745L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.20419178562729, False, 'time']
['henrikbag', 202587830, 'impression', '2', 241447818L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.221148290661919, False, 'time']
['henrikbag', 202587830, 'impression', '19', 241437300L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.541401740520343, False, 'time']
['henrikbag', 202587830, 'impression', '5', 241442400L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.0616682632632381, False, 'time']
['henrikbag', 202587830, 'impression', '4', 241443631L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.116932446384999, False, 'time']
['henrikbag', 202587830, 'impression', '3', 241446530L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.145096204923404, False, 'time']
['henrikbag', 202587830, 'impression', '15', 241437497L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.305351047271612, False, 'time']
['henrikbag', 202587830, 'impression', '8', 241440940L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.0717998850821366, False, 'time']
['henrikbag', 202587830, 'impression', '11', 241440450L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.189826036483694, False, 'time']
['henrikbag', 202587830, 'impression', '17', 241437410L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.703390960782174, False, 'time']
['henrikbag', 202587830, 'impression', '16', 241437445L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.0914377545869923, False, 'time']
['henrikbag', 202587830, 'impression', '20', 241437242L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.150076868093331, False, 'time']
['henrikbag', 202587830, 'impression', '10', 241440745L, datetime.datetime(2013, 5, 28, 4, 49, 43), 0.194334612588763, False, 'time']
['henrikbag', 202587830, 'view_full_application_via_name', '11', 241440450L, datetime.datetime(2013, 5, 28, 4, 49, 46), 0.189826036483694, False, 'time']

['henrikbag', 202587830, 'impression', '3', 241468355L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.10676697527407, False, 'time']
['henrikbag', 202587830, 'impression', '15', 241440901L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.335262800348027, False, 'time']
['henrikbag', 202587830, 'impression', '6', 241454121L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.368331065037901, False, 'time']
['henrikbag', 202587830, 'impression', '12', 241441395L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.167257528058457, False, 'time']
['henrikbag', 202587830, 'impression', '18', 241437745L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.20419178562729, False, 'time']
['henrikbag', 202587830, 'impression', '7', 241448081L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.170870374915677, False, 'time']
['henrikbag', 202587830, 'impression', '16', 241440745L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.194334612588763, False, 'time']
['henrikbag', 202587830, 'impression', '14', 241440940L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.0717998850821366, False, 'time']
['henrikbag', 202587830, 'impression', '9', 241446530L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.145096204923404, False, 'time']
['henrikbag', 202587830, 'impression', '4', 241464811L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.170409056751523, False, 'time']
['henrikbag', 202587830, 'impression', '17', 241440450L, datetime.datetime(2013, 5, 28, 13, 48, 38), 0.189826036483694, False, 'time']
