['hifitodd', 202550101, 'impression', '4', 240638021L, datetime.datetime(2013, 5, 17, 15, 37, 18), 0.00740008145309227, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240638547L, datetime.datetime(2013, 5, 17, 15, 37, 18), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240638536L, datetime.datetime(2013, 5, 17, 15, 37, 18), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240638232L, datetime.datetime(2013, 5, 17, 15, 37, 18), 0.0185265503717571, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240638547L, datetime.datetime(2013, 5, 17, 15, 37, 33), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240638547L, datetime.datetime(2013, 5, 17, 15, 37, 34), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240638536L, datetime.datetime(2013, 5, 17, 15, 37, 34), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240638536L, datetime.datetime(2013, 5, 17, 15, 37, 36), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240638547L, datetime.datetime(2013, 5, 17, 15, 37, 36), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '4', 240638021L, datetime.datetime(2013, 5, 17, 15, 37, 36), 0.00740008145309227, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240638232L, datetime.datetime(2013, 5, 17, 15, 37, 36), 0.0185265503717571, False, 'best']

['hifitodd', 202550101, 'impression', '3', 240638536L, datetime.datetime(2013, 5, 17, 16, 25, 3), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240637445L, datetime.datetime(2013, 5, 17, 16, 25, 11), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '6', 240638021L, datetime.datetime(2013, 5, 17, 16, 25, 11), 0.00740008145309227, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240638547L, datetime.datetime(2013, 5, 17, 16, 25, 11), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240640038L, datetime.datetime(2013, 5, 17, 16, 25, 11), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'impression', '5', 240638536L, datetime.datetime(2013, 5, 17, 16, 25, 11), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '4', 240638232L, datetime.datetime(2013, 5, 17, 16, 25, 11), 0.0185265503717571, False, 'best']
['hifitodd', 202550101, 'expand_tile', '5', 240638536L, datetime.datetime(2013, 5, 17, 16, 25, 31), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '5', 240638536L, datetime.datetime(2013, 5, 17, 16, 26), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'expand_tile', '4', 240638232L, datetime.datetime(2013, 5, 17, 16, 26, 2), 0.0185265503717571, False, 'best']
['hifitodd', 202550101, 'expand_tile', '3', 240640038L, datetime.datetime(2013, 5, 17, 16, 26, 11), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240640038L, datetime.datetime(2013, 5, 17, 16, 26, 30), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'expand_tile', '2', 240638547L, datetime.datetime(2013, 5, 17, 16, 26, 31), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'expand_tile', '1', 240637445L, datetime.datetime(2013, 5, 17, 16, 26, 34), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'view_full_application_via_message', '1', 240637445L, datetime.datetime(2013, 5, 17, 16, 26, 37), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '1', 240637445L, datetime.datetime(2013, 5, 17, 16, 43, 59), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '3', 240641539L, datetime.datetime(2013, 5, 17, 16, 43, 59), 0.0476088222681202, False, 'best']
['hifitodd', 202550101, 'impression', '5', 240638232L, datetime.datetime(2013, 5, 17, 16, 43, 59), 0.0185265503717571, False, 'best']
['hifitodd', 202550101, 'impression', '6', 240638536L, datetime.datetime(2013, 5, 17, 16, 43, 59), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '7', 240638021L, datetime.datetime(2013, 5, 17, 16, 43, 59), 0.00740008145309227, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240638547L, datetime.datetime(2013, 5, 17, 16, 43, 59), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '4', 240640038L, datetime.datetime(2013, 5, 17, 16, 43, 59), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'view_full_application_via_name', '1', 240637445L, datetime.datetime(2013, 5, 17, 16, 46, 7), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '7', 240638021L, datetime.datetime(2013, 5, 17, 16, 48, 48), 0.00740008145309227, False, 'best']
['hifitodd', 202550101, 'impression', '2', 240638547L, datetime.datetime(2013, 5, 17, 16, 48, 48), 0.0520704908897299, False, 'best']
['hifitodd', 202550101, 'impression', '5', 240638232L, datetime.datetime(2013, 5, 17, 16, 48, 48), 0.0185265503717571, False, 'best']
['hifitodd', 202550101, 'impression', '4', 240640038L, datetime.datetime(2013, 5, 17, 16, 48, 48), 0.0317657954777287, False, 'best']
['hifitodd', 202550101, 'impression', '3', 240641539L, datetime.datetime(2013, 5, 17, 16, 48, 48), 0.0476088222681202, False, 'best']
['hifitodd', 202550101, 'impression', '6', 240638536L, datetime.datetime(2013, 5, 17, 16, 48, 48), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240637445L, datetime.datetime(2013, 5, 17, 16, 48, 48), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '6', 240638536L, datetime.datetime(2013, 5, 17, 16, 50, 42), 0.00960527570544633, False, 'best']
['hifitodd', 202550101, 'impression', '1', 240637445L, datetime.datetime(2013, 5, 17, 16, 50, 42), 0.190215913474241, True, 'best']
['hifitodd', 202550101, 'impression', '2', 240638547L, datetime.datetime(2013, 5, 17, 16, 50, 42), 0.0520704908897299, False, 'best']
