['highwoodfox', 202558802, 'impression', '7', 240852964L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.0389236374866747, False, 'time']
['highwoodfox', 202558802, 'impression', '12', 240837489L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.159280112792431, False, 'time']
['highwoodfox', 202558802, 'impression', '16', 240835592L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.1028624437026, False, 'time']
['highwoodfox', 202558802, 'impression', '13', 240837154L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.110282302433355, False, 'time']
['highwoodfox', 202558802, 'impression', '11', 240839370L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.117197635457682, False, 'time']
['highwoodfox', 202558802, 'impression', '8', 240848969L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.196592745216736, False, 'time']
['highwoodfox', 202558802, 'impression', '17', 240834648L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.0480394483637449, False, 'time']
['highwoodfox', 202558802, 'impression', '15', 240835871L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.065478943320685, False, 'time']
['highwoodfox', 202558802, 'impression', '2', 240868963L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.0846989899421497, False, 'time']
['highwoodfox', 202558802, 'impression', '4', 240862065L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.261776239400887, False, 'time']
['highwoodfox', 202558802, 'impression', '10', 240839735L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.0795356804614734, False, 'time']
['highwoodfox', 202558802, 'impression', '3', 240868203L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.203089667212784, False, 'time']
['highwoodfox', 202558802, 'impression', '5', 240858054L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.302561665736336, False, 'time']
['highwoodfox', 202558802, 'impression', '6', 240853055L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.0542535951018311, False, 'time']
['highwoodfox', 202558802, 'impression', '14', 240836993L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.107816789661026, False, 'time']
['highwoodfox', 202558802, 'impression', '19', 240834495L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.0888862052531879, False, 'time']
['highwoodfox', 202558802, 'impression', '1', 240888634L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.297761753975711, False, 'time']
['highwoodfox', 202558802, 'impression', '20', 240834482L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.112755516193045, False, 'time']
['highwoodfox', 202558802, 'impression', '18', 240834530L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.152626940529814, False, 'time']
['highwoodfox', 202558802, 'impression', '9', 240842453L, datetime.datetime(2013, 5, 21, 8, 40, 20), 0.180257741096851, False, 'time']
['highwoodfox', 202558802, 'view_full_application_via_name', '15', 240835871L, datetime.datetime(2013, 5, 21, 8, 43, 33), 0.065478943320685, False, 'time']
['highwoodfox', 202558802, 'impression', '19', 240834495L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.0888862052531879, False, 'time']
['highwoodfox', 202558802, 'impression', '1', 240888634L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.297761753975711, False, 'time']
['highwoodfox', 202558802, 'impression', '5', 240858054L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.302561665736336, False, 'time']
['highwoodfox', 202558802, 'impression', '14', 240836993L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.107816789661026, False, 'time']
['highwoodfox', 202558802, 'impression', '6', 240853055L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.0542535951018311, False, 'time']
['highwoodfox', 202558802, 'impression', '4', 240862065L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.261776239400887, False, 'time']
['highwoodfox', 202558802, 'impression', '12', 240837489L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.159280112792431, False, 'time']
['highwoodfox', 202558802, 'impression', '7', 240852964L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.0389236374866747, False, 'time']
['highwoodfox', 202558802, 'impression', '16', 240835592L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.1028624437026, False, 'time']
['highwoodfox', 202558802, 'impression', '18', 240834530L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.152626940529814, False, 'time']
['highwoodfox', 202558802, 'impression', '9', 240842453L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.180257741096851, False, 'time']
['highwoodfox', 202558802, 'impression', '20', 240834482L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.112755516193045, False, 'time']
['highwoodfox', 202558802, 'impression', '10', 240839735L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.0795356804614734, False, 'time']
['highwoodfox', 202558802, 'impression', '3', 240868203L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.203089667212784, False, 'time']
['highwoodfox', 202558802, 'impression', '17', 240834648L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.0480394483637449, False, 'time']
['highwoodfox', 202558802, 'impression', '8', 240848969L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.196592745216736, False, 'time']
['highwoodfox', 202558802, 'impression', '11', 240839370L, datetime.datetime(2013, 5, 21, 9, 2, 48), 0.117197635457682, False, 'time']
