['ijcarvell', 202541803, 'impression', '1', 240469868L, datetime.datetime(2013, 5, 15, 16, 43, 38), 0.157524171977235, False, 'best']
['ijcarvell', 202541803, 'impression', '1', 240469868L, datetime.datetime(2013, 5, 15, 16, 44), 0.157524171977235, False, 'best']
['ijcarvell', 202541803, 'expand_tile', '1', 240469868L, datetime.datetime(2013, 5, 15, 16, 44, 8), 0.157524171977235, False, 'best']
['ijcarvell', 202541803, 'impression', '2', 240470344L, datetime.datetime(2013, 5, 15, 16, 45, 38), 0.129870743946405, False, 'best']
['ijcarvell', 202541803, 'impression', '1', 240469868L, datetime.datetime(2013, 5, 15, 16, 45, 38), 0.157524171977235, False, 'best']
['ijcarvell', 202541803, 'expand_tile', '2', 240470344L, datetime.datetime(2013, 5, 15, 16, 45, 49), 0.129870743946405, False, 'best']
['ijcarvell', 202541803, 'view_full_application', '2', 240470344L, datetime.datetime(2013, 5, 15, 16, 46, 17), 0.129870743946405, False, 'best']

['ijcarvell', 202541803, 'impression', '2', 240470344L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.129870743946405, False, 'best']
['ijcarvell', 202541803, 'impression', '8', 240480715L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.0939173538194091, False, 'best']
['ijcarvell', 202541803, 'impression', '1', 240469868L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.157524171977235, False, 'best']
['ijcarvell', 202541803, 'impression', '5', 240473992L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.0784789328027307, False, 'best']
['ijcarvell', 202541803, 'impression', '6', 240475610L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.042191582891724, False, 'best']
['ijcarvell', 202541803, 'impression', '3', 240472409L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.169248839592609, False, 'best']
['ijcarvell', 202541803, 'impression', '7', 240476310L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.115057010385445, False, 'best']
['ijcarvell', 202541803, 'impression', '4', 240472879L, datetime.datetime(2013, 5, 15, 20, 12, 46), 0.0375024700171129, False, 'best']

['ijcarvell', 202541803, 'impression', '10', 240490445L, datetime.datetime(2013, 5, 16, 7, 27, 37), 0.148054725699452, False, 'best']
['ijcarvell', 202541803, 'impression', '2', 240470344L, datetime.datetime(2013, 5, 16, 7, 27, 37), 0.129870743946405, False, 'best']
['ijcarvell', 202541803, 'impression', '5', 240473992L, datetime.datetime(2013, 5, 16, 7, 27, 37), 0.0784789328027307, False, 'best']
['ijcarvell', 202541803, 'impression', '6', 240475610L, datetime.datetime(2013, 5, 16, 7, 27, 37), 0.042191582891724, False, 'best']
['ijcarvell', 202541803, 'impression', '8', 240480715L, datetime.datetime(2013, 5, 16, 7, 27, 37), 0.0939173538194091, False, 'best']
['ijcarvell', 202541803, 'impression', '9', 240488520L, datetime.datetime(2013, 5, 16, 7, 27, 37), 0.155738592405732, False, 'best']
['ijcarvell', 202541803, 'impression', '3', 240472409L, datetime.datetime(2013, 5, 16, 7, 27, 37), 0.169248839592609, False, 'best']
