['jainmadhu65', 202571744, 'impression', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 29, 34), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'impression', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 29, 34), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '4', 241078854L, datetime.datetime(2013, 5, 23, 9, 29, 34), 0.0464146098158238, False, 'time']
['jainmadhu65', 202571744, 'impression', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 29, 34), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'impression', '1', 241086019L, datetime.datetime(2013, 5, 23, 9, 29, 34), 0.166134688549627, False, 'time']
['jainmadhu65', 202571744, 'shortlist', '1', 241086019L, datetime.datetime(2013, 5, 23, 9, 30, 10), 0.166134688549627, False, 'time']
['jainmadhu65', 202571744, 'shortlist', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 30, 16), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'shortlist', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 30, 40), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'shortlist', '4', 241078854L, datetime.datetime(2013, 5, 23, 9, 30, 45), 0.0464146098158238, False, 'time']
['jainmadhu65', 202571744, 'view_full_application_via_name', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 30, 52), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '1', 241086019L, datetime.datetime(2013, 5, 23, 9, 37, 24), 0.166134688549627, False, 'time']
['jainmadhu65', 202571744, 'impression', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 37, 24), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 37, 24), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'impression', '4', 241078854L, datetime.datetime(2013, 5, 23, 9, 37, 24), 0.0464146098158238, False, 'time']
['jainmadhu65', 202571744, 'impression', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 37, 24), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'shortlist', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 37, 38), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'view_full_application_via_name', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 37, 43), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '4', 241078854L, datetime.datetime(2013, 5, 23, 9, 41, 38), 0.0464146098158238, False, 'time']
['jainmadhu65', 202571744, 'impression', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 41, 38), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'impression', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 41, 38), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '1', 241086019L, datetime.datetime(2013, 5, 23, 9, 41, 38), 0.166134688549627, False, 'time']
['jainmadhu65', 202571744, 'impression', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 41, 38), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'expand_tile', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 41, 48), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'impression', '4', 241078854L, datetime.datetime(2013, 5, 23, 9, 43, 19), 0.0464146098158238, False, 'time']
['jainmadhu65', 202571744, 'impression', '5', 241078749L, datetime.datetime(2013, 5, 23, 9, 43, 19), 0.0359973033932486, False, 'time']
['jainmadhu65', 202571744, 'impression', '3', 241078947L, datetime.datetime(2013, 5, 23, 9, 43, 19), 0.059849816930693, False, 'time']
['jainmadhu65', 202571744, 'impression', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 43, 19), 0.0625126740904973, False, 'time']
['jainmadhu65', 202571744, 'impression', '1', 241086019L, datetime.datetime(2013, 5, 23, 9, 43, 19), 0.166134688549627, False, 'time']
['jainmadhu65', 202571744, 'expand_tile', '2', 241085831L, datetime.datetime(2013, 5, 23, 9, 43, 24), 0.0625126740904973, False, 'time']
