['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 14, 27), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 14, 27), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 14, 27), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 14, 56), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 15, 31), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'shortlist', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 15, 44), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 15, 44), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 15, 49), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 17, 48), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 17, 48), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 17, 48), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 17, 48), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 18, 6), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'collapse_tile', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 18, 13), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 18, 15), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 18, 38), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'collapse_tile', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 18, 40), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 18, 44), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 18, 47), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 19, 9), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 11, 24, 24), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 24, 24), 0.055675083246369, False, 'best']
