['jbposey', 202573426, 'impression', '10', 241117912L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0262251947099193, False, 'best']
['jbposey', 202573426, 'impression', '7', 241119298L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'impression', '9', 241122078L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0349700366231252, False, 'best']
['jbposey', 202573426, 'impression', '4', 241119351L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0781869334531579, False, 'best']
['jbposey', 202573426, 'impression', '14', 241117092L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0120977453215413, False, 'best']
['jbposey', 202573426, 'impression', '11', 241122080L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'impression', '3', 241117413L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.11542635789441, False, 'best']
['jbposey', 202573426, 'impression', '8', 241118550L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0415335034554502, False, 'best']
['jbposey', 202573426, 'impression', '12', 241117297L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0161753330744081, False, 'best']
['jbposey', 202573426, 'impression', '6', 241117908L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'impression', '1', 241118487L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'impression', '13', 241122910L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'impression', '5', 241120066L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'impression', '2', 241118761L, datetime.datetime(2013, 5, 23, 16, 41, 18), 0.119060613735897, False, 'best']
['jbposey', 202573426, 'expand_tile', '1', 241118487L, datetime.datetime(2013, 5, 23, 16, 41, 27), 0.180329843415936, False, 'best']
['jbposey', 202573426, 'expand_tile', '2', 241118761L, datetime.datetime(2013, 5, 23, 16, 43, 18), 0.119060613735897, False, 'best']
['jbposey', 202573426, 'expand_tile', '3', 241117413L, datetime.datetime(2013, 5, 23, 16, 44), 0.11542635789441, False, 'best']
['jbposey', 202573426, 'expand_tile', '4', 241119351L, datetime.datetime(2013, 5, 23, 16, 45, 39), 0.0781869334531579, False, 'best']
['jbposey', 202573426, 'expand_tile', '5', 241120066L, datetime.datetime(2013, 5, 23, 16, 46, 31), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'collapse_tile', '5', 241120066L, datetime.datetime(2013, 5, 23, 16, 47, 10), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'expand_tile', '5', 241120066L, datetime.datetime(2013, 5, 23, 16, 47, 13), 0.058187634359716, False, 'best']
['jbposey', 202573426, 'expand_tile', '6', 241117908L, datetime.datetime(2013, 5, 23, 16, 49, 32), 0.0557990564327299, False, 'best']
['jbposey', 202573426, 'collapse_tile', '7', 241119298L, datetime.datetime(2013, 5, 23, 16, 54, 36), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'expand_tile', '7', 241119298L, datetime.datetime(2013, 5, 23, 16, 54, 38), 0.0444691421181186, False, 'best']
['jbposey', 202573426, 'expand_tile', '8', 241118550L, datetime.datetime(2013, 5, 23, 16, 55, 26), 0.0415335034554502, False, 'best']
['jbposey', 202573426, 'expand_tile', '9', 241122078L, datetime.datetime(2013, 5, 23, 16, 56, 10), 0.0349700366231252, False, 'best']
['jbposey', 202573426, 'expand_tile', '10', 241117912L, datetime.datetime(2013, 5, 23, 16, 57, 11), 0.0262251947099193, False, 'best']
['jbposey', 202573426, 'collapse_tile', '9', 241122078L, datetime.datetime(2013, 5, 23, 16, 58, 23), 0.0349700366231252, False, 'best']
['jbposey', 202573426, 'expand_tile', '11', 241122080L, datetime.datetime(2013, 5, 23, 16, 58, 34), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'collapse_tile', '11', 241122080L, datetime.datetime(2013, 5, 23, 17, 2, 10), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'expand_tile', '11', 241122080L, datetime.datetime(2013, 5, 23, 17, 2, 13), 0.0209312124703669, False, 'best']
['jbposey', 202573426, 'expand_tile', '12', 241117297L, datetime.datetime(2013, 5, 23, 17, 2, 23), 0.0161753330744081, False, 'best']
['jbposey', 202573426, 'expand_tile', '13', 241122910L, datetime.datetime(2013, 5, 23, 17, 2, 59), 0.0137521018482507, False, 'best']
['jbposey', 202573426, 'expand_tile', '14', 241117092L, datetime.datetime(2013, 5, 23, 17, 5, 34), 0.0120977453215413, False, 'best']
