['jeff0256', 202570349, 'impression', '6', 241054252L, datetime.datetime(2013, 5, 22, 22, 34, 48), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054462L, datetime.datetime(2013, 5, 22, 22, 34, 48), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241054859L, datetime.datetime(2013, 5, 22, 22, 34, 48), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'impression', '7', 241054132L, datetime.datetime(2013, 5, 22, 22, 34, 48), 0.049506761566966, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055110L, datetime.datetime(2013, 5, 22, 22, 34, 48), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054571L, datetime.datetime(2013, 5, 22, 22, 34, 48), 0.0654608273042757, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054774L, datetime.datetime(2013, 5, 22, 22, 34, 48), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '7', 241054132L, datetime.datetime(2013, 5, 22, 22, 34, 57), 0.049506761566966, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241054462L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055110L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054571L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.0654608273042757, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054774L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '7', 241054252L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054859L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'impression', '8', 241054132L, datetime.datetime(2013, 5, 22, 22, 35, 21), 0.049506761566966, False, 'time']
['jeff0256', 202570349, 'hide', '8', 241054132L, datetime.datetime(2013, 5, 22, 22, 35, 24), 0.049506761566966, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '7', 241054252L, datetime.datetime(2013, 5, 22, 22, 35, 28), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '7', 241054252L, datetime.datetime(2013, 5, 22, 22, 37, 43), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054859L, datetime.datetime(2013, 5, 22, 22, 37, 43), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055110L, datetime.datetime(2013, 5, 22, 22, 37, 43), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 37, 43), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054571L, datetime.datetime(2013, 5, 22, 22, 37, 43), 0.0654608273042757, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054774L, datetime.datetime(2013, 5, 22, 22, 37, 43), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241054462L, datetime.datetime(2013, 5, 22, 22, 37, 43), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '6', 241054462L, datetime.datetime(2013, 5, 22, 22, 37, 50), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241054462L, datetime.datetime(2013, 5, 22, 22, 38, 51), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054859L, datetime.datetime(2013, 5, 22, 22, 38, 51), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 38, 51), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054571L, datetime.datetime(2013, 5, 22, 22, 38, 51), 0.0654608273042757, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054774L, datetime.datetime(2013, 5, 22, 22, 38, 51), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'impression', '7', 241054252L, datetime.datetime(2013, 5, 22, 22, 38, 51), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055110L, datetime.datetime(2013, 5, 22, 22, 38, 51), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '5', 241054571L, datetime.datetime(2013, 5, 22, 22, 38, 53), 0.0654608273042757, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055110L, datetime.datetime(2013, 5, 22, 22, 39, 5), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054571L, datetime.datetime(2013, 5, 22, 22, 39, 5), 0.0654608273042757, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054774L, datetime.datetime(2013, 5, 22, 22, 39, 5), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 39, 5), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '7', 241054252L, datetime.datetime(2013, 5, 22, 22, 39, 5), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241054462L, datetime.datetime(2013, 5, 22, 22, 39, 5), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054859L, datetime.datetime(2013, 5, 22, 22, 39, 5), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'hide', '5', 241054571L, datetime.datetime(2013, 5, 22, 22, 39, 7), 0.0654608273042757, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '4', 241054774L, datetime.datetime(2013, 5, 22, 22, 39, 8), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055110L, datetime.datetime(2013, 5, 22, 22, 39, 45), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054859L, datetime.datetime(2013, 5, 22, 22, 39, 45), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241054252L, datetime.datetime(2013, 5, 22, 22, 39, 45), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054462L, datetime.datetime(2013, 5, 22, 22, 39, 45), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054774L, datetime.datetime(2013, 5, 22, 22, 39, 45), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 39, 45), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'hide', '4', 241054774L, datetime.datetime(2013, 5, 22, 22, 39, 47), 0.022883489320964, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241054859L, datetime.datetime(2013, 5, 22, 22, 39, 50), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 40, 33), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241054462L, datetime.datetime(2013, 5, 22, 22, 40, 33), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054859L, datetime.datetime(2013, 5, 22, 22, 40, 33), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'impression', '7', 241054252L, datetime.datetime(2013, 5, 22, 22, 40, 33), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055648L, datetime.datetime(2013, 5, 22, 22, 40, 33), 0.0389584049911429, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241055110L, datetime.datetime(2013, 5, 22, 22, 40, 33), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241055364L, datetime.datetime(2013, 5, 22, 22, 40, 33), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'hide', '5', 241054859L, datetime.datetime(2013, 5, 22, 22, 40, 39), 0.133788377385441, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '4', 241055110L, datetime.datetime(2013, 5, 22, 22, 40, 45), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241055364L, datetime.datetime(2013, 5, 22, 22, 41, 31), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055648L, datetime.datetime(2013, 5, 22, 22, 41, 31), 0.0389584049911429, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054462L, datetime.datetime(2013, 5, 22, 22, 41, 31), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '6', 241054252L, datetime.datetime(2013, 5, 22, 22, 41, 31), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241055110L, datetime.datetime(2013, 5, 22, 22, 41, 31), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 41, 31), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'hide', '4', 241055110L, datetime.datetime(2013, 5, 22, 22, 41, 34), 0.071645120331635, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241055364L, datetime.datetime(2013, 5, 22, 22, 41, 37), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241055364L, datetime.datetime(2013, 5, 22, 22, 42, 4), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055648L, datetime.datetime(2013, 5, 22, 22, 42, 4), 0.0389584049911429, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054252L, datetime.datetime(2013, 5, 22, 22, 42, 4), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 42, 4), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054462L, datetime.datetime(2013, 5, 22, 22, 42, 4), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '2', 241055648L, datetime.datetime(2013, 5, 22, 22, 42, 6), 0.0389584049911429, False, 'time']
['jeff0256', 202570349, 'impression', '5', 241054252L, datetime.datetime(2013, 5, 22, 22, 43, 7), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 43, 7), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241055364L, datetime.datetime(2013, 5, 22, 22, 43, 7), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054462L, datetime.datetime(2013, 5, 22, 22, 43, 7), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055648L, datetime.datetime(2013, 5, 22, 22, 43, 7), 0.0389584049911429, False, 'time']
['jeff0256', 202570349, 'hide', '2', 241055648L, datetime.datetime(2013, 5, 22, 22, 43, 9), 0.0389584049911429, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 43, 10), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '4', 241054252L, datetime.datetime(2013, 5, 22, 22, 43, 41), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241055364L, datetime.datetime(2013, 5, 22, 22, 43, 41), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 43, 41), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054462L, datetime.datetime(2013, 5, 22, 22, 43, 41), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'hide', '1', 241055670L, datetime.datetime(2013, 5, 22, 22, 43, 43), 0.137105395438638, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241054462L, datetime.datetime(2013, 5, 22, 22, 45, 30), 0.064294862120604, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054252L, datetime.datetime(2013, 5, 22, 22, 45, 30), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '1', 241055364L, datetime.datetime(2013, 5, 22, 22, 45, 30), 0.0350517330162341, False, 'time']
['jeff0256', 202570349, 'view_full_application_via_name', '3', 241054252L, datetime.datetime(2013, 5, 22, 22, 45, 36), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '3', 241054252L, datetime.datetime(2013, 5, 22, 22, 46, 44), 0.0182945709855717, False, 'time']
['jeff0256', 202570349, 'impression', '2', 241054462L, datetime.datetime(2013, 5, 22, 22, 46, 44), 0.064294862120604, False, 'time']
