['jeffprawnsworth', 202563416, 'impression', '2', 240931710L, datetime.datetime(2013, 5, 21, 14, 31, 18), 0.118750577104519, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '1', 240932483L, datetime.datetime(2013, 5, 21, 14, 31, 18), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '4', 240928466L, datetime.datetime(2013, 5, 21, 14, 31, 18), 0.228936255582363, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '3', 240928764L, datetime.datetime(2013, 5, 21, 14, 31, 18), 0.103319925754202, False, 'time']
['jeffprawnsworth', 202563416, 'view_full_application_via_name', '1', 240932483L, datetime.datetime(2013, 5, 21, 14, 31, 29), 0.0834197238292032, False, 'time']

['jeffprawnsworth', 202563416, 'impression', '1', 240932483L, datetime.datetime(2013, 5, 21, 15, 29, 46), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '3', 240928764L, datetime.datetime(2013, 5, 21, 15, 29, 46), 0.103319925754202, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '2', 240931710L, datetime.datetime(2013, 5, 21, 15, 29, 46), 0.118750577104519, False, 'time']

['jeffprawnsworth', 202563416, 'impression', '3', 240951934L, datetime.datetime(2013, 5, 23, 19, 31, 14), 0.309001419120435, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '4', 240932483L, datetime.datetime(2013, 5, 23, 19, 31, 14), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '1', 241044772L, datetime.datetime(2013, 5, 23, 19, 31, 14), 0.380496926378091, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '5', 240931710L, datetime.datetime(2013, 5, 23, 19, 31, 14), 0.118750577104519, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '2', 241036247L, datetime.datetime(2013, 5, 23, 19, 31, 14), 0.192084587153915, False, 'time']
['jeffprawnsworth', 202563416, 'expand_tile', '1', 241044772L, datetime.datetime(2013, 5, 23, 19, 31, 21), 0.380496926378091, False, 'time']
['jeffprawnsworth', 202563416, 'collapse_tile', '1', 241044772L, datetime.datetime(2013, 5, 23, 19, 31, 28), 0.380496926378091, False, 'time']
['jeffprawnsworth', 202563416, 'expand_tile', '2', 241036247L, datetime.datetime(2013, 5, 23, 19, 31, 29), 0.192084587153915, False, 'time']
['jeffprawnsworth', 202563416, 'collapse_tile', '2', 241036247L, datetime.datetime(2013, 5, 23, 19, 31, 37), 0.192084587153915, False, 'time']
['jeffprawnsworth', 202563416, 'expand_tile', '3', 240951934L, datetime.datetime(2013, 5, 23, 19, 31, 37), 0.309001419120435, False, 'time']
['jeffprawnsworth', 202563416, 'collapse_tile', '3', 240951934L, datetime.datetime(2013, 5, 23, 19, 31, 49), 0.309001419120435, False, 'time']
['jeffprawnsworth', 202563416, 'expand_tile', '3', 240951934L, datetime.datetime(2013, 5, 23, 19, 31, 50), 0.309001419120435, False, 'time']
['jeffprawnsworth', 202563416, 'collapse_tile', '3', 240951934L, datetime.datetime(2013, 5, 23, 19, 31, 53), 0.309001419120435, False, 'time']
['jeffprawnsworth', 202563416, 'expand_tile', '3', 240951934L, datetime.datetime(2013, 5, 23, 19, 31, 54), 0.309001419120435, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '4', 240932483L, datetime.datetime(2013, 5, 23, 19, 32, 40), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'expand_tile', '4', 240932483L, datetime.datetime(2013, 5, 23, 19, 32, 40), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'send_message', '4', 240932483L, datetime.datetime(2013, 5, 23, 19, 32, 43), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'view_full_application', '4', 240932483L, datetime.datetime(2013, 5, 23, 19, 32, 46), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '2', 241036247L, datetime.datetime(2013, 5, 23, 19, 33, 3), 0.192084587153915, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '5', 240931710L, datetime.datetime(2013, 5, 23, 19, 33, 3), 0.118750577104519, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '3', 240951934L, datetime.datetime(2013, 5, 23, 19, 33, 3), 0.309001419120435, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '4', 240932483L, datetime.datetime(2013, 5, 23, 19, 33, 3), 0.0834197238292032, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '1', 241044772L, datetime.datetime(2013, 5, 23, 19, 33, 3), 0.380496926378091, False, 'time']
['jeffprawnsworth', 202563416, 'impression', '5', 240931710L, datetime.datetime(2013, 5, 23, 19, 33, 6), 0.118750577104519, False, 'time']

