['jeremyessen', 202571051, 'impression', '1', 241064118L, datetime.datetime(2013, 5, 23, 3, 0, 35), 0.416342660976631, True, 'time']
['jeremyessen', 202571051, 'view_full_application_via_name', '1', 241064118L, datetime.datetime(2013, 5, 23, 3, 0, 41), 0.416342660976631, True, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065888L, datetime.datetime(2013, 5, 23, 3, 28, 53), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241065915L, datetime.datetime(2013, 5, 23, 3, 28, 53), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241064118L, datetime.datetime(2013, 5, 23, 3, 28, 53), 0.416342660976631, True, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065888L, datetime.datetime(2013, 5, 23, 3, 29, 4), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'view_full_application_via_name', '2', 241065888L, datetime.datetime(2013, 5, 23, 3, 29, 5), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241066878L, datetime.datetime(2013, 5, 23, 3, 44, 19), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241065888L, datetime.datetime(2013, 5, 23, 3, 44, 19), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 23, 3, 44, 19), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '4', 241064118L, datetime.datetime(2013, 5, 23, 3, 44, 19), 0.416342660976631, True, 'time']
['jeremyessen', 202571051, 'view_full_application_via_name', '1', 241066878L, datetime.datetime(2013, 5, 23, 3, 44, 24), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241065888L, datetime.datetime(2013, 5, 23, 3, 45, 3), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 23, 3, 45, 3), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '4', 241064118L, datetime.datetime(2013, 5, 23, 3, 45, 3), 0.416342660976631, True, 'time']
['jeremyessen', 202571051, 'impression', '1', 241066878L, datetime.datetime(2013, 5, 23, 3, 45, 3), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'view_full_application_via_name', '2', 241065915L, datetime.datetime(2013, 5, 23, 3, 45, 4), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241065888L, datetime.datetime(2013, 5, 23, 3, 45, 16), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '4', 241064118L, datetime.datetime(2013, 5, 23, 3, 45, 16), 0.416342660976631, True, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 23, 3, 45, 16), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241066878L, datetime.datetime(2013, 5, 23, 3, 45, 16), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'view_full_application_via_name', '3', 241065888L, datetime.datetime(2013, 5, 23, 3, 45, 18), 0.561237278079868, False, 'time']

['jeremyessen', 202571051, 'impression', '1', 241066878L, datetime.datetime(2013, 5, 23, 5, 21, 12), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 23, 5, 21, 12), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '4', 241064118L, datetime.datetime(2013, 5, 23, 5, 21, 12), 0.416342660976631, True, 'time']
['jeremyessen', 202571051, 'impression', '3', 241065888L, datetime.datetime(2013, 5, 23, 5, 21, 12), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'shortlist', '4', 241064118L, datetime.datetime(2013, 5, 23, 5, 21, 18), 0.416342660976631, True, 'time']

['jeremyessen', 202571051, 'impression', '3', 241065888L, datetime.datetime(2013, 5, 23, 6, 56, 26), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241066878L, datetime.datetime(2013, 5, 23, 6, 56, 26), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 23, 6, 56, 26), 0.269182710664518, False, 'time']

['jeremyessen', 202571051, 'impression', '4', 241065888L, datetime.datetime(2013, 5, 23, 11, 25, 28), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241066878L, datetime.datetime(2013, 5, 23, 11, 25, 28), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241065915L, datetime.datetime(2013, 5, 23, 11, 25, 28), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241095810L, datetime.datetime(2013, 5, 23, 11, 25, 28), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'expand_tile', '1', 241095810L, datetime.datetime(2013, 5, 23, 11, 25, 37), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'view_full_application', '1', 241095810L, datetime.datetime(2013, 5, 23, 11, 25, 51), 0.283069386854751, True, 'time']

