['jforte85', 202559541, 'impression', '2', 240849514L, datetime.datetime(2013, 5, 20, 17, 18, 22), 0.0802456318055216, False, 'best']
['jforte85', 202559541, 'impression', '1', 240850551L, datetime.datetime(2013, 5, 20, 17, 18, 22), 0.189594243281471, False, 'best']
['jforte85', 202559541, 'impression', '2', 240849514L, datetime.datetime(2013, 5, 20, 17, 18, 30), 0.0802456318055216, False, 'best']
['jforte85', 202559541, 'view_full_application_via_name', '1', 240850551L, datetime.datetime(2013, 5, 20, 17, 18, 36), 0.189594243281471, False, 'best']

['jforte85', 202559541, 'impression', '1', 240850551L, datetime.datetime(2013, 5, 20, 18, 21, 37), 0.189594243281471, False, 'best']
['jforte85', 202559541, 'impression', '3', 240852039L, datetime.datetime(2013, 5, 20, 18, 21, 37), 0.0745853744745288, False, 'best']
['jforte85', 202559541, 'impression', '2', 240851255L, datetime.datetime(2013, 5, 20, 18, 21, 37), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'view_full_application_via_name', '1', 240850551L, datetime.datetime(2013, 5, 20, 18, 21, 41), 0.189594243281471, False, 'best']
['jforte85', 202559541, 'impression', '1', 240851255L, datetime.datetime(2013, 5, 20, 18, 25, 32), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'impression', '2', 240852039L, datetime.datetime(2013, 5, 20, 18, 25, 32), 0.0745853744745288, False, 'best']
['jforte85', 202559541, 'view_full_application_via_name', '1', 240851255L, datetime.datetime(2013, 5, 20, 18, 25, 40), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'impression', '2', 240852039L, datetime.datetime(2013, 5, 20, 18, 31, 19), 0.0745853744745288, False, 'best']
['jforte85', 202559541, 'impression', '1', 240851255L, datetime.datetime(2013, 5, 20, 18, 31, 19), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'impression', '1', 240851255L, datetime.datetime(2013, 5, 20, 18, 31, 29), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'impression', '2', 240852039L, datetime.datetime(2013, 5, 20, 18, 31, 29), 0.0745853744745288, False, 'best']
['jforte85', 202559541, 'impression', '2', 240852039L, datetime.datetime(2013, 5, 20, 18, 31, 38), 0.0745853744745288, False, 'best']
['jforte85', 202559541, 'impression', '2', 240852039L, datetime.datetime(2013, 5, 20, 18, 31, 39), 0.0745853744745288, False, 'best']

['jforte85', 202559541, 'impression', '1', 240880099L, datetime.datetime(2013, 5, 21, 13, 40, 48), 0.126877210199642, False, 'best']
['jforte85', 202559541, 'impression', '2', 240851255L, datetime.datetime(2013, 5, 21, 13, 40, 48), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'expand_tile', '1', 240880099L, datetime.datetime(2013, 5, 21, 13, 40, 58), 0.126877210199642, False, 'best']
['jforte85', 202559541, 'view_full_application', '1', 240880099L, datetime.datetime(2013, 5, 21, 13, 41, 19), 0.126877210199642, False, 'best']
['jforte85', 202559541, 'impression', '1', 240880099L, datetime.datetime(2013, 5, 21, 13, 41, 40), 0.126877210199642, False, 'best']
['jforte85', 202559541, 'impression', '2', 240851255L, datetime.datetime(2013, 5, 21, 13, 41, 40), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'shortlist', '1', 240880099L, datetime.datetime(2013, 5, 21, 13, 41, 42), 0.126877210199642, False, 'best']

['jforte85', 202559541, 'impression', '1', 240851255L, datetime.datetime(2013, 5, 22, 11, 11, 22), 0.126526634374015, False, 'best']
['jforte85', 202559541, 'impression', '1', 240851255L, datetime.datetime(2013, 5, 22, 11, 11, 47), 0.126526634374015, False, 'best']

