['jkriesel', 202568779, 'impression', '1', 241026667L, datetime.datetime(2013, 5, 22, 15, 19, 47), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241026703L, datetime.datetime(2013, 5, 22, 15, 19, 47), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '1', 241026667L, datetime.datetime(2013, 5, 22, 15, 19, 55), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241026667L, datetime.datetime(2013, 5, 22, 15, 22, 1), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241026703L, datetime.datetime(2013, 5, 22, 15, 22, 1), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '2', 241026703L, datetime.datetime(2013, 5, 22, 15, 22, 4), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241026667L, datetime.datetime(2013, 5, 22, 15, 25, 54), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241026703L, datetime.datetime(2013, 5, 22, 15, 25, 54), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241027020L, datetime.datetime(2013, 5, 22, 15, 25, 54), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '3', 241027020L, datetime.datetime(2013, 5, 22, 15, 26, 4), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241027020L, datetime.datetime(2013, 5, 22, 15, 28, 4), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241026703L, datetime.datetime(2013, 5, 22, 15, 28, 4), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241026667L, datetime.datetime(2013, 5, 22, 15, 28, 4), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '2', 241026703L, datetime.datetime(2013, 5, 22, 15, 28, 32), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241026667L, datetime.datetime(2013, 5, 22, 15, 32, 10), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241027486L, datetime.datetime(2013, 5, 22, 15, 32, 10), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027020L, datetime.datetime(2013, 5, 22, 15, 32, 10), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 15, 32, 10), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026703L, datetime.datetime(2013, 5, 22, 15, 32, 10), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '5', 241027020L, datetime.datetime(2013, 5, 22, 15, 32, 18), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241026667L, datetime.datetime(2013, 5, 22, 15, 32, 50), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241027486L, datetime.datetime(2013, 5, 22, 15, 32, 50), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027020L, datetime.datetime(2013, 5, 22, 15, 32, 50), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 15, 32, 50), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026703L, datetime.datetime(2013, 5, 22, 15, 32, 50), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '4', 241027486L, datetime.datetime(2013, 5, 22, 15, 32, 52), 0.0138057006617946, False, 'best']

['jkriesel', 202568779, 'impression', '8', 241028346L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.00957688048784815, False, 'best']
['jkriesel', 202568779, 'impression', '5', 241027687L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.0180910899634155, False, 'best']
['jkriesel', 202568779, 'impression', '3', 241026667L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.0227892006664668, False, 'best']
['jkriesel', 202568779, 'impression', '9', 241027615L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.00748181247553423, False, 'best']
['jkriesel', 202568779, 'impression', '7', 241027486L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.0138057006617946, False, 'best']
['jkriesel', 202568779, 'impression', '11', 241027803L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.00685254397958293, False, 'best']
['jkriesel', 202568779, 'impression', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.0276773278628381, False, 'best']
['jkriesel', 202568779, 'impression', '6', 241026703L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.0167532730753305, False, 'best']
['jkriesel', 202568779, 'impression', '12', 241027020L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.00662675524490919, False, 'best']
['jkriesel', 202568779, 'impression', '10', 241028959L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.00715139032643264, False, 'best']
['jkriesel', 202568779, 'impression', '2', 241028812L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.0229011183314384, False, 'best']
['jkriesel', 202568779, 'impression', '4', 241028451L, datetime.datetime(2013, 5, 22, 16, 8, 27), 0.0206029938638295, False, 'best']
['jkriesel', 202568779, 'view_full_application_via_name', '1', 241027325L, datetime.datetime(2013, 5, 22, 16, 8, 42), 0.0276773278628381, False, 'best']
