['joaoviegas', 202546889, 'impression', '9', 240571536L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0351816496016458, False, 'best']
['joaoviegas', 202546889, 'impression', '8', 240571393L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0651037305042011, False, 'best']
['joaoviegas', 202546889, 'impression', '3', 240570810L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0383673342147638, False, 'best']
['joaoviegas', 202546889, 'impression', '7', 240571382L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0321529354961203, False, 'best']
['joaoviegas', 202546889, 'impression', '5', 240571174L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0622010093704487, False, 'best']
['joaoviegas', 202546889, 'impression', '4', 240570882L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0569331256349956, False, 'best']
['joaoviegas', 202546889, 'impression', '6', 240571341L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0497248264211057, False, 'best']
['joaoviegas', 202546889, 'impression', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.316634056783271, True, 'best']
['joaoviegas', 202546889, 'impression', '10', 240572092L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.043148150625268, False, 'best']
['joaoviegas', 202546889, 'impression', '2', 240570092L, datetime.datetime(2013, 5, 16, 20, 10, 8), 0.0512440014227454, False, 'best']
['joaoviegas', 202546889, 'expand_tile', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 10, 50), 0.316634056783271, True, 'best']
['joaoviegas', 202546889, 'send_message', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 11, 57), 0.316634056783271, True, 'best']
['joaoviegas', 202546889, 'expand_tile', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 18, 49), 0.316634056783271, True, 'best']
['joaoviegas', 202546889, 'collapse_tile', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 25, 18), 0.316634056783271, True, 'best']
['joaoviegas', 202546889, 'expand_tile', '2', 240570092L, datetime.datetime(2013, 5, 16, 20, 25, 22), 0.0512440014227454, False, 'best']
['joaoviegas', 202546889, 'impression', '9', 240571536L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0351816496016458, False, 'best']
['joaoviegas', 202546889, 'impression', '6', 240571341L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0497248264211057, False, 'best']
['joaoviegas', 202546889, 'impression', '4', 240570882L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0569331256349956, False, 'best']
['joaoviegas', 202546889, 'impression', '5', 240571174L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0622010093704487, False, 'best']
['joaoviegas', 202546889, 'impression', '7', 240571382L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0321529354961203, False, 'best']
['joaoviegas', 202546889, 'impression', '3', 240570810L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0383673342147638, False, 'best']
['joaoviegas', 202546889, 'impression', '8', 240571393L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0651037305042011, False, 'best']
['joaoviegas', 202546889, 'impression', '10', 240572092L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.043148150625268, False, 'best']
['joaoviegas', 202546889, 'impression', '2', 240570092L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.0512440014227454, False, 'best']
['joaoviegas', 202546889, 'impression', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 49, 17), 0.316634056783271, True, 'best']
['joaoviegas', 202546889, 'expand_tile', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 49, 23), 0.316634056783271, True, 'best']
['joaoviegas', 202546889, 'hire', '1', 240569857L, datetime.datetime(2013, 5, 16, 20, 50, 24), 0.316634056783271, True, 'best']

