['johnbartik', 202588023, 'impression', '1', 241445568L, datetime.datetime(2013, 5, 28, 3, 18, 20), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 18, 20), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 19, 54), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '1', 241445568L, datetime.datetime(2013, 5, 28, 3, 21, 6), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 21, 6), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '1', 241445568L, datetime.datetime(2013, 5, 28, 3, 21, 20), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 21, 32), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '1', 241445568L, datetime.datetime(2013, 5, 28, 3, 21, 32), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 21, 51), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 23, 47), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '1', 241445568L, datetime.datetime(2013, 5, 28, 3, 23, 47), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '1', 241445568L, datetime.datetime(2013, 5, 28, 3, 23, 49), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '1', 241445568L, datetime.datetime(2013, 5, 28, 3, 24, 11), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 24, 11), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'shortlist', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 24, 14), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 24, 23), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', None, 241445149L, datetime.datetime(2013, 5, 28, 3, 24, 23), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '2', 241445149L, datetime.datetime(2013, 5, 28, 3, 24, 43), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '1', 241447750L, datetime.datetime(2013, 5, 28, 3, 33, 17), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241445568L, datetime.datetime(2013, 5, 28, 3, 33, 17), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '3', 241445149L, datetime.datetime(2013, 5, 28, 3, 33, 17), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'expand_tile', '1', 241447750L, datetime.datetime(2013, 5, 28, 3, 33, 36), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '1', 241447750L, datetime.datetime(2013, 5, 28, 3, 34, 13), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '2', 241445568L, datetime.datetime(2013, 5, 28, 3, 35, 43), 0.0388133507588059, False, 'time']
['johnbartik', 202588023, 'impression', '3', 241445149L, datetime.datetime(2013, 5, 28, 3, 35, 43), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '1', 241447750L, datetime.datetime(2013, 5, 28, 3, 35, 43), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'view_full_application_via_name', '1', 241447750L, datetime.datetime(2013, 5, 28, 3, 36, 27), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '1', 241447750L, datetime.datetime(2013, 5, 28, 3, 36, 44), 0.0520654560011436, False, 'time']
['johnbartik', 202588023, 'impression', '3', 241445149L, datetime.datetime(2013, 5, 28, 3, 36, 44), 0.0195159478846435, True, 'time']
['johnbartik', 202588023, 'impression', '2', 241445568L, datetime.datetime(2013, 5, 28, 3, 36, 44), 0.0388133507588059, False, 'time']
