['jonathangrant1', 202546587, 'impression', '6', 240567894L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.514630935099667, False, 'best']
['jonathangrant1', 202546587, 'impression', '9', 240564516L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.423974033790377, False, 'best']
['jonathangrant1', 202546587, 'impression', '8', 240564132L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.453452357064826, False, 'best']
['jonathangrant1', 202546587, 'impression', '5', 240563879L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.515164953605812, False, 'best']
['jonathangrant1', 202546587, 'impression', '2', 240565619L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.811181126979744, False, 'best']
['jonathangrant1', 202546587, 'impression', '11', 240565105L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.410248022211528, False, 'best']
['jonathangrant1', 202546587, 'impression', '10', 240564591L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.414129179789279, False, 'best']
['jonathangrant1', 202546587, 'impression', '4', 240564736L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.630527410975966, False, 'best']
['jonathangrant1', 202546587, 'impression', '1', 240570279L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.839913862452301, False, 'best']
['jonathangrant1', 202546587, 'impression', '12', 240616912L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.598177474960008, False, 'best']
['jonathangrant1', 202546587, 'impression', '3', 240577650L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.774161091284043, True, 'best']
['jonathangrant1', 202546587, 'impression', '7', 240567095L, datetime.datetime(2013, 5, 17, 11, 39, 44), 0.482117334164444, False, 'best']
['jonathangrant1', 202546587, 'view_full_application_via_name', '1', 240570279L, datetime.datetime(2013, 5, 17, 11, 40, 23), 0.839913862452301, False, 'best']

['jonathangrant1', 202546587, 'impression', '5', 240616912L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.598177474960008, False, 'best']
['jonathangrant1', 202546587, 'impression', '3', 240577650L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.774161091284043, True, 'best']
['jonathangrant1', 202546587, 'impression', '8', 240567095L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.482117334164444, False, 'best']
['jonathangrant1', 202546587, 'impression', '7', 240567894L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.514630935099667, False, 'best']
['jonathangrant1', 202546587, 'impression', '4', 240564736L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.630527410975966, False, 'best']
['jonathangrant1', 202546587, 'impression', '1', 240570279L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.839913862452301, False, 'best']
['jonathangrant1', 202546587, 'impression', '11', 240564591L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.414129179789279, False, 'best']
['jonathangrant1', 202546587, 'impression', '12', 240565105L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.410248022211528, False, 'best']
['jonathangrant1', 202546587, 'impression', '2', 240565619L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.811181126979744, False, 'best']
['jonathangrant1', 202546587, 'impression', '6', 240563879L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.515164953605812, False, 'best']
['jonathangrant1', 202546587, 'impression', '9', 240564132L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.453452357064826, False, 'best']
['jonathangrant1', 202546587, 'impression', '10', 240564516L, datetime.datetime(2013, 5, 17, 12, 16, 52), 0.423974033790377, False, 'best']
['jonathangrant1', 202546587, 'view_full_application_via_name', '3', 240577650L, datetime.datetime(2013, 5, 17, 12, 16, 57), 0.774161091284043, True, 'best']

['jonathangrant1', 202546587, 'impression', '9', 240564591L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.414129179789279, False, 'best']
['jonathangrant1', 202546587, 'impression', '10', 240565105L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.410248022211528, False, 'best']
['jonathangrant1', 202546587, 'impression', '6', 240567894L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.514630935099667, False, 'best']
['jonathangrant1', 202546587, 'impression', '8', 240564132L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.453452357064826, False, 'best']
['jonathangrant1', 202546587, 'impression', '5', 240563879L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.515164953605812, False, 'best']
['jonathangrant1', 202546587, 'impression', '1', 240570279L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.839913862452301, False, 'best']
['jonathangrant1', 202546587, 'impression', '3', 240564736L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.630527410975966, False, 'best']
['jonathangrant1', 202546587, 'impression', '4', 240616912L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.598177474960008, False, 'best']
['jonathangrant1', 202546587, 'impression', '2', 240577650L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.774161091284043, True, 'best']
['jonathangrant1', 202546587, 'impression', '7', 240567095L, datetime.datetime(2013, 5, 17, 19, 22, 30), 0.482117334164444, False, 'best']
['jonathangrant1', 202546587, 'impression', '2', 240577650L, datetime.datetime(2013, 5, 17, 19, 22, 35), 0.774161091284043, True, 'best']
['jonathangrant1', 202546587, 'shortlist', '2', 240577650L, datetime.datetime(2013, 5, 17, 19, 22, 38), 0.774161091284043, True, 'best']
['jonathangrant1', 202546587, 'impression', '2', 240577650L, datetime.datetime(2013, 5, 17, 19, 22, 39), 0.774161091284043, True, 'best']
['jonathangrant1', 202546587, 'impression', None, 240577650L, datetime.datetime(2013, 5, 17, 19, 22, 39), 0.774161091284043, True, 'best']

['jonathangrant1', 202546587, 'impression', '4', 240563879L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.515164953605812, False, 'best']
['jonathangrant1', 202546587, 'impression', '6', 240564132L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.453452357064826, False, 'best']
['jonathangrant1', 202546587, 'impression', '5', 240567894L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.514630935099667, False, 'best']
['jonathangrant1', 202546587, 'impression', '3', 240616912L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.598177474960008, False, 'best']
['jonathangrant1', 202546587, 'impression', '1', 240570279L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.839913862452301, False, 'best']
['jonathangrant1', 202546587, 'impression', '2', 240564736L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.630527410975966, False, 'best']
['jonathangrant1', 202546587, 'impression', '7', 240564591L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.414129179789279, False, 'best']
['jonathangrant1', 202546587, 'impression', '8', 240565105L, datetime.datetime(2013, 5, 19, 7, 39, 54), 0.410248022211528, False, 'best']
['jonathangrant1', 202546587, 'impression', '1', 240570279L, datetime.datetime(2013, 5, 19, 7, 40, 3), 0.839913862452301, False, 'best']

