['joomgo', 202537819, 'impression', '12', 240389380L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '8', 240389797L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '6', 240388793L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '15', 240391403L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.361969421345516, False, 'best']
['joomgo', 202537819, 'impression', '3', 240389592L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '9', 240390460L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '11', 240389529L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.471139736885629, False, 'best']
['joomgo', 202537819, 'impression', '20', 240393521L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.765027005849536, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '13', 240388988L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.462352913868576, False, 'best']
['joomgo', 202537819, 'impression', '14', 240388940L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.446760022206389, False, 'best']
['joomgo', 202537819, 'impression', '4', 240389534L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '10', 240391507L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.492551117793717, False, 'best']
['joomgo', 202537819, 'impression', '7', 240388911L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.531476342022333, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389186L, datetime.datetime(2013, 5, 14, 20, 46, 40), 0.69112622071641, False, 'best']

['joomgo', 202537819, 'impression', '4', 240414630L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.715453915992007, False, 'best']
['joomgo', 202537819, 'impression', '16', 240389380L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.470722602631589, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '6', 240389534L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '8', 240388793L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '13', 240390460L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '5', 240389592L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '19', 240391403L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.361969421345516, False, 'best']
['joomgo', 202537819, 'impression', '12', 240389797L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '10', 240394735L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.543885236981424, False, 'best']
['joomgo', 202537819, 'impression', '14', 240391507L, datetime.datetime(2013, 5, 15, 12, 27, 6), 0.492551117793717, False, 'best']
