['jordancox21', 202537538, 'impression', '1', 240384439L, datetime.datetime(2013, 5, 14, 18, 25, 33), 0.0, False, 'best']
['jordancox21', 202537538, 'expand_tile', '1', 240384439L, datetime.datetime(2013, 5, 14, 18, 25, 59), 0.0, False, 'best']
['jordancox21', 202537538, 'view_full_application', '1', 240384439L, datetime.datetime(2013, 5, 14, 18, 26, 18), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240384439L, datetime.datetime(2013, 5, 14, 18, 28, 19), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240384439L, datetime.datetime(2013, 5, 14, 18, 49, 31), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '3', 240386863L, datetime.datetime(2013, 5, 14, 18, 49, 31), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '3', 240386863L, datetime.datetime(2013, 5, 14, 18, 56, 31), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240384439L, datetime.datetime(2013, 5, 14, 18, 56, 31), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '3', 240386863L, datetime.datetime(2013, 5, 14, 19, 7, 1), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240384439L, datetime.datetime(2013, 5, 14, 19, 7, 1), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '2', 240384439L, datetime.datetime(2013, 5, 14, 19, 15, 39), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 15, 39), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'impression', '4', 240386863L, datetime.datetime(2013, 5, 14, 19, 15, 39), 0.0, False, 'best']
['jordancox21', 202537538, 'expand_tile', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 16, 6), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'impression', '4', 240386863L, datetime.datetime(2013, 5, 14, 19, 40, 47), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 40, 47), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'impression', '2', 240384439L, datetime.datetime(2013, 5, 14, 19, 40, 47), 0.0, False, 'best']
['jordancox21', 202537538, 'expand_tile', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 41, 1), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'shortlist', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 41, 5), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'expand_tile', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 41, 33), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'impression', '4', 240386863L, datetime.datetime(2013, 5, 14, 19, 43, 29), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 43, 29), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'impression', '2', 240384439L, datetime.datetime(2013, 5, 14, 19, 43, 29), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '4', 240386863L, datetime.datetime(2013, 5, 14, 19, 47, 13), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 47, 13), 0.031217446428108, False, 'best']
['jordancox21', 202537538, 'impression', '2', 240384439L, datetime.datetime(2013, 5, 14, 19, 47, 13), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '4', 240386863L, datetime.datetime(2013, 5, 14, 19, 48, 16), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '2', 240384439L, datetime.datetime(2013, 5, 14, 19, 48, 16), 0.0, False, 'best']
['jordancox21', 202537538, 'impression', '1', 240388054L, datetime.datetime(2013, 5, 14, 19, 48, 16), 0.031217446428108, False, 'best']

