['kalyan_sudhakar', 202561657, 'impression', '1', 240884267L, datetime.datetime(2013, 5, 21, 4, 48, 26), 0.253148208670557, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '6', 240882638L, datetime.datetime(2013, 5, 21, 4, 48, 26), 0.149255216327938, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '5', 240884249L, datetime.datetime(2013, 5, 21, 4, 48, 26), 0.154306088886627, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '4', 240882102L, datetime.datetime(2013, 5, 21, 4, 48, 26), 0.209949205003319, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '2', 240884436L, datetime.datetime(2013, 5, 21, 4, 48, 26), 0.239792798435885, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '7', 240882194L, datetime.datetime(2013, 5, 21, 4, 48, 26), 0.145615946263355, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '3', 240883971L, datetime.datetime(2013, 5, 21, 4, 48, 26), 0.234738865921306, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '4', 240882102L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.209949205003319, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '5', 240885156L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.181331533206737, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '9', 240885996L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.144464429755919, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '1', 240884267L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.253148208670557, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '6', 240884249L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.154306088886627, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '7', 240882638L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.149255216327938, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '2', 240884436L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.239792798435885, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '3', 240883971L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.234738865921306, False, 'best']
['kalyan_sudhakar', 202561657, 'impression', '8', 240882194L, datetime.datetime(2013, 5, 21, 5, 11, 7), 0.145615946263355, False, 'best']
['kalyan_sudhakar', 202561657, 'view_full_application_via_name', '9', 240885996L, datetime.datetime(2013, 5, 21, 5, 11, 33), 0.144464429755919, False, 'best']
