['kmohanta', 202555875, 'impression', '7', 240769608L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '3', 240799993L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240769274L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.175209108499074, False, 'best']
['kmohanta', 202555875, 'impression', '15', 240774465L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '12', 240767827L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.101734351217285, False, 'best']
['kmohanta', 202555875, 'impression', '16', 240767382L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.0644391960184272, False, 'best']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '13', 240767339L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '18', 240770849L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.0369770617668834, False, 'best']
['kmohanta', 202555875, 'impression', '9', 240770113L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.142150950979071, False, 'best']
['kmohanta', 202555875, 'impression', '10', 240768561L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '14', 240766545L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240768762L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.15986076291246, False, 'best']
['kmohanta', 202555875, 'impression', '17', 240770216L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.0459539128374913, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240770088L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.205450425695242, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240771190L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.381193998169017, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240767241L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'impression', '11', 240770629L, datetime.datetime(2013, 5, 20, 15, 5, 10), 0.103706250692859, False, 'best']
['kmohanta', 202555875, 'expand_tile', '2', 240771190L, datetime.datetime(2013, 5, 20, 15, 6, 46), 0.381193998169017, False, 'best']
['kmohanta', 202555875, 'expand_tile', '1', 240766426L, datetime.datetime(2013, 5, 20, 15, 9, 42), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'hide', '2', 240771190L, datetime.datetime(2013, 5, 20, 15, 10, 6), 0.381193998169017, False, 'best']
['kmohanta', 202555875, 'expand_tile', '2', 240771190L, datetime.datetime(2013, 5, 20, 15, 10, 6), 0.381193998169017, False, 'best']
['kmohanta', 202555875, 'expand_tile', '3', 240799993L, datetime.datetime(2013, 5, 20, 15, 10, 14), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'shortlist', '1', 240766426L, datetime.datetime(2013, 5, 20, 15, 14, 12), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'expand_tile', '1', 240766426L, datetime.datetime(2013, 5, 20, 15, 14, 12), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'send_message', '1', 240766426L, datetime.datetime(2013, 5, 20, 15, 14, 17), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'expand_tile', '1', 240766426L, datetime.datetime(2013, 5, 20, 15, 16, 52), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'expand_tile', '4', 240770088L, datetime.datetime(2013, 5, 20, 15, 17, 8), 0.205450425695242, False, 'best']
['kmohanta', 202555875, 'expand_tile', '4', 240770088L, datetime.datetime(2013, 5, 20, 15, 29, 48), 0.205450425695242, False, 'best']
['kmohanta', 202555875, 'hide', '4', 240770088L, datetime.datetime(2013, 5, 20, 15, 29, 48), 0.205450425695242, False, 'best']
['kmohanta', 202555875, 'expand_tile', '5', 240769274L, datetime.datetime(2013, 5, 20, 15, 30, 8), 0.175209108499074, False, 'best']
['kmohanta', 202555875, 'expand_tile', '5', 240769274L, datetime.datetime(2013, 5, 20, 15, 30, 30), 0.175209108499074, False, 'best']
['kmohanta', 202555875, 'hide', '5', 240769274L, datetime.datetime(2013, 5, 20, 15, 30, 30), 0.175209108499074, False, 'best']
['kmohanta', 202555875, 'expand_tile', '9', 240770113L, datetime.datetime(2013, 5, 20, 15, 30, 57), 0.142150950979071, False, 'best']
['kmohanta', 202555875, 'expand_tile', '10', 240768561L, datetime.datetime(2013, 5, 20, 15, 31, 24), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'hide', '11', 240770629L, datetime.datetime(2013, 5, 20, 15, 31, 36), 0.103706250692859, False, 'best']
