['korey50444', 202539728, 'impression', '6', 240418860L, datetime.datetime(2013, 5, 15, 6, 19, 44), 0.109678852580103, False, 'time']
['korey50444', 202539728, 'impression', '4', 240419926L, datetime.datetime(2013, 5, 15, 6, 19, 44), 0.323089025762048, False, 'time']
['korey50444', 202539728, 'impression', '2', 240421245L, datetime.datetime(2013, 5, 15, 6, 19, 44), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'impression', '1', 240421308L, datetime.datetime(2013, 5, 15, 6, 19, 44), 0.16236613974599, False, 'time']
['korey50444', 202539728, 'impression', '3', 240420151L, datetime.datetime(2013, 5, 15, 6, 19, 44), 0.619268877825947, False, 'time']
['korey50444', 202539728, 'impression', '5', 240419709L, datetime.datetime(2013, 5, 15, 6, 19, 44), 0.485993763419437, False, 'time']
['korey50444', 202539728, 'expand_tile', '1', 240421308L, datetime.datetime(2013, 5, 15, 6, 19, 48), 0.16236613974599, False, 'time']
['korey50444', 202539728, 'view_full_application', '1', 240421308L, datetime.datetime(2013, 5, 15, 6, 20, 11), 0.16236613974599, False, 'time']
['korey50444', 202539728, 'impression', '1', 240421308L, datetime.datetime(2013, 5, 15, 6, 20, 57), 0.16236613974599, False, 'time']
['korey50444', 202539728, 'impression', '4', 240419926L, datetime.datetime(2013, 5, 15, 6, 20, 57), 0.323089025762048, False, 'time']
['korey50444', 202539728, 'impression', '2', 240421245L, datetime.datetime(2013, 5, 15, 6, 20, 57), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'impression', '6', 240418860L, datetime.datetime(2013, 5, 15, 6, 20, 57), 0.109678852580103, False, 'time']
['korey50444', 202539728, 'impression', '5', 240419709L, datetime.datetime(2013, 5, 15, 6, 20, 57), 0.485993763419437, False, 'time']
['korey50444', 202539728, 'impression', '3', 240420151L, datetime.datetime(2013, 5, 15, 6, 20, 57), 0.619268877825947, False, 'time']
['korey50444', 202539728, 'expand_tile', '2', 240421245L, datetime.datetime(2013, 5, 15, 6, 21, 23), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'view_full_application', '2', 240421245L, datetime.datetime(2013, 5, 15, 6, 21, 26), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'impression', '4', 240420151L, datetime.datetime(2013, 5, 15, 6, 31, 1), 0.619268877825947, False, 'time']
['korey50444', 202539728, 'impression', '1', 240423733L, datetime.datetime(2013, 5, 15, 6, 31, 1), 0.257680601526894, False, 'time']
['korey50444', 202539728, 'impression', '6', 240419709L, datetime.datetime(2013, 5, 15, 6, 31, 1), 0.485993763419437, False, 'time']
['korey50444', 202539728, 'impression', '5', 240419926L, datetime.datetime(2013, 5, 15, 6, 31, 1), 0.323089025762048, False, 'time']
['korey50444', 202539728, 'impression', '3', 240421245L, datetime.datetime(2013, 5, 15, 6, 31, 1), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'impression', '7', 240418860L, datetime.datetime(2013, 5, 15, 6, 31, 1), 0.109678852580103, False, 'time']
['korey50444', 202539728, 'impression', '2', 240421308L, datetime.datetime(2013, 5, 15, 6, 31, 1), 0.16236613974599, False, 'time']
['korey50444', 202539728, 'expand_tile', '7', 240418860L, datetime.datetime(2013, 5, 15, 6, 31, 18), 0.109678852580103, False, 'time']
['korey50444', 202539728, 'send_message', '7', 240418860L, datetime.datetime(2013, 5, 15, 6, 31, 44), 0.109678852580103, False, 'time']
['korey50444', 202539728, 'expand_tile', '7', 240418860L, datetime.datetime(2013, 5, 15, 6, 31, 50), 0.109678852580103, False, 'time']
['korey50444', 202539728, 'expand_tile', '3', 240421245L, datetime.datetime(2013, 5, 15, 6, 32, 2), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'send_message', '3', 240421245L, datetime.datetime(2013, 5, 15, 6, 32, 21), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'expand_tile', '3', 240421245L, datetime.datetime(2013, 5, 15, 6, 32, 30), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'impression', '7', 240418860L, datetime.datetime(2013, 5, 15, 6, 33, 31), 0.109678852580103, False, 'time']
['korey50444', 202539728, 'impression', '2', 240421308L, datetime.datetime(2013, 5, 15, 6, 33, 31), 0.16236613974599, False, 'time']
['korey50444', 202539728, 'impression', '5', 240419926L, datetime.datetime(2013, 5, 15, 6, 33, 31), 0.323089025762048, False, 'time']
['korey50444', 202539728, 'impression', '3', 240421245L, datetime.datetime(2013, 5, 15, 6, 33, 31), 0.510559338626606, False, 'time']
['korey50444', 202539728, 'impression', '4', 240420151L, datetime.datetime(2013, 5, 15, 6, 33, 31), 0.619268877825947, False, 'time']
['korey50444', 202539728, 'impression', '1', 240423733L, datetime.datetime(2013, 5, 15, 6, 33, 31), 0.257680601526894, False, 'time']
['korey50444', 202539728, 'impression', '6', 240419709L, datetime.datetime(2013, 5, 15, 6, 33, 31), 0.485993763419437, False, 'time']
['korey50444', 202539728, 'expand_tile', '1', 240423733L, datetime.datetime(2013, 5, 15, 6, 33, 34), 0.257680601526894, False, 'time']
['korey50444', 202539728, 'view_full_application_via_message', '1', 240423733L, datetime.datetime(2013, 5, 15, 6, 33, 38), 0.257680601526894, False, 'time']

