['ksaekon', 202566584, 'impression', '1', 240978205L, datetime.datetime(2013, 5, 22, 3, 51, 42), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'expand_tile', '1', 240978205L, datetime.datetime(2013, 5, 22, 3, 51, 49), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'view_full_application', '1', 240978205L, datetime.datetime(2013, 5, 22, 3, 51, 58), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240978205L, datetime.datetime(2013, 5, 22, 3, 53, 6), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240978205L, datetime.datetime(2013, 5, 22, 3, 53, 10), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240978205L, datetime.datetime(2013, 5, 22, 3, 55, 58), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'expand_tile', '1', 240978205L, datetime.datetime(2013, 5, 22, 3, 56, 3), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 0, 53), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240978940L, datetime.datetime(2013, 5, 22, 4, 0, 53), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978205L, datetime.datetime(2013, 5, 22, 4, 0, 53), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 1, 3), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 1, 43), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978205L, datetime.datetime(2013, 5, 22, 4, 1, 43), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240978940L, datetime.datetime(2013, 5, 22, 4, 1, 43), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240978940L, datetime.datetime(2013, 5, 22, 4, 1, 44), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978205L, datetime.datetime(2013, 5, 22, 4, 2, 52), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240978940L, datetime.datetime(2013, 5, 22, 4, 2, 52), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 2, 52), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 3), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240978940L, datetime.datetime(2013, 5, 22, 4, 5, 50), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 5, 50), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978205L, datetime.datetime(2013, 5, 22, 4, 5, 50), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240978940L, datetime.datetime(2013, 5, 22, 4, 9, 17), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978205L, datetime.datetime(2013, 5, 22, 4, 9, 17), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 9, 17), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '2', 240978752L, datetime.datetime(2013, 5, 22, 4, 9, 21), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978752L, datetime.datetime(2013, 5, 22, 4, 11, 57), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978205L, datetime.datetime(2013, 5, 22, 4, 11, 57), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979125L, datetime.datetime(2013, 5, 22, 4, 11, 57), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978940L, datetime.datetime(2013, 5, 22, 4, 11, 57), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240979125L, datetime.datetime(2013, 5, 22, 4, 12, 3), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978940L, datetime.datetime(2013, 5, 22, 4, 12, 53), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979125L, datetime.datetime(2013, 5, 22, 4, 12, 53), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978205L, datetime.datetime(2013, 5, 22, 4, 12, 53), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978752L, datetime.datetime(2013, 5, 22, 4, 12, 53), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240979125L, datetime.datetime(2013, 5, 22, 4, 13, 6), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240978940L, datetime.datetime(2013, 5, 22, 4, 13, 54), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979125L, datetime.datetime(2013, 5, 22, 4, 13, 54), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978205L, datetime.datetime(2013, 5, 22, 4, 13, 54), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978752L, datetime.datetime(2013, 5, 22, 4, 13, 54), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '2', 240978940L, datetime.datetime(2013, 5, 22, 4, 14, 10), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 15, 4), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 15, 4), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 15, 4), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 15, 4), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 15, 4), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 15, 12), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 17, 32), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 17, 42), 0.0799568895519861, False, 'time']
