['l0zo', 202553916, 'impression', '1', 240724995L, datetime.datetime(2013, 5, 18, 19, 43, 35), 0.150873695601977, False, 'time']
['l0zo', 202553916, 'view_full_application_via_name', '1', 240724995L, datetime.datetime(2013, 5, 18, 19, 43, 56), 0.150873695601977, False, 'time']
['l0zo', 202553916, 'impression', '2', 240724995L, datetime.datetime(2013, 5, 18, 19, 54, 25), 0.150873695601977, False, 'time']
['l0zo', 202553916, 'impression', '1', 240725487L, datetime.datetime(2013, 5, 18, 19, 54, 25), 0.102126504527431, False, 'time']
['l0zo', 202553916, 'view_full_application_via_name', '1', 240725487L, datetime.datetime(2013, 5, 18, 19, 54, 36), 0.102126504527431, False, 'time']
['l0zo', 202553916, 'view_full_application_via_name', '1', 240725487L, datetime.datetime(2013, 5, 18, 19, 54, 38), 0.102126504527431, False, 'time']

['l0zo', 202553916, 'impression', '2', 240725487L, datetime.datetime(2013, 5, 18, 21, 16, 23), 0.102126504527431, False, 'time']
['l0zo', 202553916, 'impression', '1', 240728192L, datetime.datetime(2013, 5, 18, 21, 16, 23), 0.0726617793589096, False, 'time']
['l0zo', 202553916, 'impression', '3', 240724995L, datetime.datetime(2013, 5, 18, 21, 16, 23), 0.150873695601977, False, 'time']
['l0zo', 202553916, 'view_full_application_via_name', '1', 240728192L, datetime.datetime(2013, 5, 18, 21, 16, 33), 0.0726617793589096, False, 'time']

['l0zo', 202553916, 'impression', '3', 240724995L, datetime.datetime(2013, 5, 19, 7, 22, 30), 0.150873695601977, False, 'time']
['l0zo', 202553916, 'impression', '2', 240725487L, datetime.datetime(2013, 5, 19, 7, 22, 30), 0.102126504527431, False, 'time']
['l0zo', 202553916, 'impression', '1', 240728192L, datetime.datetime(2013, 5, 19, 7, 22, 30), 0.0726617793589096, False, 'time']

['l0zo', 202553916, 'impression', '3', 240728192L, datetime.datetime(2013, 5, 19, 15, 45, 31), 0.0726617793589096, False, 'time']
['l0zo', 202553916, 'impression', '4', 240725487L, datetime.datetime(2013, 5, 19, 15, 45, 31), 0.102126504527431, False, 'time']
['l0zo', 202553916, 'impression', '2', 240746912L, datetime.datetime(2013, 5, 19, 15, 45, 31), 0.58594371830688, False, 'time']
['l0zo', 202553916, 'impression', '1', 240753787L, datetime.datetime(2013, 5, 19, 15, 45, 31), 0.0781668315714485, True, 'time']
['l0zo', 202553916, 'impression', '2', 240746912L, datetime.datetime(2013, 5, 19, 15, 45, 38), 0.58594371830688, False, 'time']
['l0zo', 202553916, 'impression', '1', 240753787L, datetime.datetime(2013, 5, 19, 15, 45, 38), 0.0781668315714485, True, 'time']
['l0zo', 202553916, 'impression', '4', 240725487L, datetime.datetime(2013, 5, 19, 15, 45, 38), 0.102126504527431, False, 'time']
['l0zo', 202553916, 'impression', '3', 240728192L, datetime.datetime(2013, 5, 19, 15, 45, 38), 0.0726617793589096, False, 'time']
['l0zo', 202553916, 'expand_tile', '1', 240753787L, datetime.datetime(2013, 5, 19, 15, 45, 41), 0.0781668315714485, True, 'time']
['l0zo', 202553916, 'view_full_application', '1', 240753787L, datetime.datetime(2013, 5, 19, 15, 45, 51), 0.0781668315714485, True, 'time']
['l0zo', 202553916, 'impression', '2', 240746912L, datetime.datetime(2013, 5, 19, 15, 46, 10), 0.58594371830688, False, 'time']
['l0zo', 202553916, 'impression', '1', 240753787L, datetime.datetime(2013, 5, 19, 15, 46, 10), 0.0781668315714485, True, 'time']
['l0zo', 202553916, 'impression', '3', 240728192L, datetime.datetime(2013, 5, 19, 15, 46, 10), 0.0726617793589096, False, 'time']
['l0zo', 202553916, 'impression', '4', 240725487L, datetime.datetime(2013, 5, 19, 15, 46, 10), 0.102126504527431, False, 'time']
['l0zo', 202553916, 'view_full_application_via_name', '1', 240753787L, datetime.datetime(2013, 5, 19, 15, 46, 25), 0.0781668315714485, True, 'time']

