['lazzaros', 202580993, 'impression', '7', 241283683L, datetime.datetime(2013, 5, 25, 17, 1, 42), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283845L, datetime.datetime(2013, 5, 25, 17, 1, 42), 0.15204182611782, False, 'time']
['lazzaros', 202580993, 'impression', '6', 241283714L, datetime.datetime(2013, 5, 25, 17, 1, 42), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241283861L, datetime.datetime(2013, 5, 25, 17, 1, 42), 0.147688467503785, False, 'time']
['lazzaros', 202580993, 'impression', '5', 241283809L, datetime.datetime(2013, 5, 25, 17, 1, 42), 0.244217559713964, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 25, 17, 1, 42), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283829L, datetime.datetime(2013, 5, 25, 17, 1, 42), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'expand_tile', '1', 241283861L, datetime.datetime(2013, 5, 25, 17, 2, 15), 0.147688467503785, False, 'time']
['lazzaros', 202580993, 'view_full_application', '1', 241283861L, datetime.datetime(2013, 5, 25, 17, 2, 33), 0.147688467503785, False, 'time']
['lazzaros', 202580993, 'impression', '5', 241283809L, datetime.datetime(2013, 5, 25, 17, 3, 15), 0.244217559713964, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 25, 17, 3, 15), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283829L, datetime.datetime(2013, 5, 25, 17, 3, 15), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '7', 241283683L, datetime.datetime(2013, 5, 25, 17, 3, 15), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241283861L, datetime.datetime(2013, 5, 25, 17, 3, 15), 0.147688467503785, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283845L, datetime.datetime(2013, 5, 25, 17, 3, 15), 0.15204182611782, False, 'time']
['lazzaros', 202580993, 'impression', '6', 241283714L, datetime.datetime(2013, 5, 25, 17, 3, 15), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 25, 17, 3, 18), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'expand_tile', '2', 241283862L, datetime.datetime(2013, 5, 25, 17, 3, 19), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'view_full_application', '2', 241283862L, datetime.datetime(2013, 5, 25, 17, 3, 42), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '7', 241283683L, datetime.datetime(2013, 5, 25, 17, 4, 54), 0.0399722448745984, False, 'time']
['lazzaros', 202580993, 'impression', '4', 241283829L, datetime.datetime(2013, 5, 25, 17, 4, 54), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 25, 17, 4, 54), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '5', 241283809L, datetime.datetime(2013, 5, 25, 17, 4, 54), 0.244217559713964, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283845L, datetime.datetime(2013, 5, 25, 17, 4, 54), 0.15204182611782, False, 'time']
['lazzaros', 202580993, 'impression', '6', 241283714L, datetime.datetime(2013, 5, 25, 17, 4, 54), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241283861L, datetime.datetime(2013, 5, 25, 17, 4, 54), 0.147688467503785, False, 'time']
