['leon740gk', 202540118, 'impression', '2', 240430405L, datetime.datetime(2013, 5, 15, 7, 55, 44), 0.111980889172527, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240430907L, datetime.datetime(2013, 5, 15, 7, 55, 44), 0.349460371187966, False, 'time']
['leon740gk', 202540118, 'expand_tile', '1', 240430907L, datetime.datetime(2013, 5, 15, 7, 56, 37), 0.349460371187966, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240431211L, datetime.datetime(2013, 5, 15, 8, 17, 29), 0.0616903076149747, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240432359L, datetime.datetime(2013, 5, 15, 8, 17, 29), 0.187423140863053, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240431726L, datetime.datetime(2013, 5, 15, 8, 17, 29), 0.0713058219368505, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240431490L, datetime.datetime(2013, 5, 15, 8, 17, 29), 0.190464162963199, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240430907L, datetime.datetime(2013, 5, 15, 8, 17, 29), 0.349460371187966, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240430405L, datetime.datetime(2013, 5, 15, 8, 17, 29), 0.111980889172527, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240431490L, datetime.datetime(2013, 5, 15, 8, 30, 53), 0.190464162963199, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240431726L, datetime.datetime(2013, 5, 15, 8, 30, 53), 0.0713058219368505, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240430405L, datetime.datetime(2013, 5, 15, 8, 30, 53), 0.111980889172527, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240430907L, datetime.datetime(2013, 5, 15, 8, 30, 53), 0.349460371187966, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240431211L, datetime.datetime(2013, 5, 15, 8, 30, 53), 0.0616903076149747, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240432359L, datetime.datetime(2013, 5, 15, 8, 30, 53), 0.187423140863053, False, 'time']

['leon740gk', 202540118, 'impression', '7', 240430907L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.349460371187966, False, 'time']
['leon740gk', 202540118, 'impression', '8', 240430405L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.111980889172527, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240431490L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.190464162963199, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240435878L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240431726L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.0713058219368505, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240435730L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240431211L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.0616903076149747, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240432359L, datetime.datetime(2013, 5, 15, 9, 39, 47), 0.187423140863053, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_message', '2', 240435730L, datetime.datetime(2013, 5, 15, 9, 40, 9), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240431211L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.0616903076149747, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240432359L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.187423140863053, False, 'time']
['leon740gk', 202540118, 'impression', '7', 240430907L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.349460371187966, False, 'time']
['leon740gk', 202540118, 'impression', '8', 240430405L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.111980889172527, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240431490L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.190464162963199, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240435730L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240435878L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240431726L, datetime.datetime(2013, 5, 15, 9, 46, 6), 0.0713058219368505, False, 'time']
['leon740gk', 202540118, 'hide', '3', 240432359L, datetime.datetime(2013, 5, 15, 9, 46, 37), 0.187423140863053, False, 'time']
['leon740gk', 202540118, 'hide', '4', 240431726L, datetime.datetime(2013, 5, 15, 9, 46, 39), 0.0713058219368505, False, 'time']
['leon740gk', 202540118, 'hide', '5', 240431490L, datetime.datetime(2013, 5, 15, 9, 46, 40), 0.190464162963199, False, 'time']
['leon740gk', 202540118, 'hide', '6', 240431211L, datetime.datetime(2013, 5, 15, 9, 46, 41), 0.0616903076149747, False, 'time']
['leon740gk', 202540118, 'hide', '7', 240430907L, datetime.datetime(2013, 5, 15, 9, 46, 43), 0.349460371187966, False, 'time']
['leon740gk', 202540118, 'hide', '8', 240430405L, datetime.datetime(2013, 5, 15, 9, 46, 44), 0.111980889172527, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240440653L, datetime.datetime(2013, 5, 15, 10, 15, 56), 0.422291293856026, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240434073L, datetime.datetime(2013, 5, 15, 10, 15, 56), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240435878L, datetime.datetime(2013, 5, 15, 10, 15, 56), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240435730L, datetime.datetime(2013, 5, 15, 10, 15, 56), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'hide', '1', 240440653L, datetime.datetime(2013, 5, 15, 10, 16), 0.422291293856026, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_message', '4', 240434073L, datetime.datetime(2013, 5, 15, 10, 16, 4), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240441619L, datetime.datetime(2013, 5, 15, 10, 45, 13), 0.359805457848029, False, 'time']
