['listacquisition', 202596100, 'impression', '3', 241614099L, datetime.datetime(2013, 5, 29, 19, 49, 30), 0.0954203112582721, False, 'best']
['listacquisition', 202596100, 'impression', '5', 241614122L, datetime.datetime(2013, 5, 29, 19, 49, 30), 0.0434081563007392, False, 'best']
['listacquisition', 202596100, 'impression', '6', 241614180L, datetime.datetime(2013, 5, 29, 19, 49, 30), 0.0424360247868899, False, 'best']
['listacquisition', 202596100, 'impression', '2', 241614166L, datetime.datetime(2013, 5, 29, 19, 49, 30), 0.107206900810131, False, 'best']
['listacquisition', 202596100, 'impression', '4', 241614086L, datetime.datetime(2013, 5, 29, 19, 49, 30), 0.0862475415781545, False, 'best']
['listacquisition', 202596100, 'impression', '1', 241614060L, datetime.datetime(2013, 5, 29, 19, 49, 30), 0.116435981318464, False, 'best']
['listacquisition', 202596100, 'expand_tile', '1', 241614060L, datetime.datetime(2013, 5, 29, 19, 49, 38), 0.116435981318464, False, 'best']
['listacquisition', 202596100, 'expand_tile', '4', 241614086L, datetime.datetime(2013, 5, 29, 19, 49, 58), 0.0862475415781545, False, 'best']
['listacquisition', 202596100, 'impression', '4', 241614086L, datetime.datetime(2013, 5, 29, 19, 50, 2), 0.0862475415781545, False, 'best']
['listacquisition', 202596100, 'expand_tile', '4', 241614086L, datetime.datetime(2013, 5, 29, 19, 50, 3), 0.0862475415781545, False, 'best']
['listacquisition', 202596100, 'impression', '3', 241614356L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.146443676497939, False, 'best']
['listacquisition', 202596100, 'impression', '17', 241614380L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0408917917134021, False, 'best']
['listacquisition', 202596100, 'impression', '18', 241614313L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0327702731548201, False, 'best']
['listacquisition', 202596100, 'impression', '12', 241614228L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0691425669400861, False, 'best']
['listacquisition', 202596100, 'impression', '16', 241614180L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0424360247868899, False, 'best']
['listacquisition', 202596100, 'impression', '6', 241614099L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0954203112582721, False, 'best']
['listacquisition', 202596100, 'impression', '9', 241614410L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.083695320681096, False, 'best']
['listacquisition', 202596100, 'impression', '13', 241614237L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0499012362459447, False, 'best']
['listacquisition', 202596100, 'impression', '15', 241614285L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0429075811386655, False, 'best']
['listacquisition', 202596100, 'impression', '2', 241614309L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.163656806404464, False, 'best']
['listacquisition', 202596100, 'impression', '7', 241614339L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0921058707080987, False, 'best']
['listacquisition', 202596100, 'impression', '14', 241614122L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0434081563007392, False, 'best']
['listacquisition', 202596100, 'impression', '4', 241614060L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.116435981318464, False, 'best']
['listacquisition', 202596100, 'impression', '1', 241614247L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.174437547502097, False, 'best']
['listacquisition', 202596100, 'impression', '10', 241614214L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0732196630085477, False, 'best']
['listacquisition', 202596100, 'impression', '11', 241614318L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0708597383165849, False, 'best']
['listacquisition', 202596100, 'impression', '8', 241614086L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.0862475415781545, False, 'best']
['listacquisition', 202596100, 'impression', '5', 241614166L, datetime.datetime(2013, 5, 29, 19, 50, 14), 0.107206900810131, False, 'best']
['listacquisition', 202596100, 'expand_tile', '16', 241614180L, datetime.datetime(2013, 5, 29, 19, 50, 30), 0.0424360247868899, False, 'best']
['listacquisition', 202596100, 'impression', '16', 241614180L, datetime.datetime(2013, 5, 29, 19, 50, 32), 0.0424360247868899, False, 'best']
['listacquisition', 202596100, 'impression', '16', 241614180L, datetime.datetime(2013, 5, 29, 19, 50, 32), 0.0424360247868899, False, 'best']

