['lizfrodo', 202568272, 'impression', '13', 241020704L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0224810412542993, False, 'best']
['lizfrodo', 202568272, 'impression', '9', 241022005L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0329780052412228, False, 'best']
['lizfrodo', 202568272, 'impression', '12', 241019135L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0261736948500766, False, 'best']
['lizfrodo', 202568272, 'impression', '2', 241022477L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0870671398956778, False, 'best']
['lizfrodo', 202568272, 'impression', '15', 241021465L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.015229736212631, False, 'best']
['lizfrodo', 202568272, 'impression', '10', 241021935L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0326946271682273, False, 'best']
['lizfrodo', 202568272, 'impression', '7', 241018173L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0387566496086938, False, 'best']
['lizfrodo', 202568272, 'impression', '4', 241019305L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0603462324830488, False, 'best']
['lizfrodo', 202568272, 'impression', '17', 241018716L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.00625487677413639, False, 'best']
['lizfrodo', 202568272, 'impression', '6', 241021928L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0393626769373136, False, 'best']
['lizfrodo', 202568272, 'impression', '1', 241018407L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0955024272250242, False, 'best']
['lizfrodo', 202568272, 'impression', '8', 241018324L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.035907816776719, False, 'best']
['lizfrodo', 202568272, 'impression', '5', 241020031L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0476195583697866, False, 'best']
['lizfrodo', 202568272, 'impression', '14', 241018449L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0197413173659697, False, 'best']
['lizfrodo', 202568272, 'impression', '11', 241018367L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0275241222871629, False, 'best']
['lizfrodo', 202568272, 'impression', '3', 241019504L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0870317805611021, False, 'best']
['lizfrodo', 202568272, 'impression', '16', 241020695L, datetime.datetime(2013, 5, 22, 14, 42, 42), 0.0150092994777297, False, 'best']
['lizfrodo', 202568272, 'view_full_application_via_name', '1', 241018407L, datetime.datetime(2013, 5, 22, 14, 43, 30), 0.0955024272250242, False, 'best']
['lizfrodo', 202568272, 'impression', '17', 241018716L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.00625487677413639, False, 'best']
['lizfrodo', 202568272, 'impression', '1', 241018407L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0955024272250242, False, 'best']
['lizfrodo', 202568272, 'impression', '6', 241021928L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0393626769373136, False, 'best']
['lizfrodo', 202568272, 'impression', '11', 241018367L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0275241222871629, False, 'best']
['lizfrodo', 202568272, 'impression', '9', 241022005L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0329780052412228, False, 'best']
['lizfrodo', 202568272, 'impression', '13', 241020704L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0224810412542993, False, 'best']
['lizfrodo', 202568272, 'impression', '14', 241018449L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0197413173659697, False, 'best']
['lizfrodo', 202568272, 'impression', '8', 241018324L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.035907816776719, False, 'best']
['lizfrodo', 202568272, 'impression', '5', 241020031L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0476195583697866, False, 'best']
['lizfrodo', 202568272, 'impression', '15', 241021465L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.015229736212631, False, 'best']
['lizfrodo', 202568272, 'impression', '2', 241022477L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0870671398956778, False, 'best']
['lizfrodo', 202568272, 'impression', '12', 241019135L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0261736948500766, False, 'best']
['lizfrodo', 202568272, 'impression', '3', 241019504L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0870317805611021, False, 'best']
['lizfrodo', 202568272, 'impression', '16', 241020695L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0150092994777297, False, 'best']
['lizfrodo', 202568272, 'impression', '7', 241018173L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0387566496086938, False, 'best']
['lizfrodo', 202568272, 'impression', '10', 241021935L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0326946271682273, False, 'best']
['lizfrodo', 202568272, 'impression', '4', 241019305L, datetime.datetime(2013, 5, 22, 14, 43, 49), 0.0603462324830488, False, 'best']

['lizfrodo', 202568272, 'impression', '17', 241026257L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0467767516000005, False, 'best']
['lizfrodo', 202568272, 'impression', '5', 241018407L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0955024272250242, False, 'best']
['lizfrodo', 202568272, 'impression', '20', 241021928L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0393626769373136, False, 'best']
['lizfrodo', 202568272, 'impression', '14', 241050409L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0547387996885229, False, 'best']
['lizfrodo', 202568272, 'impression', '11', 241055884L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0711316379583705, False, 'best']
['lizfrodo', 202568272, 'impression', '7', 241022477L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0870671398956778, False, 'best']
['lizfrodo', 202568272, 'impression', '19', 241030513L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0443878122132374, False, 'best']
['lizfrodo', 202568272, 'impression', '4', 241034900L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.135334975001515, False, 'best']
['lizfrodo', 202568272, 'impression', '8', 241019504L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0870317805611021, False, 'best']
['lizfrodo', 202568272, 'impression', '1', 241032434L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.304076324531791, False, 'best']
['lizfrodo', 202568272, 'impression', '9', 241032888L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0811579828833779, False, 'best']
['lizfrodo', 202568272, 'impression', '12', 241019305L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0603462324830488, False, 'best']
['lizfrodo', 202568272, 'impression', '6', 241049476L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0916594155235143, False, 'best']
['lizfrodo', 202568272, 'impression', '10', 241047522L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0746222568741928, False, 'best']
['lizfrodo', 202568272, 'impression', '2', 241034381L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.174088836048236, False, 'best']
['lizfrodo', 202568272, 'impression', '16', 241033086L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0469390887314493, False, 'best']
['lizfrodo', 202568272, 'impression', '15', 241020031L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0476195583697866, False, 'best']
['lizfrodo', 202568272, 'impression', '3', 241052469L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.138358481665983, False, 'best']
['lizfrodo', 202568272, 'impression', '13', 241050700L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.054972144966292, False, 'best']
['lizfrodo', 202568272, 'impression', '18', 241044620L, datetime.datetime(2013, 5, 23, 1, 23, 13), 0.0459612523929443, False, 'best']
['lizfrodo', 202568272, 'view_full_application_via_name', '1', 241032434L, datetime.datetime(2013, 5, 23, 1, 23, 34), 0.304076324531791, False, 'best']
['lizfrodo', 202568272, 'impression', '15', 241020031L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0476195583697866, False, 'best']
['lizfrodo', 202568272, 'impression', '18', 241044620L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0459612523929443, False, 'best']
['lizfrodo', 202568272, 'impression', '13', 241050700L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.054972144966292, False, 'best']
['lizfrodo', 202568272, 'impression', '3', 241052469L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.138358481665983, False, 'best']
['lizfrodo', 202568272, 'impression', '16', 241033086L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0469390887314493, False, 'best']
['lizfrodo', 202568272, 'impression', '11', 241055884L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0711316379583705, False, 'best']
['lizfrodo', 202568272, 'impression', '14', 241050409L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0547387996885229, False, 'best']
['lizfrodo', 202568272, 'impression', '7', 241022477L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0870671398956778, False, 'best']
['lizfrodo', 202568272, 'impression', '10', 241047522L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0746222568741928, False, 'best']
['lizfrodo', 202568272, 'impression', '8', 241019504L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0870317805611021, False, 'best']
['lizfrodo', 202568272, 'impression', '19', 241030513L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0443878122132374, False, 'best']
['lizfrodo', 202568272, 'impression', '4', 241034900L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.135334975001515, False, 'best']
['lizfrodo', 202568272, 'impression', '1', 241032434L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.304076324531791, False, 'best']
['lizfrodo', 202568272, 'impression', '6', 241049476L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0916594155235143, False, 'best']
['lizfrodo', 202568272, 'impression', '12', 241019305L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0603462324830488, False, 'best']
['lizfrodo', 202568272, 'impression', '9', 241032888L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0811579828833779, False, 'best']
['lizfrodo', 202568272, 'impression', '2', 241034381L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.174088836048236, False, 'best']
['lizfrodo', 202568272, 'impression', '5', 241018407L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0955024272250242, False, 'best']
['lizfrodo', 202568272, 'impression', '20', 241021928L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0393626769373136, False, 'best']
['lizfrodo', 202568272, 'impression', '17', 241026257L, datetime.datetime(2013, 5, 23, 1, 23, 55), 0.0467767516000005, False, 'best']
['lizfrodo', 202568272, 'view_full_application_via_name', '20', 241021928L, datetime.datetime(2013, 5, 23, 1, 24, 4), 0.0393626769373136, False, 'best']

['lizfrodo', 202568272, 'impression', '5', 241018407L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0955024272250242, False, 'best']
['lizfrodo', 202568272, 'impression', '19', 241026257L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0467767516000005, False, 'best']
['lizfrodo', 202568272, 'impression', '13', 241064644L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0564411914072172, False, 'best']
['lizfrodo', 202568272, 'impression', '4', 241034900L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.135334975001515, False, 'best']
['lizfrodo', 202568272, 'impression', '8', 241019504L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0870317805611021, False, 'best']
['lizfrodo', 202568272, 'impression', '10', 241047522L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0746222568741928, False, 'best']
['lizfrodo', 202568272, 'impression', '2', 241034381L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.174088836048236, False, 'best']
['lizfrodo', 202568272, 'impression', '20', 241044620L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0459612523929443, False, 'best']
['lizfrodo', 202568272, 'impression', '14', 241050700L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.054972144966292, False, 'best']
['lizfrodo', 202568272, 'impression', '18', 241033086L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0469390887314493, False, 'best']
['lizfrodo', 202568272, 'impression', '17', 241020031L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0476195583697866, False, 'best']
['lizfrodo', 202568272, 'impression', '3', 241052469L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.138358481665983, False, 'best']
['lizfrodo', 202568272, 'impression', '11', 241055884L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0711316379583705, False, 'best']
['lizfrodo', 202568272, 'impression', '7', 241022477L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0870671398956778, False, 'best']
['lizfrodo', 202568272, 'impression', '15', 241050409L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0547387996885229, False, 'best']
['lizfrodo', 202568272, 'impression', '9', 241032888L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0811579828833779, False, 'best']
['lizfrodo', 202568272, 'impression', '6', 241049476L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0916594155235143, False, 'best']
['lizfrodo', 202568272, 'impression', '16', 241076060L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0530808502048657, False, 'best']
['lizfrodo', 202568272, 'impression', '12', 241019305L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.0603462324830488, False, 'best']
['lizfrodo', 202568272, 'impression', '1', 241032434L, datetime.datetime(2013, 5, 24, 1, 9, 39), 0.304076324531791, False, 'best']

['lizfrodo', 202568272, 'impression', '10', 241047522L, datetime.datetime(2013, 5, 27, 2, 46, 32), 0.0746222568741928, False, 'best']
['lizfrodo', 202568272, 'impression', '17', 241026257L, datetime.datetime(2013, 5, 27, 2, 46, 32), 0.0467767516000005, False, 'best']
['lizfrodo', 202568272, 'impression', '13', 241064644L, datetime.datetime(2013, 5, 27, 2, 46, 32), 0.0564411914072172, False, 'best']
['lizfrodo', 202568272, 'impression', '20', 241021928L, datetime.datetime(2013, 5, 27, 2, 46, 32), 0.0393626769373136, False, 'best']
['lizfrodo', 202568272, 'impression', '5', 241018407L, datetime.datetime(2013, 5, 27, 2, 46, 32), 0.0955024272250242, False, 'best']
