['lucyenglish', 202573868, 'impression', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 14, 18), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'impression', '1', 241128354L, datetime.datetime(2013, 5, 23, 18, 14, 18), 0.173142245032791, False, 'best']
['lucyenglish', 202573868, 'impression', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 14, 18), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 14, 41), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'view_full_application', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 14, 55), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'impression', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 16, 10), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'impression', '1', 241128354L, datetime.datetime(2013, 5, 23, 18, 16, 10), 0.173142245032791, False, 'best']
['lucyenglish', 202573868, 'impression', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 16, 10), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '1', 241128354L, datetime.datetime(2013, 5, 23, 18, 16, 20), 0.173142245032791, False, 'best']
['lucyenglish', 202573868, 'view_full_application', '1', 241128354L, datetime.datetime(2013, 5, 23, 18, 16, 43), 0.173142245032791, False, 'best']
['lucyenglish', 202573868, 'impression', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 17, 57), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'impression', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 17, 57), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'impression', '1', 241128354L, datetime.datetime(2013, 5, 23, 18, 17, 57), 0.173142245032791, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 18, 2), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'view_full_application', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 18, 8), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'impression', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 21, 35), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'impression', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 21, 35), 0.166512777330504, False, 'best']
['lucyenglish', 202573868, 'impression', '1', 241128354L, datetime.datetime(2013, 5, 23, 18, 21, 35), 0.173142245032791, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 21, 47), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'collapse_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 22, 53), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 22, 56), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'collapse_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 23, 28), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 23, 31), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'collapse_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 23, 34), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 23, 36), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'collapse_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 23, 57), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 23, 59), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'collapse_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 24, 5), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '3', 241127341L, datetime.datetime(2013, 5, 23, 18, 24, 7), 0.0854361039018582, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '1', 241128354L, datetime.datetime(2013, 5, 23, 18, 24, 44), 0.173142245032791, False, 'best']
['lucyenglish', 202573868, 'expand_tile', '2', 241128375L, datetime.datetime(2013, 5, 23, 18, 24, 49), 0.166512777330504, False, 'best']

