['m_tol', 202570620, 'impression', '1', 241058184L, datetime.datetime(2013, 5, 23, 0, 5, 59), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'expand_tile', '1', 241058184L, datetime.datetime(2013, 5, 23, 0, 7, 26), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'expand_tile', '1', 241058184L, datetime.datetime(2013, 5, 23, 0, 7, 46), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '1', 241058184L, datetime.datetime(2013, 5, 23, 0, 18, 55), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '1', 241059709L, datetime.datetime(2013, 5, 23, 0, 46, 40), 0.0815664024136787, False, 'time']
['m_tol', 202570620, 'impression', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 46, 40), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'expand_tile', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 46, 53), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '1', 241059709L, datetime.datetime(2013, 5, 23, 0, 49, 8), 0.0815664024136787, False, 'time']
['m_tol', 202570620, 'impression', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 49, 8), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 55, 43), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '1', 241059709L, datetime.datetime(2013, 5, 23, 0, 55, 43), 0.0815664024136787, False, 'time']
['m_tol', 202570620, 'view_full_application_via_name', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 55, 50), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '1', 241059709L, datetime.datetime(2013, 5, 23, 0, 57, 5), 0.0815664024136787, False, 'time']
['m_tol', 202570620, 'impression', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 57, 5), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'view_full_application_via_name', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 57, 26), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'view_full_application_via_name', '2', 241058184L, datetime.datetime(2013, 5, 23, 0, 57, 29), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '2', 241058184L, datetime.datetime(2013, 5, 23, 1, 3, 34), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'impression', '1', 241059709L, datetime.datetime(2013, 5, 23, 1, 3, 34), 0.0815664024136787, False, 'time']
['m_tol', 202570620, 'impression', '1', 241059709L, datetime.datetime(2013, 5, 23, 1, 12, 41), 0.0815664024136787, False, 'time']
['m_tol', 202570620, 'impression', '2', 241058184L, datetime.datetime(2013, 5, 23, 1, 12, 41), 0.0895865278056413, True, 'time']
['m_tol', 202570620, 'view_full_application_via_name', '2', 241058184L, datetime.datetime(2013, 5, 23, 1, 13, 50), 0.0895865278056413, True, 'time']

['m_tol', 202570620, 'impression', '1', 241059709L, datetime.datetime(2013, 5, 23, 1, 51, 47), 0.0815664024136787, False, 'time']

['m_tol', 202570620, 'impression', '3', 241078342L, datetime.datetime(2013, 5, 24, 3, 54, 5), 0.0320203009553411, False, 'time']
['m_tol', 202570620, 'impression', '4', 241068372L, datetime.datetime(2013, 5, 24, 3, 54, 5), 0.0366512314149976, False, 'time']
['m_tol', 202570620, 'impression', '2', 241094736L, datetime.datetime(2013, 5, 24, 3, 54, 5), 0.0903285708490062, False, 'time']
['m_tol', 202570620, 'impression', '1', 241139874L, datetime.datetime(2013, 5, 24, 3, 54, 5), 0.0521631953054966, False, 'time']
['m_tol', 202570620, 'impression', '5', 241059709L, datetime.datetime(2013, 5, 24, 3, 54, 5), 0.0815664024136787, False, 'time']

