['mac_robert', 202543846, 'impression', '1', 240503626L, datetime.datetime(2013, 5, 16, 3, 35, 18), 0.129877450695625, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '1', 240503626L, datetime.datetime(2013, 5, 16, 3, 35, 23), 0.129877450695625, False, 'time']

['mac_robert', 202543846, 'impression', '12', 240504236L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.16933290875929, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240503626L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.129877450695625, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240508910L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.151909407694782, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240511399L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.12952151412443, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240508725L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.124555151324847, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240509684L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.132748991556483, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240504508L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.028175207244427, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240512619L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.0685706261104107, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240507286L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.0756358215536915, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240505001L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.166707665904704, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240513707L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.0871087497241858, False, 'time']
['mac_robert', 202543846, 'impression', '9', 240506614L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.0441730382277663, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240511989L, datetime.datetime(2013, 5, 16, 6, 8, 29), 0.124440610966244, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '4', 240511399L, datetime.datetime(2013, 5, 16, 6, 8, 52), 0.12952151412443, False, 'time']
