['maggie21', 202585218, 'impression', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 45, 2), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 45, 2), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 45, 2), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 45, 20), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 47, 25), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 47, 25), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 47, 25), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 47, 27), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 49, 4), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 49, 4), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 49, 4), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 49, 14), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 50, 3), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 50, 3), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 50, 3), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'shortlist', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 50, 5), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 50, 26), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 51, 1), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 51, 1), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 51, 1), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 51, 7), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 51, 17), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 51, 17), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 51, 17), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'shortlist', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 51, 18), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'unshortlist', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 51, 24), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '3', 241381520L, datetime.datetime(2013, 5, 27, 9, 57, 15), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 9, 57, 15), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 9, 57, 15), 0.175931581278388, False, 'best']

['maggie21', 202585218, 'impression', '6', 241381520L, datetime.datetime(2013, 5, 27, 13, 19, 56), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 13, 19, 56), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '4', 241398343L, datetime.datetime(2013, 5, 27, 13, 19, 56), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '5', 241394554L, datetime.datetime(2013, 5, 27, 13, 19, 56), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '3', 241392656L, datetime.datetime(2013, 5, 27, 13, 19, 56), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 13, 19, 56), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '4', 241398343L, datetime.datetime(2013, 5, 27, 13, 20, 15), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 13, 20, 36), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '3', 241392656L, datetime.datetime(2013, 5, 27, 13, 20, 36), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 13, 20, 36), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '6', 241381520L, datetime.datetime(2013, 5, 27, 13, 20, 36), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '5', 241394554L, datetime.datetime(2013, 5, 27, 13, 20, 36), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '4', 241398343L, datetime.datetime(2013, 5, 27, 13, 20, 36), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '5', 241394554L, datetime.datetime(2013, 5, 27, 13, 20, 56), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '6', 241381520L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '4', 241398343L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '5', 241394554L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '3', 241392656L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 13, 21, 31), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '1', 241384736L, datetime.datetime(2013, 5, 27, 13, 21, 58), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '6', 241381520L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '5', 241394554L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '3', 241392656L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '2', 241379815L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '4', 241398343L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '1', 241384736L, datetime.datetime(2013, 5, 27, 13, 23, 24), 0.209018952997397, False, 'best']

['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '5', 241392656L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.15651484561767, False, 'best']
['maggie21', 202585218, 'impression', '3', 241379815L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.175931581278388, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 42, 40), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'view_full_application_via_name', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 42, 47), 0.260234149364453, True, 'best']
['maggie21', 202585218, 'impression', '9', 241398343L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0718458119087481, False, 'best']
['maggie21', 202585218, 'impression', '7', 241411290L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0875514918342684, False, 'best']
['maggie21', 202585218, 'impression', '6', 241417205L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0940890145221737, False, 'best']
['maggie21', 202585218, 'impression', '11', 241381520L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0260562082240123, False, 'best']
['maggie21', 202585218, 'impression', '4', 241413701L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.159679199489183, False, 'best']
['maggie21', 202585218, 'impression', '2', 241384736L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.209018952997397, False, 'best']
['maggie21', 202585218, 'impression', '10', 241394554L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0381303069942341, False, 'best']
['maggie21', 202585218, 'impression', '8', 241417745L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.0732891715028988, False, 'best']
['maggie21', 202585218, 'impression', '1', 241405305L, datetime.datetime(2013, 5, 27, 21, 46, 34), 0.260234149364453, True, 'best']
