['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 56, 42), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 57, 16), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'expand_tile', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 57, 19), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 58, 34), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 58, 41), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 59, 1), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 59, 2), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'expand_tile', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 59, 5), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'expand_tile', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 59, 8), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'shortlist', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 59, 8), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 2, 59, 22), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 3, 1, 8), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 22, 3, 6, 13), 0.13948264403549, False, 'best']

['mahmuzalam', 202566308, 'impression', '3', 241005478L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.0850876708664544, False, 'best']
['mahmuzalam', 202566308, 'impression', '4', 241011716L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.0807431684937252, False, 'best']
['mahmuzalam', 202566308, 'impression', '9', 240989993L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.13948264403549, False, 'best']
['mahmuzalam', 202566308, 'impression', '10', 240994112L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.0663898976522676, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240992701L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.0258080063084865, False, 'best']
['mahmuzalam', 202566308, 'impression', '2', 240986525L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.126241691273058, False, 'best']
['mahmuzalam', 202566308, 'impression', '8', 240980967L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.0233542150155638, False, 'best']
['mahmuzalam', 202566308, 'impression', '5', 241016432L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.036264076548739, False, 'best']
['mahmuzalam', 202566308, 'impression', '6', 240988158L, datetime.datetime(2013, 5, 23, 3, 19, 31), 0.0322185679731462, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240973547L, datetime.datetime(2013, 5, 23, 3, 20, 12), 0.13948264403549, False, 'best']

['mahmuzalam', 202566308, 'impression', '4', 241016432L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.036264076548739, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240980967L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.0233542150155638, False, 'best']
['mahmuzalam', 202566308, 'impression', '2', 241005478L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.0850876708664544, False, 'best']
['mahmuzalam', 202566308, 'impression', '5', 240988158L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.0322185679731462, False, 'best']
['mahmuzalam', 202566308, 'impression', '3', 241011716L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.0807431684937252, False, 'best']
['mahmuzalam', 202566308, 'impression', '8', 240989993L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.072163377938156, False, 'best']
['mahmuzalam', 202566308, 'impression', '6', 240992701L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.0258080063084865, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240986525L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.126241691273058, False, 'best']
['mahmuzalam', 202566308, 'impression', '9', 240994112L, datetime.datetime(2013, 5, 27, 20, 40, 51), 0.0663898976522676, False, 'best']
['mahmuzalam', 202566308, 'impression', '9', 240994112L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.0663898976522676, False, 'best']
['mahmuzalam', 202566308, 'impression', '4', 241016432L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.036264076548739, False, 'best']
['mahmuzalam', 202566308, 'impression', '7', 240980967L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.0233542150155638, False, 'best']
['mahmuzalam', 202566308, 'impression', '2', 241005478L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.0850876708664544, False, 'best']
['mahmuzalam', 202566308, 'impression', '5', 240988158L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.0322185679731462, False, 'best']
['mahmuzalam', 202566308, 'impression', '1', 240986525L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.126241691273058, False, 'best']
['mahmuzalam', 202566308, 'impression', '6', 240992701L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.0258080063084865, False, 'best']
['mahmuzalam', 202566308, 'impression', '8', 240989993L, datetime.datetime(2013, 5, 27, 20, 42, 46), 0.072163377938156, False, 'best']
