['malikabs', 202584072, 'impression', '16', 241358445L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0205894661394384, False, 'best']
['malikabs', 202584072, 'impression', '7', 241355658L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0525823982590334, False, 'best']
['malikabs', 202584072, 'impression', '6', 241355342L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0537816040728423, False, 'best']
['malikabs', 202584072, 'impression', '11', 241357382L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0398958493419738, False, 'best']
['malikabs', 202584072, 'impression', '17', 241357681L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0205426239929214, False, 'best']
['malikabs', 202584072, 'impression', '19', 241356067L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0144936088683173, False, 'best']
['malikabs', 202584072, 'impression', '4', 241357183L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0600942069170073, False, 'best']
['malikabs', 202584072, 'impression', '8', 241353834L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0512632457553584, False, 'best']
['malikabs', 202584072, 'impression', '12', 241353802L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0245923493335355, False, 'best']
['malikabs', 202584072, 'impression', '18', 241358287L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0168449950278858, False, 'best']
['malikabs', 202584072, 'impression', '1', 241354382L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.125269826963407, False, 'best']
['malikabs', 202584072, 'impression', '5', 241354848L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0549861629907393, False, 'best']
['malikabs', 202584072, 'impression', '9', 241354912L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0505962289277752, False, 'best']
['malikabs', 202584072, 'impression', '3', 241354880L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0892729242487562, False, 'best']
['malikabs', 202584072, 'impression', '13', 241355059L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.023829748666598, False, 'best']
['malikabs', 202584072, 'impression', '2', 241355262L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.104905997407471, False, 'best']
['malikabs', 202584072, 'impression', '15', 241355957L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0210551289876938, False, 'best']
['malikabs', 202584072, 'impression', '14', 241357229L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.021848631751111, False, 'best']
['malikabs', 202584072, 'impression', '10', 241353937L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0504112499459127, False, 'best']
['malikabs', 202584072, 'impression', '20', 241353793L, datetime.datetime(2013, 5, 27, 2, 22, 22), 0.0113394176616249, False, 'best']

