['marijowc', 202562449, 'impression', '1', 240901725L, datetime.datetime(2013, 5, 21, 7, 15, 52), 0.114726749060006, False, 'best']

['marijowc', 202562449, 'impression', '9', 240922216L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '15', 240906646L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '17', 240935361L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.0796156356599707, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.206153199059723, False, 'best']
['marijowc', 202562449, 'impression', '12', 240903495L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'impression', '4', 240936264L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.160480245309611, False, 'best']
['marijowc', 202562449, 'impression', '2', 240909053L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.268149236021181, False, 'best']
['marijowc', 202562449, 'impression', '14', 240915616L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.0997325101939265, False, 'best']
['marijowc', 202562449, 'impression', '13', 240901725L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '18', 240936217L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.054421960630692, False, 'best']
['marijowc', 202562449, 'impression', '16', 240927587L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.0916061087642831, False, 'best']
['marijowc', 202562449, 'impression', '11', 240914458L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '8', 240910255L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '7', 240906007L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '5', 240905561L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '10', 240902868L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '6', 240904075L, datetime.datetime(2013, 5, 22, 2, 53, 20), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '18', 240936217L, datetime.datetime(2013, 5, 22, 3, 1, 21), 0.054421960630692, False, 'best']
['marijowc', 202562449, 'expand_tile', '15', 240906646L, datetime.datetime(2013, 5, 22, 3, 1, 57), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'expand_tile', '13', 240901725L, datetime.datetime(2013, 5, 22, 3, 3, 6), 0.114726749060006, False, 'best']
['marijowc', 202562449, 'impression', '15', 240906646L, datetime.datetime(2013, 5, 22, 3, 4, 22), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'expand_tile', '15', 240906646L, datetime.datetime(2013, 5, 22, 3, 4, 23), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'shortlist', '15', 240906646L, datetime.datetime(2013, 5, 22, 3, 4, 23), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '15', 240906646L, datetime.datetime(2013, 5, 22, 3, 4, 25), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', None, 240906646L, datetime.datetime(2013, 5, 22, 3, 4, 25), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'expand_tile', '12', 240903495L, datetime.datetime(2013, 5, 22, 3, 4, 49), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'expand_tile', '11', 240914458L, datetime.datetime(2013, 5, 22, 3, 5, 39), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'expand_tile', '10', 240902868L, datetime.datetime(2013, 5, 22, 3, 6, 11), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'expand_tile', '9', 240922216L, datetime.datetime(2013, 5, 22, 3, 7, 45), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'collapse_tile', '9', 240922216L, datetime.datetime(2013, 5, 22, 3, 8, 17), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'expand_tile', '8', 240910255L, datetime.datetime(2013, 5, 22, 3, 8, 31), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'expand_tile', '8', 240910255L, datetime.datetime(2013, 5, 22, 3, 9, 17), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'shortlist', '8', 240910255L, datetime.datetime(2013, 5, 22, 3, 9, 17), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'expand_tile', '7', 240906007L, datetime.datetime(2013, 5, 22, 3, 9, 29), 0.145127322198507, False, 'best']
