['mark_k_ent', 202594803, 'impression', '4', 241588311L, datetime.datetime(2013, 5, 29, 14, 31, 27), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '3', 241588422L, datetime.datetime(2013, 5, 29, 14, 31, 27), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241588262L, datetime.datetime(2013, 5, 29, 14, 31, 27), 0.0744238408577049, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241588424L, datetime.datetime(2013, 5, 29, 14, 31, 27), 0.071569371339364, False, 'best']
['mark_k_ent', 202594803, 'impression', '1', 241588291L, datetime.datetime(2013, 5, 29, 14, 31, 27), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241588357L, datetime.datetime(2013, 5, 29, 14, 31, 27), 0.0899365252360584, False, 'best']
['mark_k_ent', 202594803, 'impression', '4', 241588311L, datetime.datetime(2013, 5, 29, 14, 33, 55), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241588357L, datetime.datetime(2013, 5, 29, 14, 33, 55), 0.0899365252360584, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241588262L, datetime.datetime(2013, 5, 29, 14, 33, 55), 0.0744238408577049, False, 'best']
['mark_k_ent', 202594803, 'impression', '3', 241588422L, datetime.datetime(2013, 5, 29, 14, 33, 55), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241588424L, datetime.datetime(2013, 5, 29, 14, 33, 55), 0.071569371339364, False, 'best']
['mark_k_ent', 202594803, 'impression', '1', 241588291L, datetime.datetime(2013, 5, 29, 14, 33, 55), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '4', 241588311L, datetime.datetime(2013, 5, 29, 14, 34, 16), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'collapse_tile', '4', 241588311L, datetime.datetime(2013, 5, 29, 14, 34, 23), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '4', 241588311L, datetime.datetime(2013, 5, 29, 14, 34, 24), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'view_full_application_via_name', '4', 241588311L, datetime.datetime(2013, 5, 29, 14, 34, 26), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '7', 241589368L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0887262209635805, False, 'best']
['mark_k_ent', 202594803, 'impression', '3', 241588482L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.187184940941567, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241588357L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0899365252360584, False, 'best']
['mark_k_ent', 202594803, 'impression', '15', 241589281L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0438161905268458, False, 'best']
['mark_k_ent', 202594803, 'impression', '1', 241588725L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.203754849728543, False, 'best']
['mark_k_ent', 202594803, 'impression', '16', 241589035L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0434092749387268, False, 'best']
['mark_k_ent', 202594803, 'impression', '8', 241588422L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '11', 241588262L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0744238408577049, False, 'best']
['mark_k_ent', 202594803, 'impression', '12', 241588553L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.071640942314212, False, 'best']
['mark_k_ent', 202594803, 'impression', '14', 241589560L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0600270837170343, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241589246L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'impression', '10', 241588311L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '18', 241589885L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0279022163848775, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241588532L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0969721367612015, False, 'best']
['mark_k_ent', 202594803, 'impression', '13', 241588424L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.071569371339364, False, 'best']
['mark_k_ent', 202594803, 'impression', '17', 241588587L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0332227675407183, True, 'best']
['mark_k_ent', 202594803, 'impression', '19', 241588635L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0268034524506931, False, 'best']
['mark_k_ent', 202594803, 'impression', '20', 241589588L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.022149612730252, False, 'best']
['mark_k_ent', 202594803, 'impression', '4', 241588291L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'impression', '9', 241589415L, datetime.datetime(2013, 5, 29, 14, 52, 6), 0.0801196819896264, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '20', 241589588L, datetime.datetime(2013, 5, 29, 14, 52, 17), 0.022149612730252, False, 'best']
['mark_k_ent', 202594803, 'collapse_tile', '20', 241589588L, datetime.datetime(2013, 5, 29, 14, 52, 37), 0.022149612730252, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '19', 241588635L, datetime.datetime(2013, 5, 29, 14, 52, 42), 0.0268034524506931, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '17', 241588587L, datetime.datetime(2013, 5, 29, 14, 52, 50), 0.0332227675407183, True, 'best']
['mark_k_ent', 202594803, 'view_full_application', '17', 241588587L, datetime.datetime(2013, 5, 29, 14, 53, 3), 0.0332227675407183, True, 'best']
['mark_k_ent', 202594803, 'impression', '8', 241588422L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0825726717352867, False, 'best']
['mark_k_ent', 202594803, 'impression', '12', 241588553L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.071640942314212, False, 'best']
['mark_k_ent', 202594803, 'impression', '11', 241588262L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0744238408577049, False, 'best']
['mark_k_ent', 202594803, 'impression', '20', 241589588L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.022149612730252, False, 'best']
['mark_k_ent', 202594803, 'impression', '4', 241588291L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.172639850685429, False, 'best']
['mark_k_ent', 202594803, 'impression', '9', 241589415L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0801196819896264, False, 'best']
['mark_k_ent', 202594803, 'impression', '1', 241588725L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.203754849728543, False, 'best']
['mark_k_ent', 202594803, 'impression', '16', 241589035L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0434092749387268, False, 'best']
['mark_k_ent', 202594803, 'impression', '14', 241589560L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0600270837170343, False, 'best']
['mark_k_ent', 202594803, 'impression', '18', 241589885L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0279022163848775, False, 'best']
['mark_k_ent', 202594803, 'impression', '10', 241588311L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.077146818607937, False, 'best']
['mark_k_ent', 202594803, 'impression', '2', 241589246L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.202040477017451, False, 'best']
['mark_k_ent', 202594803, 'impression', '5', 241588532L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0969721367612015, False, 'best']
['mark_k_ent', 202594803, 'impression', '3', 241588482L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.187184940941567, False, 'best']
['mark_k_ent', 202594803, 'impression', '6', 241588357L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0899365252360584, False, 'best']
['mark_k_ent', 202594803, 'impression', '15', 241589281L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0438161905268458, False, 'best']
['mark_k_ent', 202594803, 'impression', '13', 241588424L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.071569371339364, False, 'best']
['mark_k_ent', 202594803, 'impression', '17', 241588587L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0332227675407183, True, 'best']
['mark_k_ent', 202594803, 'impression', '19', 241588635L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0268034524506931, False, 'best']
['mark_k_ent', 202594803, 'impression', '7', 241589368L, datetime.datetime(2013, 5, 29, 14, 54, 54), 0.0887262209635805, False, 'best']
['mark_k_ent', 202594803, 'expand_tile', '17', 241588587L, datetime.datetime(2013, 5, 29, 14, 55, 2), 0.0332227675407183, True, 'best']
['mark_k_ent', 202594803, 'send_message', '17', 241588587L, datetime.datetime(2013, 5, 29, 14, 55, 5), 0.0332227675407183, True, 'best']
