['markmercen', 202556431, 'impression', '2', 240779681L, datetime.datetime(2013, 5, 19, 21, 29, 22), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'impression', '3', 240779712L, datetime.datetime(2013, 5, 19, 21, 29, 22), 0.16544822720463, False, 'best']
['markmercen', 202556431, 'impression', '1', 240779640L, datetime.datetime(2013, 5, 19, 21, 29, 22), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'expand_tile', '3', 240779712L, datetime.datetime(2013, 5, 19, 21, 29, 38), 0.16544822720463, False, 'best']
['markmercen', 202556431, 'expand_tile', '2', 240779681L, datetime.datetime(2013, 5, 19, 21, 29, 51), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'collapse_tile', '2', 240779681L, datetime.datetime(2013, 5, 19, 21, 30), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'expand_tile', '2', 240779681L, datetime.datetime(2013, 5, 19, 21, 30, 2), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'view_full_application', '2', 240779681L, datetime.datetime(2013, 5, 19, 21, 30, 14), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'impression', '3', 240779712L, datetime.datetime(2013, 5, 19, 21, 31, 19), 0.16544822720463, False, 'best']
['markmercen', 202556431, 'impression', '1', 240779640L, datetime.datetime(2013, 5, 19, 21, 31, 19), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'impression', '2', 240779681L, datetime.datetime(2013, 5, 19, 21, 31, 19), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'expand_tile', '1', 240779640L, datetime.datetime(2013, 5, 19, 21, 31, 27), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'view_full_application', '1', 240779640L, datetime.datetime(2013, 5, 19, 21, 31, 29), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'impression', '3', 240779712L, datetime.datetime(2013, 5, 19, 21, 32, 54), 0.16544822720463, False, 'best']
['markmercen', 202556431, 'impression', '1', 240779640L, datetime.datetime(2013, 5, 19, 21, 32, 54), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'impression', '2', 240779681L, datetime.datetime(2013, 5, 19, 21, 32, 54), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'expand_tile', '1', 240779640L, datetime.datetime(2013, 5, 19, 21, 33, 1), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'view_full_application', '1', 240779640L, datetime.datetime(2013, 5, 19, 21, 33, 6), 0.602538608464499, False, 'best']

['markmercen', 202556431, 'impression', '15', 240812319L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.24033872502352, False, 'best']
['markmercen', 202556431, 'impression', '17', 240798905L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.195699248557896, False, 'best']
['markmercen', 202556431, 'impression', '16', 240792171L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.215488389619362, False, 'best']
['markmercen', 202556431, 'impression', '14', 240795062L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.242062069991, False, 'best']
['markmercen', 202556431, 'impression', '6', 240788080L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.397619887963691, False, 'best']
['markmercen', 202556431, 'impression', '8', 240824354L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.372126316201356, False, 'best']
['markmercen', 202556431, 'impression', '10', 240779681L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'impression', '4', 240831546L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.429753589461819, False, 'best']
['markmercen', 202556431, 'impression', '5', 240834347L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.413380362811259, False, 'best']
['markmercen', 202556431, 'impression', '12', 240780260L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.319748962846206, False, 'best']
['markmercen', 202556431, 'impression', '3', 240784172L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.52974970326875, False, 'best']
['markmercen', 202556431, 'impression', '18', 240831293L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.175723813918366, False, 'best']
['markmercen', 202556431, 'impression', '9', 240787875L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.360774083806257, False, 'best']
['markmercen', 202556431, 'impression', '11', 240780165L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.342286636493809, False, 'best']
['markmercen', 202556431, 'impression', '1', 240780395L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.645039385341161, False, 'best']
['markmercen', 202556431, 'impression', '13', 240871084L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.2683055148199, False, 'best']
['markmercen', 202556431, 'impression', '19', 240790804L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.175477258180334, False, 'best']
['markmercen', 202556431, 'impression', '2', 240779640L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'impression', '20', 240779712L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.16544822720463, False, 'best']
['markmercen', 202556431, 'impression', '7', 240883057L, datetime.datetime(2013, 5, 22, 18, 59, 31), 0.378705121905201, False, 'best']
['markmercen', 202556431, 'view_full_application_via_name', '1', 240780395L, datetime.datetime(2013, 5, 22, 18, 59, 46), 0.645039385341161, False, 'best']
['markmercen', 202556431, 'impression', '9', 240787875L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.360774083806257, False, 'best']
['markmercen', 202556431, 'impression', '18', 240831293L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.175723813918366, False, 'best']
['markmercen', 202556431, 'impression', '11', 240780165L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.342286636493809, False, 'best']
['markmercen', 202556431, 'impression', '12', 240780260L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.319748962846206, False, 'best']
['markmercen', 202556431, 'impression', '3', 240784172L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.52974970326875, False, 'best']
['markmercen', 202556431, 'impression', '6', 240788080L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.397619887963691, False, 'best']
['markmercen', 202556431, 'impression', '8', 240824354L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.372126316201356, False, 'best']
['markmercen', 202556431, 'impression', '2', 240779640L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.602538608464499, False, 'best']
['markmercen', 202556431, 'impression', '19', 240790804L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.175477258180334, False, 'best']
['markmercen', 202556431, 'impression', '20', 240779712L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.16544822720463, False, 'best']
['markmercen', 202556431, 'impression', '13', 240871084L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.2683055148199, False, 'best']
['markmercen', 202556431, 'impression', '7', 240883057L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.378705121905201, False, 'best']
['markmercen', 202556431, 'impression', '16', 240792171L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.215488389619362, False, 'best']
['markmercen', 202556431, 'impression', '14', 240795062L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.242062069991, False, 'best']
['markmercen', 202556431, 'impression', '17', 240798905L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.195699248557896, False, 'best']
['markmercen', 202556431, 'impression', '15', 240812319L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.24033872502352, False, 'best']
['markmercen', 202556431, 'impression', '1', 240780395L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.645039385341161, False, 'best']
['markmercen', 202556431, 'impression', '10', 240779681L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.355434523603933, False, 'best']
['markmercen', 202556431, 'impression', '4', 240831546L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.429753589461819, False, 'best']
['markmercen', 202556431, 'impression', '5', 240834347L, datetime.datetime(2013, 5, 22, 19, 0, 39), 0.413380362811259, False, 'best']
['markmercen', 202556431, 'impression', '11', 240790804L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.175477258180334, False, 'time']
['markmercen', 202556431, 'impression', '20', 240779640L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.602538608464499, False, 'time']
['markmercen', 202556431, 'impression', '18', 240779712L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.16544822720463, False, 'time']
['markmercen', 202556431, 'impression', '2', 240871084L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.2683055148199, False, 'time']
['markmercen', 202556431, 'impression', '1', 240883057L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.378705121905201, False, 'time']
['markmercen', 202556431, 'impression', '3', 240834347L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.413380362811259, False, 'time']
['markmercen', 202556431, 'impression', '4', 240831546L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.429753589461819, False, 'time']
['markmercen', 202556431, 'impression', '19', 240779681L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.355434523603933, False, 'time']
['markmercen', 202556431, 'impression', '15', 240780395L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.645039385341161, False, 'time']
['markmercen', 202556431, 'impression', '5', 240831293L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.175723813918366, False, 'time']
['markmercen', 202556431, 'impression', '13', 240787875L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.360774083806257, False, 'time']
['markmercen', 202556431, 'impression', '17', 240780165L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.342286636493809, False, 'time']
['markmercen', 202556431, 'impression', '12', 240788080L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.397619887963691, False, 'time']
['markmercen', 202556431, 'impression', '6', 240824354L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.372126316201356, False, 'time']
['markmercen', 202556431, 'impression', '9', 240795062L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.242062069991, False, 'time']
['markmercen', 202556431, 'impression', '10', 240792171L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.215488389619362, False, 'time']
['markmercen', 202556431, 'impression', '8', 240798905L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.195699248557896, False, 'time']
['markmercen', 202556431, 'impression', '7', 240812319L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.24033872502352, False, 'time']
['markmercen', 202556431, 'impression', '16', 240780260L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.319748962846206, False, 'time']
['markmercen', 202556431, 'impression', '14', 240784172L, datetime.datetime(2013, 5, 22, 19, 0, 56), 0.52974970326875, False, 'time']
['markmercen', 202556431, 'impression', '5', 240834347L, datetime.datetime(2013, 5, 22, 19, 1, 5), 0.413380362811259, False, 'best']
['markmercen', 202556431, 'impression', '10', 240779681L, datetime.datetime(2013, 5, 22, 19, 1, 5), 0.355434523603933, False, 'best']
