['markov_', 202577874, 'impression', '1', 241208480L, datetime.datetime(2013, 5, 24, 17, 3, 50), 0.062736681805012, False, 'best']
['markov_', 202577874, 'view_full_application_via_message', '1', 241208480L, datetime.datetime(2013, 5, 24, 17, 3, 56), 0.062736681805012, False, 'best']

['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 24, 18, 47, 45), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 24, 18, 47, 45), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'impression', '3', 241208474L, datetime.datetime(2013, 5, 24, 18, 47, 45), 0.0224686697622418, False, 'best']

['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 25, 8, 12, 28), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 25, 8, 12, 28), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 25, 8, 12, 28), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 25, 8, 12, 28), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'expand_tile', '1', 241208461L, datetime.datetime(2013, 5, 25, 8, 12, 34), 0.0794934766108029, False, 'best']

['markov_', 202577874, 'view_full_application', '3', 241246333L, datetime.datetime(2013, 5, 25, 8, 44, 51), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 25, 8, 53, 50), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 25, 8, 53, 50), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 25, 8, 53, 50), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 25, 8, 53, 50), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'expand_tile', '1', 241208461L, datetime.datetime(2013, 5, 25, 8, 53, 53), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'view_full_application', '1', 241208461L, datetime.datetime(2013, 5, 25, 8, 54, 1), 0.0794934766108029, False, 'best']

['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 25, 10, 45, 49), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 25, 10, 45, 49), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 25, 10, 45, 49), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 25, 10, 45, 49), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'expand_tile', '2', 241208480L, datetime.datetime(2013, 5, 25, 10, 45, 55), 0.062736681805012, False, 'best']
['markov_', 202577874, 'view_full_application_via_message', '2', 241208480L, datetime.datetime(2013, 5, 25, 10, 45, 56), 0.062736681805012, False, 'best']

['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 25, 16, 9, 59), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 25, 16, 9, 59), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 25, 16, 9, 59), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 25, 16, 9, 59), 0.062736681805012, False, 'best']
['markov_', 202577874, 'view_full_application_via_name', '2', 241208480L, datetime.datetime(2013, 5, 25, 16, 10, 5), 0.062736681805012, False, 'best']

['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 25, 16, 48, 7), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 25, 16, 48, 7), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 25, 16, 48, 7), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 25, 16, 48, 7), 0.0224686697622418, False, 'best']

['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 28, 17, 10, 53), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 28, 17, 10, 53), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 28, 17, 10, 53), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 28, 17, 10, 53), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'view_full_application_via_message', '2', 241208480L, datetime.datetime(2013, 5, 28, 17, 11, 52), 0.062736681805012, False, 'best']

['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 29, 12, 17, 23), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 29, 12, 17, 23), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 29, 12, 17, 23), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 29, 12, 17, 23), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'expand_tile', '2', 241208480L, datetime.datetime(2013, 5, 29, 12, 18, 53), 0.062736681805012, False, 'best']
['markov_', 202577874, 'view_full_application', '2', 241208480L, datetime.datetime(2013, 5, 29, 12, 18, 56), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 29, 12, 19, 11), 0.0794934766108029, False, 'best']
['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 29, 12, 19, 11), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 29, 12, 19, 11), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 29, 12, 19, 11), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '4', 241208474L, datetime.datetime(2013, 5, 29, 12, 23), 0.0224686697622418, False, 'best']
['markov_', 202577874, 'impression', '3', 241246333L, datetime.datetime(2013, 5, 29, 12, 23), 0.0522581581065897, False, 'best']
['markov_', 202577874, 'impression', '2', 241208480L, datetime.datetime(2013, 5, 29, 12, 23), 0.062736681805012, False, 'best']
['markov_', 202577874, 'impression', '1', 241208461L, datetime.datetime(2013, 5, 29, 12, 23), 0.0794934766108029, False, 'best']

