['markwayneliu', 202587093, 'impression', '18', 241425167L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0795944478199431, False, 'best']
['markwayneliu', 202587093, 'impression', '5', 241424956L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.146862232212201, False, 'best']
['markwayneliu', 202587093, 'impression', '3', 241425084L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.174085706649768, True, 'best']
['markwayneliu', 202587093, 'impression', '1', 241425215L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.209513264639087, False, 'best']
['markwayneliu', 202587093, 'impression', '9', 241425458L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.112479776346476, False, 'best']
['markwayneliu', 202587093, 'impression', '13', 241425019L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0857704052577474, False, 'best']
['markwayneliu', 202587093, 'impression', '4', 241425520L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.165789603826134, False, 'best']
['markwayneliu', 202587093, 'impression', '6', 241425512L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.133358834616211, False, 'best']
['markwayneliu', 202587093, 'impression', '7', 241425086L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.127395180672523, False, 'best']
['markwayneliu', 202587093, 'impression', '2', 241425225L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.199650606121118, False, 'best']
['markwayneliu', 202587093, 'impression', '20', 241425592L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0740320360181462, False, 'best']
['markwayneliu', 202587093, 'impression', '12', 241425628L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0916854547334062, False, 'best']
['markwayneliu', 202587093, 'impression', '15', 241425285L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0841518788097598, False, 'best']
['markwayneliu', 202587093, 'impression', '16', 241425301L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0832973983882988, False, 'best']
['markwayneliu', 202587093, 'impression', '14', 241425411L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0849671948771365, False, 'best']
['markwayneliu', 202587093, 'impression', '8', 241425031L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.119066513471469, False, 'best']
['markwayneliu', 202587093, 'impression', '11', 241425268L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.103398280369341, False, 'best']
['markwayneliu', 202587093, 'impression', '10', 241425109L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.105101845547869, False, 'best']
['markwayneliu', 202587093, 'impression', '17', 241425274L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0831998827468216, False, 'best']
['markwayneliu', 202587093, 'impression', '19', 241425061L, datetime.datetime(2013, 5, 27, 19, 5, 10), 0.0768955154858726, False, 'best']
['markwayneliu', 202587093, 'impression', '17', 241425795L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.114015435904605, False, 'time']
['markwayneliu', 202587093, 'impression', '14', 241425869L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.143703222066668, False, 'time']
['markwayneliu', 202587093, 'impression', '18', 241425793L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0136955947000082, False, 'time']
['markwayneliu', 202587093, 'impression', '1', 241426431L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0381853062051361, False, 'time']
['markwayneliu', 202587093, 'impression', '5', 241426319L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0115196634955213, False, 'time']
['markwayneliu', 202587093, 'impression', '11', 241426052L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.00933921262365448, False, 'time']
['markwayneliu', 202587093, 'impression', '3', 241426390L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0868296028736655, False, 'time']
['markwayneliu', 202587093, 'impression', '6', 241426318L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0413532211676368, False, 'time']
['markwayneliu', 202587093, 'impression', '13', 241425955L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.00629736107670974, False, 'time']
['markwayneliu', 202587093, 'impression', '9', 241426240L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.112668832785539, False, 'time']
['markwayneliu', 202587093, 'impression', '19', 241425730L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0901141928929767, False, 'time']
['markwayneliu', 202587093, 'impression', '8', 241426256L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0258850184793737, False, 'time']
['markwayneliu', 202587093, 'impression', '20', 241425720L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0385326963742451, False, 'time']
['markwayneliu', 202587093, 'impression', '15', 241425856L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.028140966805129, False, 'time']
['markwayneliu', 202587093, 'impression', '10', 241426094L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.145854109033241, False, 'time']
['markwayneliu', 202587093, 'impression', '7', 241426313L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.024290522532804, False, 'time']
['markwayneliu', 202587093, 'impression', '2', 241426401L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0207754898896459, False, 'time']
['markwayneliu', 202587093, 'impression', '12', 241425991L, datetime.datetime(2013, 5, 27, 19, 12, 8), 0.0556541259636228, False, 'time']
