['massetax', 202581890, 'impression', '1', 241302218L, datetime.datetime(2013, 5, 26, 3, 24, 50), 0.170527204594218, False, 'best']
['massetax', 202581890, 'impression', '2', 241302869L, datetime.datetime(2013, 5, 26, 3, 24, 50), 0.125008215287254, False, 'best']
['massetax', 202581890, 'impression', '3', 241301256L, datetime.datetime(2013, 5, 26, 3, 24, 50), 0.104294565310752, False, 'best']
['massetax', 202581890, 'impression', '4', 241301074L, datetime.datetime(2013, 5, 26, 3, 24, 50), 0.103396106673053, False, 'best']
['massetax', 202581890, 'view_full_application_via_name', '1', 241302218L, datetime.datetime(2013, 5, 26, 3, 25, 14), 0.170527204594218, False, 'best']
['massetax', 202581890, 'impression', '3', 241301256L, datetime.datetime(2013, 5, 26, 3, 30, 57), 0.104294565310752, False, 'best']
['massetax', 202581890, 'impression', '1', 241302218L, datetime.datetime(2013, 5, 26, 3, 30, 57), 0.170527204594218, False, 'best']
['massetax', 202581890, 'impression', '4', 241301074L, datetime.datetime(2013, 5, 26, 3, 30, 57), 0.103396106673053, False, 'best']
['massetax', 202581890, 'impression', '2', 241302869L, datetime.datetime(2013, 5, 26, 3, 30, 57), 0.125008215287254, False, 'best']
['massetax', 202581890, 'impression', '4', 241301074L, datetime.datetime(2013, 5, 26, 3, 31, 11), 0.103396106673053, False, 'best']
['massetax', 202581890, 'impression', '4', 241301074L, datetime.datetime(2013, 5, 26, 3, 31, 13), 0.103396106673053, False, 'best']
['massetax', 202581890, 'impression', '3', 241301256L, datetime.datetime(2013, 5, 26, 3, 31, 14), 0.104294565310752, False, 'best']
['massetax', 202581890, 'impression', '3', 241301256L, datetime.datetime(2013, 5, 26, 3, 31, 15), 0.104294565310752, False, 'best']
['massetax', 202581890, 'impression', '2', 241302869L, datetime.datetime(2013, 5, 26, 3, 31, 15), 0.125008215287254, False, 'best']
['massetax', 202581890, 'impression', '1', 241302218L, datetime.datetime(2013, 5, 26, 3, 31, 19), 0.170527204594218, False, 'best']
['massetax', 202581890, 'impression', '1', 241302218L, datetime.datetime(2013, 5, 26, 3, 32, 56), 0.170527204594218, False, 'best']
['massetax', 202581890, 'impression', '2', 241302869L, datetime.datetime(2013, 5, 26, 3, 32, 56), 0.125008215287254, False, 'best']
['massetax', 202581890, 'impression', '1', 241302218L, datetime.datetime(2013, 5, 26, 3, 35, 18), 0.170527204594218, False, 'best']
['massetax', 202581890, 'impression', '2', 241302869L, datetime.datetime(2013, 5, 26, 3, 35, 18), 0.125008215287254, False, 'best']

