['maximallimit', 202581370, 'impression', '13', 241293388L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.095500594462548, False, 'best']
['maximallimit', 202581370, 'impression', '15', 241294667L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.0247948245623644, False, 'best']
['maximallimit', 202581370, 'impression', '14', 241295343L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.0754190965296003, False, 'best']
['maximallimit', 202581370, 'impression', '11', 241293589L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.12088761994697, False, 'best']
['maximallimit', 202581370, 'impression', '9', 241294088L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.144074237083856, False, 'best']
['maximallimit', 202581370, 'impression', '10', 241293754L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.136021905879317, False, 'best']
['maximallimit', 202581370, 'impression', '3', 241296083L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.346139470707114, False, 'best']
['maximallimit', 202581370, 'impression', '16', 241294915L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.0111941922399297, False, 'best']
['maximallimit', 202581370, 'impression', '12', 241295881L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.116560917531685, False, 'best']
['maximallimit', 202581370, 'impression', '5', 241294197L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.212923363028869, False, 'best']
['maximallimit', 202581370, 'impression', '8', 241295329L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.155081085118348, False, 'best']
['maximallimit', 202581370, 'impression', '2', 241293898L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.384893508261996, False, 'best']
['maximallimit', 202581370, 'impression', '4', 241296082L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.293976809447885, False, 'best']
['maximallimit', 202581370, 'impression', '6', 241295201L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.160460070649391, False, 'best']
['maximallimit', 202581370, 'impression', '7', 241293601L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.159115470081783, False, 'best']
['maximallimit', 202581370, 'impression', '1', 241294880L, datetime.datetime(2013, 5, 25, 21, 42, 59), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'expand_tile', '1', 241294880L, datetime.datetime(2013, 5, 25, 21, 43, 9), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'expand_tile', '2', 241293898L, datetime.datetime(2013, 5, 25, 21, 43, 34), 0.384893508261996, False, 'best']
['maximallimit', 202581370, 'expand_tile', '3', 241296083L, datetime.datetime(2013, 5, 25, 21, 44, 5), 0.346139470707114, False, 'best']
['maximallimit', 202581370, 'expand_tile', '4', 241296082L, datetime.datetime(2013, 5, 25, 21, 44, 16), 0.293976809447885, False, 'best']
['maximallimit', 202581370, 'expand_tile', '5', 241294197L, datetime.datetime(2013, 5, 25, 21, 45), 0.212923363028869, False, 'best']
['maximallimit', 202581370, 'expand_tile', '6', 241295201L, datetime.datetime(2013, 5, 25, 21, 45, 8), 0.160460070649391, False, 'best']
['maximallimit', 202581370, 'expand_tile', '8', 241295329L, datetime.datetime(2013, 5, 25, 21, 45, 21), 0.155081085118348, False, 'best']
['maximallimit', 202581370, 'view_full_application', '1', 241294880L, datetime.datetime(2013, 5, 25, 22, 6, 23), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '10', 241293754L, datetime.datetime(2013, 5, 25, 22, 9, 18), 0.136021905879317, False, 'best']
['maximallimit', 202581370, 'impression', '3', 241296083L, datetime.datetime(2013, 5, 25, 22, 9, 18), 0.346139470707114, False, 'best']
['maximallimit', 202581370, 'impression', '9', 241294088L, datetime.datetime(2013, 5, 25, 22, 9, 18), 0.144074237083856, False, 'best']
['maximallimit', 202581370, 'impression', '1', 241294880L, datetime.datetime(2013, 5, 25, 22, 9, 18), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '7', 241293601L, datetime.datetime(2013, 5, 25, 22, 9, 18), 0.159115470081783, False, 'best']
['maximallimit', 202581370, 'impression', '16', 241294915L, datetime.datetime(2013, 5, 25, 22, 9, 18), 0.0111941922399297, False, 'best']
['maximallimit', 202581370, 'impression', '12', 241295881L, datetime.datetime(2013, 5, 25, 22, 9, 18), 0.116560917531685, False, 'best']
