['meleghara', 202542717, 'impression', '1', 240486631L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.124870300384751, False, 'best']
['meleghara', 202542717, 'impression', '7', 240487737L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.0951700561394227, False, 'best']
['meleghara', 202542717, 'impression', '2', 240486797L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.136666754510481, False, 'best']
['meleghara', 202542717, 'impression', '5', 240487228L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.23981532890258, False, 'best']
['meleghara', 202542717, 'impression', '3', 240486888L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.234159117619789, False, 'best']
['meleghara', 202542717, 'impression', '8', 240487749L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.193277228858894, False, 'best']
['meleghara', 202542717, 'impression', '4', 240487183L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.224699427240876, False, 'best']
['meleghara', 202542717, 'impression', '6', 240487297L, datetime.datetime(2013, 5, 15, 20, 33, 16), 0.155807002971716, False, 'best']
['meleghara', 202542717, 'impression', '1', 240486631L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.124870300384751, False, 'best']
['meleghara', 202542717, 'impression', '4', 240487183L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.224699427240876, False, 'best']
['meleghara', 202542717, 'impression', '8', 240487749L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.193277228858894, False, 'best']
['meleghara', 202542717, 'impression', '6', 240487297L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.155807002971716, False, 'best']
['meleghara', 202542717, 'impression', '2', 240486797L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.136666754510481, False, 'best']
['meleghara', 202542717, 'impression', '7', 240487737L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.0951700561394227, False, 'best']
['meleghara', 202542717, 'impression', '3', 240486888L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.234159117619789, False, 'best']
['meleghara', 202542717, 'impression', '5', 240487228L, datetime.datetime(2013, 5, 15, 20, 33, 57), 0.23981532890258, False, 'best']
['meleghara', 202542717, 'impression', '5', 240487228L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.23981532890258, False, 'best']
['meleghara', 202542717, 'impression', '9', 240488192L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.465531285851072, False, 'best']
['meleghara', 202542717, 'impression', '2', 240486797L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.136666754510481, False, 'best']
['meleghara', 202542717, 'impression', '7', 240487737L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.0951700561394227, False, 'best']
['meleghara', 202542717, 'impression', '3', 240486888L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.234159117619789, False, 'best']
['meleghara', 202542717, 'impression', '8', 240487749L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.193277228858894, False, 'best']
['meleghara', 202542717, 'impression', '4', 240487183L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.224699427240876, False, 'best']
['meleghara', 202542717, 'impression', '1', 240486631L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.124870300384751, False, 'best']
['meleghara', 202542717, 'impression', '10', 240488492L, datetime.datetime(2013, 5, 15, 20, 41, 41), 0.30446320593718, False, 'best']
