['michaelkeith2377', 202555954, 'impression', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 4, 50), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 4, 55), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'collapse_tile', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 5, 8), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 5, 12), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'collapse_tile', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 5, 58), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 6, 5), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 6, 10), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 10, 27), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application_via_name', '1', 240769084L, datetime.datetime(2013, 5, 19, 17, 10, 35), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240769895L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770066L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240769529L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240769869L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769084L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769259L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240770465L, datetime.datetime(2013, 5, 19, 17, 31, 43), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application_via_name', '9', 240769084L, datetime.datetime(2013, 5, 19, 17, 31, 47), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240769529L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770066L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240769895L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769084L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240770465L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769259L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240769869L, datetime.datetime(2013, 5, 19, 17, 35, 2), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '8', 240769259L, datetime.datetime(2013, 5, 19, 17, 35, 9), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 35, 18), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '5', 240769869L, datetime.datetime(2013, 5, 19, 17, 35, 32), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240769895L, datetime.datetime(2013, 5, 19, 17, 35, 41), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '4', 240769895L, datetime.datetime(2013, 5, 19, 17, 35, 44), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770066L, datetime.datetime(2013, 5, 19, 17, 35, 54), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '3', 240770066L, datetime.datetime(2013, 5, 19, 17, 36, 7), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 36, 17), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'collapse_tile', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 36, 43), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 36, 54), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769259L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240770127L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240769529L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240770066L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240769895L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240769714L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240769869L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769084L, datetime.datetime(2013, 5, 19, 17, 37, 18), 0.127252441223323, False, 'time']
