['mikewilcox', 202571413, 'impression', '2', 241071101L, datetime.datetime(2013, 5, 23, 5, 12, 24), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'impression', '1', 241071283L, datetime.datetime(2013, 5, 23, 5, 12, 24), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '3', 241069552L, datetime.datetime(2013, 5, 23, 5, 12, 24), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'view_full_application_via_name', '3', 241069552L, datetime.datetime(2013, 5, 23, 5, 12, 42), 0.245732500453732, False, 'time']

['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 23, 14, 55, 47), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 23, 14, 55, 47), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 23, 14, 55, 47), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 23, 14, 55, 47), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 23, 14, 55, 47), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 23, 14, 55, 47), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'shortlist', '6', 241069552L, datetime.datetime(2013, 5, 23, 14, 55, 53), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 23, 14, 58, 19), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 23, 14, 58, 19), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 23, 14, 58, 19), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 23, 14, 58, 19), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 23, 14, 58, 19), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 23, 14, 58, 19), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'view_full_application_via_name', '2', 241085488L, datetime.datetime(2013, 5, 23, 14, 58, 54), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 23, 15, 0, 47), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 23, 15, 0, 47), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 23, 15, 0, 47), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 23, 15, 0, 47), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 23, 15, 0, 47), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 23, 15, 0, 47), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'shortlist', '2', 241085488L, datetime.datetime(2013, 5, 23, 15, 0, 50), 0.439561335979003, True, 'time']

['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 23, 19, 51, 31), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 23, 19, 51, 31), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 23, 19, 51, 31), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 23, 19, 51, 31), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 23, 19, 51, 31), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 23, 19, 51, 31), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'view_full_application_via_name', '2', 241085488L, datetime.datetime(2013, 5, 23, 19, 51, 36), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 23, 19, 56, 46), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 23, 19, 56, 46), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 23, 19, 56, 46), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 23, 19, 56, 46), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 23, 19, 56, 46), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 23, 19, 56, 46), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'view_full_application_via_name', '1', 241110394L, datetime.datetime(2013, 5, 23, 19, 57, 10), 0.183107690588572, False, 'time']

['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 24, 0, 28, 24), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 24, 0, 28, 24), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 24, 0, 28, 24), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 24, 0, 28, 24), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 24, 0, 28, 24), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 24, 0, 28, 24), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'expand_tile', '2', 241085488L, datetime.datetime(2013, 5, 24, 0, 29, 6), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'view_full_application_via_name', '6', 241069552L, datetime.datetime(2013, 5, 24, 0, 29, 27), 0.245732500453732, False, 'time']

['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 24, 5, 5, 37), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 24, 5, 5, 37), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 24, 5, 5, 37), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 24, 5, 5, 37), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 24, 5, 5, 37), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 24, 5, 5, 37), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'view_full_application_via_name', '2', 241085488L, datetime.datetime(2013, 5, 24, 5, 5, 56), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '1', 241110394L, datetime.datetime(2013, 5, 24, 5, 22, 29), 0.183107690588572, False, 'time']
['mikewilcox', 202571413, 'impression', '5', 241071101L, datetime.datetime(2013, 5, 24, 5, 22, 29), 0.497901983721834, False, 'time']
['mikewilcox', 202571413, 'impression', '3', 241075360L, datetime.datetime(2013, 5, 24, 5, 22, 29), 0.345689223253625, False, 'time']
['mikewilcox', 202571413, 'impression', '2', 241085488L, datetime.datetime(2013, 5, 24, 5, 22, 29), 0.439561335979003, True, 'time']
['mikewilcox', 202571413, 'impression', '4', 241071283L, datetime.datetime(2013, 5, 24, 5, 22, 29), 0.522379754305551, False, 'time']
['mikewilcox', 202571413, 'impression', '6', 241069552L, datetime.datetime(2013, 5, 24, 5, 22, 29), 0.245732500453732, False, 'time']
['mikewilcox', 202571413, 'view_full_application_via_name', '2', 241085488L, datetime.datetime(2013, 5, 24, 5, 22, 33), 0.439561335979003, True, 'time']

