['mirzashahnaz', 202569677, 'impression', '4', 241045804L, datetime.datetime(2013, 5, 22, 23, 1, 28), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241045129L, datetime.datetime(2013, 5, 22, 23, 8, 12), 0.358976771098831, False, 'time']

['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '8', 241044404L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241060110L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241045804L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '7', 241045036L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241049385L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.0363930071541449, False, 'time']
['mirzashahnaz', 202569677, 'impression', '6', 241045129L, datetime.datetime(2013, 5, 23, 4, 6, 4), 0.358976771098831, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241060110L, datetime.datetime(2013, 5, 23, 4, 6, 10), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241045804L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '6', 241045129L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.358976771098831, False, 'time']
['mirzashahnaz', 202569677, 'impression', '8', 241044404L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241060110L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241049385L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.0363930071541449, False, 'time']
['mirzashahnaz', 202569677, 'impression', '7', 241045036L, datetime.datetime(2013, 5, 23, 4, 6, 50), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '8', 241044404L, datetime.datetime(2013, 5, 23, 4, 7), 0.32154048773709, False, 'time']

['mirzashahnaz', 202569677, 'impression', '6', 241049385L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.0363930071541449, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241075995L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'impression', '12', 241044404L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241060110L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '7', 241046765L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '10', 241045129L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.358976771098831, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241100994L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241088021L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.142109623261979, False, 'time']
['mirzashahnaz', 202569677, 'impression', '9', 241045804L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '8', 241045820L, datetime.datetime(2013, 5, 23, 12, 14, 39), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241100994L, datetime.datetime(2013, 5, 23, 12, 14, 47), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241088021L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.142109623261979, False, 'time']
['mirzashahnaz', 202569677, 'impression', '9', 241045804L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '8', 241045820L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241100994L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '11', 241045036L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.405213944062989, False, 'time']
['mirzashahnaz', 202569677, 'impression', '12', 241044404L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241060110L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '7', 241046765L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '10', 241045129L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.358976771098831, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '6', 241049385L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.0363930071541449, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241075995L, datetime.datetime(2013, 5, 23, 12, 16, 55), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '2', 241098972L, datetime.datetime(2013, 5, 23, 12, 17, 4), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241075995L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '10', 241045129L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.358976771098831, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241088021L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.142109623261979, False, 'time']
['mirzashahnaz', 202569677, 'impression', '9', 241045804L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '8', 241045820L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241060110L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '7', 241046765L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '12', 241044404L, datetime.datetime(2013, 5, 23, 12, 18, 17), 0.32154048773709, False, 'time']
