['mish78', 202540635, 'impression', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 30, 34), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '4', 240445254L, datetime.datetime(2013, 5, 15, 11, 30, 34), 0.0752943580800231, False, 'best']
['mish78', 202540635, 'impression', '5', 240445704L, datetime.datetime(2013, 5, 15, 11, 30, 34), 0.0304605130970007, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 30, 34), 0.204123772067043, True, 'best']
['mish78', 202540635, 'impression', '3', 240444670L, datetime.datetime(2013, 5, 15, 11, 30, 34), 0.0315903580668372, False, 'best']
['mish78', 202540635, 'expand_tile', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 30, 41), 0.287175178489269, False, 'best']
['mish78', 202540635, 'collapse_tile', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 30, 58), 0.287175178489269, False, 'best']
['mish78', 202540635, 'hide', '3', 240444670L, datetime.datetime(2013, 5, 15, 11, 31, 20), 0.0315903580668372, False, 'best']
['mish78', 202540635, 'expand_tile', '3', 240444670L, datetime.datetime(2013, 5, 15, 11, 31, 20), 0.0315903580668372, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 31, 40), 0.204123772067043, True, 'best']
['mish78', 202540635, 'impression', '4', 240445704L, datetime.datetime(2013, 5, 15, 11, 31, 40), 0.0304605130970007, False, 'best']
['mish78', 202540635, 'impression', '3', 240445254L, datetime.datetime(2013, 5, 15, 11, 31, 40), 0.0752943580800231, False, 'best']
['mish78', 202540635, 'impression', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 31, 40), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 32, 9), 0.204123772067043, True, 'best']
['mish78', 202540635, 'impression', '4', 240445704L, datetime.datetime(2013, 5, 15, 11, 32, 9), 0.0304605130970007, False, 'best']
['mish78', 202540635, 'impression', '3', 240445254L, datetime.datetime(2013, 5, 15, 11, 32, 9), 0.0752943580800231, False, 'best']
['mish78', 202540635, 'impression', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 32, 9), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '3', 240444670L, datetime.datetime(2013, 5, 15, 11, 32, 31), 0.0315903580668372, False, 'best']
['mish78', 202540635, 'impression', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 32, 31), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '4', 240445254L, datetime.datetime(2013, 5, 15, 11, 32, 31), 0.0752943580800231, False, 'best']
['mish78', 202540635, 'impression', '5', 240445704L, datetime.datetime(2013, 5, 15, 11, 32, 31), 0.0304605130970007, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 32, 31), 0.204123772067043, True, 'best']
['mish78', 202540635, 'expand_tile', '3', 240444670L, datetime.datetime(2013, 5, 15, 11, 32, 34), 0.0315903580668372, False, 'best']
['mish78', 202540635, 'view_full_application', '3', 240444670L, datetime.datetime(2013, 5, 15, 11, 32, 35), 0.0315903580668372, False, 'best']
['mish78', 202540635, 'impression', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 33, 27), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 33, 27), 0.204123772067043, True, 'best']
['mish78', 202540635, 'impression', '3', 240445254L, datetime.datetime(2013, 5, 15, 11, 33, 27), 0.0752943580800231, False, 'best']
['mish78', 202540635, 'impression', '4', 240445704L, datetime.datetime(2013, 5, 15, 11, 33, 27), 0.0304605130970007, False, 'best']
['mish78', 202540635, 'expand_tile', '4', 240445704L, datetime.datetime(2013, 5, 15, 11, 33, 30), 0.0304605130970007, False, 'best']
['mish78', 202540635, 'view_full_application', '4', 240445704L, datetime.datetime(2013, 5, 15, 11, 33, 32), 0.0304605130970007, False, 'best']
['mish78', 202540635, 'impression', '3', 240445254L, datetime.datetime(2013, 5, 15, 11, 34, 27), 0.0752943580800231, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 34, 27), 0.204123772067043, True, 'best']
['mish78', 202540635, 'impression', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 34, 27), 0.287175178489269, False, 'best']
['mish78', 202540635, 'expand_tile', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 34, 30), 0.287175178489269, False, 'best']
['mish78', 202540635, 'view_full_application', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 34, 32), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 35, 1), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '3', 240445254L, datetime.datetime(2013, 5, 15, 11, 35, 1), 0.0752943580800231, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 35, 1), 0.204123772067043, True, 'best']
['mish78', 202540635, 'expand_tile', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 35, 23), 0.287175178489269, False, 'best']
['mish78', 202540635, 'view_full_application', '2', 240444121L, datetime.datetime(2013, 5, 15, 11, 35, 27), 0.287175178489269, False, 'best']
['mish78', 202540635, 'impression', '2', 240446836L, datetime.datetime(2013, 5, 15, 11, 41, 38), 0.0435944290373081, False, 'best']
['mish78', 202540635, 'impression', '1', 240442277L, datetime.datetime(2013, 5, 15, 11, 41, 38), 0.204123772067043, True, 'best']
['mish78', 202540635, 'expand_tile', '2', 240446836L, datetime.datetime(2013, 5, 15, 11, 41, 42), 0.0435944290373081, False, 'best']
['mish78', 202540635, 'view_full_application', '2', 240446836L, datetime.datetime(2013, 5, 15, 11, 41, 49), 0.0435944290373081, False, 'best']

['mish78', 202540635, 'impression', '2', 240468277L, datetime.datetime(2013, 5, 16, 0, 42, 19), 0.0120650864020986, False, 'best']
['mish78', 202540635, 'impression', '1', 240453126L, datetime.datetime(2013, 5, 16, 0, 42, 19), 0.0841410331472377, False, 'best']
['mish78', 202540635, 'impression', '3', 240476174L, datetime.datetime(2013, 5, 16, 0, 42, 19), 0.0410562051007394, False, 'best']
['mish78', 202540635, 'impression', '4', 240495482L, datetime.datetime(2013, 5, 16, 0, 42, 19), 0.0983322946600677, False, 'best']
['mish78', 202540635, 'expand_tile', '3', 240476174L, datetime.datetime(2013, 5, 16, 0, 42, 38), 0.0410562051007394, False, 'best']
['mish78', 202540635, 'expand_tile', '2', 240468277L, datetime.datetime(2013, 5, 16, 0, 42, 42), 0.0120650864020986, False, 'best']
['mish78', 202540635, 'impression', '1', 240453126L, datetime.datetime(2013, 5, 16, 0, 43, 31), 0.0841410331472377, False, 'best']
['mish78', 202540635, 'impression', '4', 240495482L, datetime.datetime(2013, 5, 16, 0, 43, 31), 0.0983322946600677, False, 'best']
['mish78', 202540635, 'impression', '2', 240468277L, datetime.datetime(2013, 5, 16, 0, 43, 31), 0.0120650864020986, False, 'best']
['mish78', 202540635, 'impression', '3', 240476174L, datetime.datetime(2013, 5, 16, 0, 43, 31), 0.0410562051007394, False, 'best']
['mish78', 202540635, 'impression', '3', 240476174L, datetime.datetime(2013, 5, 16, 0, 43, 41), 0.0410562051007394, False, 'best']
['mish78', 202540635, 'impression', '4', 240495482L, datetime.datetime(2013, 5, 16, 0, 43, 41), 0.0983322946600677, False, 'best']
['mish78', 202540635, 'impression', '2', 240468277L, datetime.datetime(2013, 5, 16, 0, 43, 41), 0.0120650864020986, False, 'best']
['mish78', 202540635, 'impression', '1', 240453126L, datetime.datetime(2013, 5, 16, 0, 43, 41), 0.0841410331472377, False, 'best']

