['msscott001', 202586794, 'impression', '14', 241417748L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.117675709202982, False, 'best']
['msscott001', 202586794, 'impression', '13', 241417270L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.175566938308625, False, 'best']
['msscott001', 202586794, 'impression', '12', 241417417L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.189255995464967, False, 'best']
['msscott001', 202586794, 'impression', '15', 241417622L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.106205715968945, False, 'best']
['msscott001', 202586794, 'impression', '3', 241417353L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.45163225963274, False, 'best']
['msscott001', 202586794, 'impression', '10', 241417496L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.249330053563213, False, 'best']
['msscott001', 202586794, 'impression', '2', 241417467L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'impression', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'impression', '9', 241417437L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.276878168960138, False, 'best']
['msscott001', 202586794, 'impression', '7', 241417261L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.371289610033027, False, 'best']
['msscott001', 202586794, 'impression', '11', 241417421L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.233348283391491, False, 'best']
['msscott001', 202586794, 'impression', '1', 241417418L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.698560378855746, False, 'best']
['msscott001', 202586794, 'impression', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'impression', '16', 241417346L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.0682933957408491, False, 'best']
['msscott001', 202586794, 'impression', '6', 241417372L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.395996162439505, False, 'best']
['msscott001', 202586794, 'impression', '8', 241417248L, datetime.datetime(2013, 5, 27, 17, 29, 26), 0.303391024009483, False, 'best']
['msscott001', 202586794, 'view_full_application_via_name', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 31, 25), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'impression', '8', 241417248L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.303391024009483, False, 'best']
['msscott001', 202586794, 'impression', '15', 241418411L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.122760332092156, False, 'best']
['msscott001', 202586794, 'impression', '7', 241417261L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.371289610033027, False, 'best']
['msscott001', 202586794, 'impression', '11', 241417421L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.233348283391491, False, 'best']
['msscott001', 202586794, 'impression', '9', 241417437L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.276878168960138, False, 'best']
['msscott001', 202586794, 'impression', '12', 241418439L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.206932733789571, False, 'best']
['msscott001', 202586794, 'impression', '10', 241417496L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.249330053563213, False, 'best']
['msscott001', 202586794, 'impression', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'impression', '2', 241417467L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'impression', '16', 241417748L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.117675709202982, False, 'best']
['msscott001', 202586794, 'impression', '14', 241417270L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.175566938308625, False, 'best']
['msscott001', 202586794, 'impression', '17', 241417622L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.106205715968945, False, 'best']
['msscott001', 202586794, 'impression', '3', 241417353L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.45163225963274, False, 'best']
['msscott001', 202586794, 'impression', '13', 241417417L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.189255995464967, False, 'best']
['msscott001', 202586794, 'impression', '6', 241417372L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.395996162439505, False, 'best']
['msscott001', 202586794, 'impression', '18', 241417346L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.0682933957408491, False, 'best']
['msscott001', 202586794, 'impression', '1', 241417418L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.698560378855746, False, 'best']
['msscott001', 202586794, 'impression', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 31, 54), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'shortlist', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 31, 56), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'impression', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 32, 2), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'shortlist', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 32, 3), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'impression', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 32, 5), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'impression', None, 241417597L, datetime.datetime(2013, 5, 27, 17, 32, 5), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'shortlist', '2', 241417467L, datetime.datetime(2013, 5, 27, 17, 32, 7), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'impression', '2', 241417467L, datetime.datetime(2013, 5, 27, 17, 32, 7), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'impression', None, 241417467L, datetime.datetime(2013, 5, 27, 17, 32, 7), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'expand_tile', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 33, 5), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'view_full_application', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 33, 8), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'impression', '14', 241417270L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.175566938308625, False, 'best']
['msscott001', 202586794, 'impression', '16', 241417748L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.117675709202982, False, 'best']
['msscott001', 202586794, 'impression', '15', 241418411L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.122760332092156, False, 'best']
['msscott001', 202586794, 'impression', '9', 241417437L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.276878168960138, False, 'best']
['msscott001', 202586794, 'impression', '7', 241417261L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.371289610033027, False, 'best']
['msscott001', 202586794, 'impression', '11', 241417421L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.233348283391491, False, 'best']
['msscott001', 202586794, 'impression', '12', 241418439L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.206932733789571, False, 'best']
['msscott001', 202586794, 'impression', '10', 241417496L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.249330053563213, False, 'best']
['msscott001', 202586794, 'impression', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'impression', '2', 241417467L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'impression', '17', 241417622L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.106205715968945, False, 'best']
['msscott001', 202586794, 'impression', '13', 241417417L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.189255995464967, False, 'best']
['msscott001', 202586794, 'impression', '3', 241417353L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.45163225963274, False, 'best']
['msscott001', 202586794, 'impression', '8', 241417248L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.303391024009483, False, 'best']
['msscott001', 202586794, 'impression', '6', 241417372L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.395996162439505, False, 'best']
['msscott001', 202586794, 'impression', '18', 241417346L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.0682933957408491, False, 'best']
['msscott001', 202586794, 'impression', '1', 241417418L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.698560378855746, False, 'best']
['msscott001', 202586794, 'impression', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 34, 12), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'collapse_tile', '2', 241417467L, datetime.datetime(2013, 5, 27, 17, 34, 16), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'expand_tile', '2', 241417467L, datetime.datetime(2013, 5, 27, 17, 34, 16), 0.627019551332382, False, 'best']
['msscott001', 202586794, 'expand_tile', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 35, 33), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'impression', '5', 241417219L, datetime.datetime(2013, 5, 27, 17, 35, 49), 0.443770720562438, False, 'best']
['msscott001', 202586794, 'send_message', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 35, 52), 0.448102247426583, False, 'best']
['msscott001', 202586794, 'expand_tile', '4', 241417597L, datetime.datetime(2013, 5, 27, 17, 36, 35), 0.448102247426583, False, 'best']
