['mtran123', 202570679, 'impression', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 14, 52), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'expand_tile', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 14, 58), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'view_full_application', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 15, 33), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 20, 48), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 21, 7), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'expand_tile', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 21, 32), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'send_message', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 21, 40), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'view_full_application', '1', 241062742L, datetime.datetime(2013, 5, 23, 4, 21, 52), 0.163269378884366, False, 'best']

['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 44, 38), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 44, 38), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 44, 38), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 14, 44, 38), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 44, 58), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 45, 42), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 45, 42), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 14, 45, 42), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 45, 42), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 45, 45), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 46, 15), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 46, 15), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 14, 46, 15), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 46, 15), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 46, 18), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 47, 17), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 14, 47, 17), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 47, 17), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 47, 17), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 49, 59), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 50, 13), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 50, 13), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 14, 50, 13), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 50, 13), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 50, 14), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 14, 50, 22), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 50, 22), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 50, 22), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 50, 22), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 50, 24), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 14, 50, 31), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 50, 31), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 14, 50, 31), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 14, 50, 31), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '2', 241078636L, datetime.datetime(2013, 5, 23, 14, 50, 35), 0.538799164172349, False, 'best']

['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 23, 19, 19, 22), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 23, 19, 19, 22), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 23, 19, 19, 22), 0.542542499269464, False, 'best']
['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 23, 19, 19, 22), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'view_full_application_via_name', '2', 241078636L, datetime.datetime(2013, 5, 23, 19, 19, 41), 0.538799164172349, False, 'best']

['mtran123', 202570679, 'impression', '3', 241080228L, datetime.datetime(2013, 5, 24, 2, 59, 16), 0.188832958521855, False, 'best']
['mtran123', 202570679, 'impression', '2', 241078636L, datetime.datetime(2013, 5, 24, 2, 59, 16), 0.538799164172349, False, 'best']
['mtran123', 202570679, 'impression', '4', 241062742L, datetime.datetime(2013, 5, 24, 2, 59, 16), 0.163269378884366, False, 'best']
['mtran123', 202570679, 'impression', '1', 241083383L, datetime.datetime(2013, 5, 24, 2, 59, 16), 0.542542499269464, False, 'best']

