['nandcgraphics', 202572705, 'impression', '1', 241103147L, datetime.datetime(2013, 5, 23, 12, 22, 58), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241102867L, datetime.datetime(2013, 5, 23, 12, 22, 58), 0.218054042050634, False, 'time']
['nandcgraphics', 202572705, 'view_full_application_via_name', '1', 241103147L, datetime.datetime(2013, 5, 23, 12, 23, 13), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241103147L, datetime.datetime(2013, 5, 23, 12, 48, 40), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241102867L, datetime.datetime(2013, 5, 23, 12, 48, 40), 0.218054042050634, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241104222L, datetime.datetime(2013, 5, 23, 12, 48, 40), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241104069L, datetime.datetime(2013, 5, 23, 12, 48, 40), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'expand_tile', '1', 241104222L, datetime.datetime(2013, 5, 23, 12, 49, 20), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '2', 241104069L, datetime.datetime(2013, 5, 23, 13, 5, 27), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241104222L, datetime.datetime(2013, 5, 23, 13, 5, 27), 0.0884982126424957, False, 'time']
['nandcgraphics', 202572705, 'impression', '3', 241103147L, datetime.datetime(2013, 5, 23, 13, 5, 27), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241102867L, datetime.datetime(2013, 5, 23, 13, 5, 27), 0.218054042050634, False, 'time']
['nandcgraphics', 202572705, 'expand_tile', '3', 241103147L, datetime.datetime(2013, 5, 23, 13, 5, 39), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'expand_tile', '3', 241103147L, datetime.datetime(2013, 5, 23, 13, 5, 44), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'send_message', '3', 241103147L, datetime.datetime(2013, 5, 23, 13, 5, 46), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'expand_tile', '3', 241103147L, datetime.datetime(2013, 5, 23, 13, 5, 50), 0.113307149690273, False, 'time']
['nandcgraphics', 202572705, 'impression', '4', 241104069L, datetime.datetime(2013, 5, 23, 13, 20, 38), 0.152998351819428, False, 'time']
['nandcgraphics', 202572705, 'impression', '1', 241107261L, datetime.datetime(2013, 5, 23, 13, 20, 38), 0.121942495563399, False, 'time']
