['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 4, 58, 20), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 4, 58, 29), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 4, 59, 9), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 7, 59), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 8, 9), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'expand_tile', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 8, 13), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 8, 21), 0.644925513456157, False, 'time']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 8, 25), 0.644925513456157, False, 'time']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 10, 21), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '2', 241072150L, datetime.datetime(2013, 5, 23, 5, 10, 21), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'impression', '3', 241071927L, datetime.datetime(2013, 5, 23, 5, 10, 21), 0.221496840027327, False, 'best']
['niravrawtech', 202571459, 'view_full_application_via_name', '3', 241071927L, datetime.datetime(2013, 5, 23, 5, 10, 43), 0.221496840027327, False, 'best']
['niravrawtech', 202571459, 'impression', '3', 241071927L, datetime.datetime(2013, 5, 23, 5, 10, 58), 0.221496840027327, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 10, 58), 0.644925513456157, False, 'best']
['niravrawtech', 202571459, 'impression', '2', 241072150L, datetime.datetime(2013, 5, 23, 5, 10, 58), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'view_full_application_via_name', '2', 241072150L, datetime.datetime(2013, 5, 23, 5, 11), 0.404476068266274, False, 'best']
['niravrawtech', 202571459, 'impression', '1', 241070671L, datetime.datetime(2013, 5, 23, 5, 13, 40), 0.644925513456157, False, 'best']
