['noahfleming', 202589950, 'impression', '1', 241490491L, datetime.datetime(2013, 5, 28, 13, 48, 12), 0.0587989494047291, False, 'time']
['noahfleming', 202589950, 'impression', '3', 241489864L, datetime.datetime(2013, 5, 28, 13, 48, 12), 0.0416382686357162, False, 'time']
['noahfleming', 202589950, 'impression', '4', 241489461L, datetime.datetime(2013, 5, 28, 13, 48, 12), 0.0456922036651173, True, 'time']
['noahfleming', 202589950, 'impression', '2', 241490201L, datetime.datetime(2013, 5, 28, 13, 48, 12), 0.0286959426683868, False, 'time']
['noahfleming', 202589950, 'impression', '2', 241490201L, datetime.datetime(2013, 5, 28, 13, 48, 18), 0.0286959426683868, False, 'time']
['noahfleming', 202589950, 'impression', '1', 241490491L, datetime.datetime(2013, 5, 28, 13, 48, 18), 0.0587989494047291, False, 'time']
['noahfleming', 202589950, 'impression', '4', 241489461L, datetime.datetime(2013, 5, 28, 13, 48, 18), 0.0456922036651173, True, 'time']
['noahfleming', 202589950, 'impression', '3', 241489864L, datetime.datetime(2013, 5, 28, 13, 48, 18), 0.0416382686357162, False, 'time']
['noahfleming', 202589950, 'view_full_application_via_name', '4', 241489461L, datetime.datetime(2013, 5, 28, 13, 48, 26), 0.0456922036651173, True, 'time']
['noahfleming', 202589950, 'impression', '3', 241490201L, datetime.datetime(2013, 5, 28, 13, 51, 55), 0.0286959426683868, False, 'time']
['noahfleming', 202589950, 'impression', '2', 241490491L, datetime.datetime(2013, 5, 28, 13, 51, 55), 0.0587989494047291, False, 'time']
['noahfleming', 202589950, 'impression', '4', 241489864L, datetime.datetime(2013, 5, 28, 13, 51, 55), 0.0416382686357162, False, 'time']
['noahfleming', 202589950, 'impression', '1', 241490721L, datetime.datetime(2013, 5, 28, 13, 51, 55), 0.112089918986699, False, 'time']
['noahfleming', 202589950, 'impression', '5', 241489461L, datetime.datetime(2013, 5, 28, 13, 51, 55), 0.0456922036651173, True, 'time']
['noahfleming', 202589950, 'expand_tile', '1', 241490721L, datetime.datetime(2013, 5, 28, 13, 52), 0.112089918986699, False, 'time']
['noahfleming', 202589950, 'view_full_application', '1', 241490721L, datetime.datetime(2013, 5, 28, 13, 52, 9), 0.112089918986699, False, 'time']

