['obo84', 202594865, 'impression', '12', 241590395L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.00469783840922704, False, 'time']
['obo84', 202594865, 'impression', '2', 241592190L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0149107343917779, False, 'time']
['obo84', 202594865, 'impression', '20', 241589660L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.00884410546731664, False, 'time']
['obo84', 202594865, 'impression', '14', 241589833L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.00984748440027778, False, 'time']
['obo84', 202594865, 'impression', '15', 241589801L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.00608815631762116, False, 'time']
['obo84', 202594865, 'impression', '18', 241589731L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.00908634280390257, False, 'time']
['obo84', 202594865, 'impression', '5', 241591747L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0228455602963819, False, 'time']
['obo84', 202594865, 'impression', '1', 241592386L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0122438558759504, False, 'time']
['obo84', 202594865, 'impression', '13', 241590338L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0117405059061026, False, 'time']
['obo84', 202594865, 'impression', '17', 241589772L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0181787911599322, False, 'time']
['obo84', 202594865, 'impression', '3', 241592014L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.00899793991883465, False, 'time']
['obo84', 202594865, 'impression', '16', 241589782L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0152547932031007, False, 'time']
['obo84', 202594865, 'impression', '7', 241591157L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0120439442979024, False, 'time']
['obo84', 202594865, 'impression', '4', 241591775L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0143282685498578, False, 'time']
['obo84', 202594865, 'impression', '9', 241590590L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0191488239023612, False, 'time']
['obo84', 202594865, 'impression', '19', 241589666L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0773301813504307, False, 'time']
['obo84', 202594865, 'impression', '8', 241591136L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.00914397459175168, False, 'time']
['obo84', 202594865, 'impression', '10', 241590578L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0155280514653624, False, 'time']
['obo84', 202594865, 'impression', '11', 241590525L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0227495566977293, False, 'time']
['obo84', 202594865, 'impression', '6', 241591522L, datetime.datetime(2013, 5, 29, 15, 39, 41), 0.0146091806164494, False, 'time']
['obo84', 202594865, 'view_full_application_via_name', '2', 241592190L, datetime.datetime(2013, 5, 29, 15, 42, 24), 0.0149107343917779, False, 'time']
['obo84', 202594865, 'impression', '14', 241590338L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0117405059061026, False, 'time']
['obo84', 202594865, 'impression', '18', 241589772L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0181787911599322, False, 'time']
['obo84', 202594865, 'impression', '2', 241592386L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0122438558759504, False, 'time']
['obo84', 202594865, 'impression', '9', 241591136L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.00914397459175168, False, 'time']
['obo84', 202594865, 'impression', '12', 241590525L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0227495566977293, False, 'time']
['obo84', 202594865, 'impression', '11', 241590578L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0155280514653624, False, 'time']
['obo84', 202594865, 'impression', '5', 241591775L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0143282685498578, False, 'time']
['obo84', 202594865, 'impression', '4', 241592014L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.00899793991883465, False, 'time']
['obo84', 202594865, 'impression', '17', 241589782L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0152547932031007, False, 'time']
['obo84', 202594865, 'impression', '8', 241591157L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0120439442979024, False, 'time']
['obo84', 202594865, 'impression', '10', 241590590L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0191488239023612, False, 'time']
['obo84', 202594865, 'impression', '20', 241589666L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0773301813504307, False, 'time']
['obo84', 202594865, 'impression', '13', 241590395L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.00469783840922704, False, 'time']
['obo84', 202594865, 'impression', '15', 241589833L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.00984748440027778, False, 'time']
['obo84', 202594865, 'impression', '3', 241592190L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0149107343917779, False, 'time']
['obo84', 202594865, 'impression', '16', 241589801L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.00608815631762116, False, 'time']
['obo84', 202594865, 'impression', '7', 241591522L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0146091806164494, False, 'time']
['obo84', 202594865, 'impression', '1', 241593563L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0034748448788267, False, 'time']
['obo84', 202594865, 'impression', '6', 241591747L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.0228455602963819, False, 'time']
['obo84', 202594865, 'impression', '19', 241589731L, datetime.datetime(2013, 5, 29, 15, 43, 15), 0.00908634280390257, False, 'time']

