['omega22', 202591422, 'impression', '4', 241520654L, datetime.datetime(2013, 5, 28, 19, 49, 20), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '3', 241520836L, datetime.datetime(2013, 5, 28, 19, 49, 20), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '1', 241520282L, datetime.datetime(2013, 5, 28, 19, 49, 20), 0.168212241907527, False, 'best']
['omega22', 202591422, 'impression', '2', 241520980L, datetime.datetime(2013, 5, 28, 19, 49, 20), 0.163427960703399, False, 'best']
['omega22', 202591422, 'view_full_application_via_name', '4', 241520654L, datetime.datetime(2013, 5, 28, 19, 49, 23), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '1', 241521228L, datetime.datetime(2013, 5, 28, 19, 50, 6), 0.169682238405747, True, 'best']
['omega22', 202591422, 'impression', '5', 241520654L, datetime.datetime(2013, 5, 28, 19, 50, 6), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '4', 241520836L, datetime.datetime(2013, 5, 28, 19, 50, 6), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '2', 241520282L, datetime.datetime(2013, 5, 28, 19, 50, 6), 0.168212241907527, False, 'best']
['omega22', 202591422, 'impression', '6', 241521240L, datetime.datetime(2013, 5, 28, 19, 50, 6), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '3', 241520980L, datetime.datetime(2013, 5, 28, 19, 50, 6), 0.163427960703399, False, 'best']
['omega22', 202591422, 'view_full_application_via_name', '6', 241521240L, datetime.datetime(2013, 5, 28, 19, 50, 9), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '6', 241521240L, datetime.datetime(2013, 5, 28, 19, 50, 45), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '1', 241521228L, datetime.datetime(2013, 5, 28, 19, 50, 45), 0.169682238405747, True, 'best']
['omega22', 202591422, 'impression', '5', 241520654L, datetime.datetime(2013, 5, 28, 19, 50, 45), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '3', 241520980L, datetime.datetime(2013, 5, 28, 19, 50, 45), 0.163427960703399, False, 'best']
['omega22', 202591422, 'impression', '4', 241520836L, datetime.datetime(2013, 5, 28, 19, 50, 45), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '2', 241520282L, datetime.datetime(2013, 5, 28, 19, 50, 45), 0.168212241907527, False, 'best']
['omega22', 202591422, 'view_full_application_via_name', '4', 241520836L, datetime.datetime(2013, 5, 28, 19, 50, 47), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '3', 241520980L, datetime.datetime(2013, 5, 28, 19, 54, 32), 0.163427960703399, False, 'best']
['omega22', 202591422, 'impression', '2', 241520282L, datetime.datetime(2013, 5, 28, 19, 54, 32), 0.168212241907527, False, 'best']
['omega22', 202591422, 'impression', '4', 241520836L, datetime.datetime(2013, 5, 28, 19, 54, 32), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '1', 241521228L, datetime.datetime(2013, 5, 28, 19, 54, 32), 0.169682238405747, True, 'best']
['omega22', 202591422, 'impression', '5', 241520654L, datetime.datetime(2013, 5, 28, 19, 54, 32), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '6', 241521240L, datetime.datetime(2013, 5, 28, 19, 54, 32), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'view_full_application_via_name', '3', 241520980L, datetime.datetime(2013, 5, 28, 19, 58, 38), 0.163427960703399, False, 'best']
['omega22', 202591422, 'impression', '6', 241521240L, datetime.datetime(2013, 5, 28, 19, 59, 19), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '2', 241520282L, datetime.datetime(2013, 5, 28, 19, 59, 19), 0.168212241907527, False, 'best']
['omega22', 202591422, 'impression', '3', 241520836L, datetime.datetime(2013, 5, 28, 19, 59, 19), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '1', 241521228L, datetime.datetime(2013, 5, 28, 19, 59, 19), 0.169682238405747, True, 'best']
['omega22', 202591422, 'impression', '4', 241520654L, datetime.datetime(2013, 5, 28, 19, 59, 19), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '5', 241521683L, datetime.datetime(2013, 5, 28, 19, 59, 19), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'view_full_application_via_name', '5', 241521683L, datetime.datetime(2013, 5, 28, 19, 59, 23), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'impression', '6', 241521240L, datetime.datetime(2013, 5, 28, 20, 0, 7), 0.0606420239548597, False, 'best']
['omega22', 202591422, 'impression', '1', 241521228L, datetime.datetime(2013, 5, 28, 20, 0, 7), 0.169682238405747, True, 'best']
['omega22', 202591422, 'impression', '4', 241520654L, datetime.datetime(2013, 5, 28, 20, 0, 7), 0.0875707078647149, False, 'best']
['omega22', 202591422, 'impression', '5', 241521683L, datetime.datetime(2013, 5, 28, 20, 0, 7), 0.0815448535929812, False, 'best']
['omega22', 202591422, 'impression', '3', 241520836L, datetime.datetime(2013, 5, 28, 20, 0, 7), 0.134904126182434, False, 'best']
['omega22', 202591422, 'impression', '2', 241520282L, datetime.datetime(2013, 5, 28, 20, 0, 7), 0.168212241907527, False, 'best']
