['outsourcingdetai', 202564374, 'impression', '8', 240945067L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.139683360043914, False, 'time']
['outsourcingdetai', 202564374, 'impression', '6', 240945375L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.21349502251433, True, 'time']
['outsourcingdetai', 202564374, 'impression', '5', 240946102L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.0307285964542552, False, 'time']
['outsourcingdetai', 202564374, 'impression', '1', 240956542L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.265710586293791, False, 'time']
['outsourcingdetai', 202564374, 'impression', '3', 240950415L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.111107787861773, False, 'time']
['outsourcingdetai', 202564374, 'impression', '4', 240949514L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.118634499602876, False, 'time']
['outsourcingdetai', 202564374, 'impression', '7', 240945181L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.0974406843857755, False, 'time']
['outsourcingdetai', 202564374, 'impression', '2', 240953047L, datetime.datetime(2013, 5, 21, 22, 37, 41), 0.22085852482374, False, 'time']
['outsourcingdetai', 202564374, 'expand_tile', '2', 240953047L, datetime.datetime(2013, 5, 21, 22, 38, 2), 0.22085852482374, False, 'time']
['outsourcingdetai', 202564374, 'expand_tile', '3', 240950415L, datetime.datetime(2013, 5, 21, 22, 38, 9), 0.111107787861773, False, 'time']
['outsourcingdetai', 202564374, 'expand_tile', '4', 240949514L, datetime.datetime(2013, 5, 21, 22, 38, 46), 0.118634499602876, False, 'time']
['outsourcingdetai', 202564374, 'impression', '4', 240949514L, datetime.datetime(2013, 5, 21, 22, 38, 54), 0.118634499602876, False, 'time']
['outsourcingdetai', 202564374, 'impression', '4', 240949514L, datetime.datetime(2013, 5, 21, 22, 38, 55), 0.118634499602876, False, 'time']
['outsourcingdetai', 202564374, 'expand_tile', '4', 240949514L, datetime.datetime(2013, 5, 21, 22, 38, 55), 0.118634499602876, False, 'time']
['outsourcingdetai', 202564374, 'impression', '5', 240946102L, datetime.datetime(2013, 5, 21, 22, 38, 57), 0.0307285964542552, False, 'time']
