['p_prybytak', 202586060, 'impression', '7', 241429383L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241422470L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.0440507561500748, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241430550L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241410588L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'impression', '6', 241429831L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.0744514228448847, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241464562L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241413229L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241455888L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241464854L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241410042L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.243583023782132, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241430438L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '13', 241415026L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '11', 241421298L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'impression', '8', 241426965L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.214305544443568, False, 'time']
['p_prybytak', 202586060, 'impression', '9', 241425154L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241411470L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241416156L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.17665159197024, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241410598L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.260769861585272, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241408702L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.0922385226570752, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241411949L, datetime.datetime(2013, 5, 28, 8, 20, 4), 0.225608277114139, False, 'time']
['p_prybytak', 202586060, 'impression', '1', 241464854L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.101833780301858, False, 'time']
['p_prybytak', 202586060, 'impression', '19', 241410042L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.243583023782132, False, 'time']
['p_prybytak', 202586060, 'impression', '11', 241421298L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.109609328921545, False, 'time']
['p_prybytak', 202586060, 'impression', '8', 241426965L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.214305544443568, False, 'time']
['p_prybytak', 202586060, 'impression', '9', 241425154L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.204822403695628, False, 'time']
['p_prybytak', 202586060, 'impression', '13', 241415026L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.0728797045474988, False, 'time']
['p_prybytak', 202586060, 'impression', '5', 241430438L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.282137942894165, False, 'time']
['p_prybytak', 202586060, 'impression', '2', 241464562L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.165952282113312, False, 'time']
['p_prybytak', 202586060, 'impression', '14', 241413229L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.184868214530427, False, 'time']
['p_prybytak', 202586060, 'impression', '6', 241429831L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.0744514228448847, False, 'time']
['p_prybytak', 202586060, 'impression', '3', 241455888L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.133631352819971, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241408702L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.0922385226570752, False, 'time']
['p_prybytak', 202586060, 'impression', '15', 241411949L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.225608277114139, False, 'time']
['p_prybytak', 202586060, 'impression', '17', 241410598L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.260769861585272, False, 'time']
['p_prybytak', 202586060, 'impression', '16', 241411470L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.135548016699436, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241416156L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.17665159197024, False, 'time']
['p_prybytak', 202586060, 'impression', '7', 241429383L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.121250499008541, False, 'time']
['p_prybytak', 202586060, 'impression', '18', 241410588L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.134568004283159, False, 'time']
['p_prybytak', 202586060, 'impression', '4', 241430550L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '10', 241422470L, datetime.datetime(2013, 5, 28, 8, 20, 51), 0.0440507561500748, False, 'time']

['p_prybytak', 202586060, 'impression', '6', 241430550L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.249517264226313, False, 'time']
['p_prybytak', 202586060, 'impression', '12', 241422470L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.0440507561500748, False, 'time']
['p_prybytak', 202586060, 'impression', '20', 241410588L, datetime.datetime(2013, 5, 28, 14, 17, 5), 0.134568004283159, False, 'time']
